set,calib,tool,dBrier_vs_fusion,ci95,fusion_lower
y_clinvar/BRCA1_included,platt,gpn_msa,0.0537,"[0.0417,0.0677]",True
y_clinvar/BRCA1_included,platt,nt,0.1594,"[0.1255,0.1940]",True
y_clinvar/BRCA1_included,platt,cadd,0.0234,"[0.0095,0.0379]",True
y_clinvar/BRCA1_included,platt,alphamissense,,"[nan,nan]",False
y_clinvar/BRCA1_included,platt,gnomad_af,0.232,"[0.2102,0.2535]",True
y_clinvar/BRCA1_included,platt,phylop,0.0482,"[0.0349,0.0618]",True
y_clinvar/BRCA1_included,platt,phastcons,0.0626,"[0.0384,0.0947]",True
y_clinvar/BRCA1_excluded,platt,spliceai,0.0323,"[0.0086,0.0538]",True
y_clinvar/BRCA1_excluded,platt,pangolin,0.0167,"[0.0046,0.0280]",True
y_clinvar/BRCA1_excluded,platt,alphagenome,0.0271,"[0.0151,0.0404]",True
y_clinvar/BRCA1_excluded,platt,gpn_msa,0.0536,"[0.0357,0.0732]",True
y_clinvar/BRCA1_excluded,platt,nt,0.1374,"[0.1079,0.1715]",True
y_clinvar/BRCA1_excluded,platt,cadd,0.0146,"[0.0078,0.0206]",True
y_clinvar/BRCA1_excluded,platt,alphamissense,,"[nan,nan]",False
y_clinvar/BRCA1_excluded,platt,gnomad_af,0.2323,"[0.2005,0.2624]",True
y_clinvar/BRCA1_excluded,platt,phylop,0.0429,"[0.0297,0.0626]",True
y_clinvar/BRCA1_excluded,platt,phastcons,0.0601,"[0.0329,0.1018]",True
