n_training_genes,held_out_gene,training_genes,n_test,brier
6,BRCA2,PALB2+BRCA1+RAD51C+BARD1+VHL+BAP1,268,0.061739924905101266
6,PALB2,BRCA2+BRCA1+RAD51C+BARD1+VHL+BAP1,215,0.07191396625068155
6,BRCA1,BRCA2+PALB2+RAD51C+BARD1+VHL+BAP1,507,0.05478792797004706
6,RAD51C,BRCA2+PALB2+BRCA1+BARD1+VHL+BAP1,168,0.055357429865235584
6,BARD1,BRCA2+PALB2+BRCA1+RAD51C+VHL+BAP1,197,0.054398946711337166
6,VHL,BRCA2+PALB2+BRCA1+RAD51C+BARD1+BAP1,53,0.017335978421731253
6,BAP1,BRCA2+PALB2+BRCA1+RAD51C+BARD1+VHL,267,0.10197176305092044
5,BRCA2,PALB2+BRCA1+RAD51C+BARD1+VHL,268,0.05739923017952274
5,BRCA2,PALB2+BRCA1+RAD51C+BARD1+BAP1,268,0.061569163816486666
5,BRCA2,PALB2+BRCA1+RAD51C+VHL+BAP1,268,0.06134462014456112
5,BRCA2,PALB2+BRCA1+BARD1+VHL+BAP1,268,0.0626630032611798
5,BRCA2,PALB2+RAD51C+BARD1+VHL+BAP1,268,0.05917749013075474
5,BRCA2,BRCA1+RAD51C+BARD1+VHL+BAP1,268,0.06372984007526615
5,PALB2,BRCA2+BRCA1+RAD51C+BARD1+VHL,215,0.06983391644058451
5,PALB2,BRCA2+BRCA1+RAD51C+BARD1+BAP1,215,0.07152764449181168
5,PALB2,BRCA2+BRCA1+RAD51C+VHL+BAP1,215,0.06887762056990929
5,PALB2,BRCA2+BRCA1+BARD1+VHL+BAP1,215,0.07307093848239196
5,PALB2,BRCA2+RAD51C+BARD1+VHL+BAP1,215,0.06851874236416532
5,PALB2,BRCA1+RAD51C+BARD1+VHL+BAP1,215,0.07389383841374474
5,BRCA1,BRCA2+PALB2+RAD51C+BARD1+VHL,507,0.05572696083569033
5,BRCA1,BRCA2+PALB2+RAD51C+BARD1+BAP1,507,0.05367141691986078
5,BRCA1,BRCA2+PALB2+RAD51C+VHL+BAP1,507,0.05521103930720476
5,BRCA1,BRCA2+PALB2+BARD1+VHL+BAP1,507,0.05395662718528174
5,BRCA1,BRCA2+RAD51C+BARD1+VHL+BAP1,507,0.05522367348427012
5,BRCA1,PALB2+RAD51C+BARD1+VHL+BAP1,507,0.054492135011714
5,RAD51C,BRCA2+PALB2+BRCA1+BARD1+VHL,168,0.05467855435005564
5,RAD51C,BRCA2+PALB2+BRCA1+BARD1+BAP1,168,0.056122078656636244
5,RAD51C,BRCA2+PALB2+BRCA1+VHL+BAP1,168,0.05396538360216724
5,RAD51C,BRCA2+PALB2+BARD1+VHL+BAP1,168,0.054563697248274846
5,RAD51C,BRCA2+BRCA1+BARD1+VHL+BAP1,168,0.05485849269504425
5,RAD51C,PALB2+BRCA1+BARD1+VHL+BAP1,168,0.0566953702504121
5,BARD1,BRCA2+PALB2+BRCA1+RAD51C+VHL,197,0.05881650546432515
5,BARD1,BRCA2+PALB2+BRCA1+RAD51C+BAP1,197,0.05558743854373124
5,BARD1,BRCA2+PALB2+BRCA1+VHL+BAP1,197,0.05222014105134287
5,BARD1,BRCA2+PALB2+RAD51C+VHL+BAP1,197,0.056613264822995515
5,BARD1,BRCA2+BRCA1+RAD51C+VHL+BAP1,197,0.054289694615844354
5,BARD1,PALB2+BRCA1+RAD51C+VHL+BAP1,197,0.05541657887922215
5,VHL,BRCA2+PALB2+BRCA1+RAD51C+BARD1,53,0.015671528253191753
5,VHL,BRCA2+PALB2+BRCA1+RAD51C+BAP1,53,0.018138285892184594
5,VHL,BRCA2+PALB2+BRCA1+BARD1+BAP1,53,0.01532062985850433
5,VHL,BRCA2+PALB2+RAD51C+BARD1+BAP1,53,0.015431923816431057
5,VHL,BRCA2+BRCA1+RAD51C+BARD1+BAP1,53,0.017127187552663133
5,VHL,PALB2+BRCA1+RAD51C+BARD1+BAP1,53,0.016887046315075347
5,BAP1,BRCA2+PALB2+BRCA1+RAD51C+BARD1,267,0.10053334737020964
5,BAP1,BRCA2+PALB2+BRCA1+RAD51C+VHL,267,0.10569658161207489
5,BAP1,BRCA2+PALB2+BRCA1+BARD1+VHL,267,0.1008986809453143
5,BAP1,BRCA2+PALB2+RAD51C+BARD1+VHL,267,0.103892964231574
5,BAP1,BRCA2+BRCA1+RAD51C+BARD1+VHL,267,0.09972823385352322
5,BAP1,PALB2+BRCA1+RAD51C+BARD1+VHL,267,0.101227246034184
4,BRCA2,PALB2+BRCA1+RAD51C+BARD1,268,0.05884384504119349
4,BRCA2,PALB2+BRCA1+RAD51C+VHL,268,0.05885956070652842
4,BRCA2,PALB2+BRCA1+RAD51C+BAP1,268,0.06183735567751598
4,BRCA2,PALB2+BRCA1+BARD1+VHL,268,0.05894563504546911
