tool,stratum,threshold_basis,threshold,gene_set,clinvar_arm,n_genes,n_pos,n_neg,n_in_band,status,sens,spec,band_lr
spliceai,s3_50,fitted moderate,0.3818904459476471,no_BRCA1,recorded_unclassified,6,154,358,147,ok,0.6818181818181818,0.88268156424581,5.811688311688311
spliceai,s3_50,fitted moderate,0.3818904459476471,no_BRCA1,unrecorded,6,448,4647,332,ok,0.453125,0.9722401549386701,16.323037790697676
spliceai,s3_50,published cut point,0.2,all_genes,all,7,795,6817,1005,ok,0.6490566037735849,0.9282675663781722,9.048300343403943
spliceai,s3_50,published cut point,0.2,all_genes,classified,7,127,1282,113,ok,0.5748031496062992,0.968798751950078,18.422440944881888
spliceai,s3_50,published cut point,0.2,all_genes,recorded_unclassified,7,220,888,315,ok,0.8227272727272728,0.8490990990990991,5.452103120759837
spliceai,s3_50,published cut point,0.2,all_genes,unrecorded,6,448,4647,577,ok,0.5848214285714286,0.9322143318269851,8.627508503401362
spliceai,s3_50,published cut point,0.2,no_BRCA1,all,6,688,6089,858,ok,0.6075581395348837,0.9277385449170635,8.407776162790698
spliceai,s3_50,published cut point,0.2,no_BRCA1,classified,6,86,1084,68,ok,0.3953488372093023,0.9686346863468634,12.604651162790697
spliceai,s3_50,published cut point,0.2,no_BRCA1,recorded_unclassified,6,154,358,213,ok,0.7922077922077922,0.7458100558659218,3.11659768802626
spliceai,s3_50,published cut point,0.2,no_BRCA1,unrecorded,6,448,4647,577,ok,0.5848214285714286,0.9322143318269851,8.627508503401362
pangolin,s3_10,fitted moderate,0.5108555555343628,all_genes,all,7,570,2505,416,ok,0.5807017543859649,0.9660678642714571,17.11362229102167
pangolin,s3_10,fitted moderate,0.5108555555343628,all_genes,classified,7,95,578,71,ok,0.6842105263157895,0.9896193771626297,65.9122807017544
pangolin,s3_10,fitted moderate,0.5108555555343628,all_genes,recorded_unclassified,7,201,596,147,ok,0.5970149253731343,0.9546979865771812,13.178551686014373
pangolin,s3_10,fitted moderate,0.5108555555343628,all_genes,unrecorded,6,274,1331,198,ok,0.5328467153284672,0.9609316303531179,13.638826501965188
pangolin,s3_10,fitted moderate,0.5108555555343628,no_BRCA1,all,6,466,2119,338,ok,0.5579399141630901,0.9631901840490797,15.15736766809728
pangolin,s3_10,fitted moderate,0.5108555555343628,no_BRCA1,classified,6,54,476,33,ok,0.5185185185185185,0.9894957983193278,49.36296296296295
pangolin,s3_10,fitted moderate,0.5108555555343628,no_BRCA1,recorded_unclassified,6,138,312,107,ok,0.6231884057971014,0.9326923076923077,9.25879917184265
