tool,stratum,score,eps,local_lr,lr_lo_gene_boot,lr_hi_gene_boot,lr_lo_variant_boot,lr_hi_variant_boot
spliceai,pm12,0.0666157603263855,0.7909594178199768,0.3723428312980551,0.13358525060833515,0.6996450786154467,0.2504752320250475,0.6388689201001362
spliceai,pm12,0.14010697603225708,0.7174682021141052,0.3723428312980551,0.13358525060833515,0.6996450786154467,0.2504752320250475,0.6388689201001362
spliceai,pm12,0.14011134207248688,0.7174638360738754,0.3723428312980551,0.13358525060833515,0.6996450786154467,0.2504752320250475,0.6388689201001362
spliceai,pm12,0.14012865722179413,0.7174465209245682,0.3723428312980551,0.13358525060833515,0.6996450786154467,0.2504752320250475,0.6388689201001362
spliceai,pm12,0.14012867212295532,0.717446506023407,0.3723428312980551,0.13358525060833515,0.6996450786154467,0.2504752320250475,0.6388689201001362
spliceai,pm12,0.31447792053222656,0.5430972576141357,0.3723428312980551,0.13358525060833515,0.6996450786154467,0.2504752320250475,0.6388689201001362
spliceai,pm12,0.4429982900619507,0.4145768880844116,0.3723428312980551,0.13358525060833515,0.6996450786154467,0.2504752320250475,0.6388689201001362
spliceai,pm12,0.44302472472190857,0.41455045342445374,0.3723428312980551,0.13358525060833515,0.6996450786154467,0.2504752320250475,0.6388689201001362
spliceai,pm12,0.44302546977996826,0.41454970836639404,0.3723428312980551,0.13358525060833515,0.6996450786154467,0.2504752320250475,0.6388689201001362
spliceai,pm12,0.44302788376808167,0.41454729437828064,0.3723428312980551,0.13358525060833515,0.6996450786154467,0.2504752320250475,0.6388689201001362
spliceai,pm12,0.44302791357040405,0.41454726457595825,0.3723428312980551,0.13358525060833515,0.6996450786154467,0.2504752320250475,0.6388689201001362
spliceai,pm12,0.4430284798145294,0.4145466983318329,0.3723428312980551,0.13358525060833515,0.6996450786154467,0.2504752320250475,0.6388689201001362
spliceai,pm12,0.5349547266960144,0.33560460805892944,0.4141791044776119,0.1596573208722741,0.7324282287782079,0.27326221012095614,0.7413532452204871
spliceai,pm12,0.5589526295661926,0.3116067051887512,0.4141791044776119,0.1596573208722741,0.7324282287782079,0.27326221012095614,0.7413532452204871
spliceai,pm12,0.5808268785476685,0.2897324562072754,0.4141791044776119,0.1596573208722741,0.7324282287782079,0.27326221012095614,0.7413532452204871
spliceai,pm12,0.5812679529190063,0.2892913818359375,0.4141791044776119,0.1596573208722741,0.7324282287782079,0.27326221012095614,0.7413532452204871
spliceai,pm12,0.5813718438148499,0.289187490940094,0.4141791044776119,0.1596573208722741,0.7324282287782079,0.27326221012095614,0.7413532452204871
spliceai,pm12,0.581503689289093,0.28905564546585083,0.4141791044776119,0.1596573208722741,0.7324282287782079,0.27326221012095614,0.7413532452204871
spliceai,pm12,0.5815413594245911,0.2890179753303528,0.4141791044776119,0.1596573208722741,0.7324282287782079,0.27326221012095614,0.7413532452204871
spliceai,pm12,0.5815460085868835,0.2890133261680603,0.4141791044776119,0.1596573208722741,0.7324282287782079,0.27326221012095614,0.7413532452204871
spliceai,pm12,0.6057328581809998,0.2648630738258362,0.4653123272526257,0.19988081243469175,0.7735400696096572,0.3001675827005709,0.8655860349127182
spliceai,pm12,0.6270201802253723,0.24357575178146362,0.4653123272526257,0.19988081243469175,0.7735400696096572,0.3001675827005709,0.8655860349127182
spliceai,pm12,0.654789924621582,0.2158060073852539,0.4653123272526257,0.19988081243469175,0.7735400696096572,0.3001675827005709,0.8655860349127182
spliceai,pm12,0.6548879146575928,0.21570801734924316,0.4653123272526257,0.19988081243469175,0.7735400696096572,0.3001675827005709,0.8655860349127182
spliceai,pm12,0.654891848564148,0.215704083442688,0.4653123272526257,0.19988081243469175,0.7735400696096572,0.3001675827005709,0.8655860349127182
spliceai,pm12,0.6548923254013062,0.21570360660552979,0.4653123272526257,0.19988081243469175,0.7735400696096572,0.3001675827005709,0.8655860349127182
spliceai,pm12,0.6548925042152405,0.21570342779159546,0.4653123272526257,0.19988081243469175,0.7735400696096572,0.3001675827005709,0.8655860349127182
spliceai,pm12,0.6565234661102295,0.21407246589660645,0.4653123272526257,0.19988081243469175,0.7735400696096572,0.3001675827005709,0.8655860349127182
spliceai,pm12,0.6589730978012085,0.21594762802124023,0.4653123272526257,0.1978021978021978,0.7844565877352764,0.299625468164794,0.8675950964103257
spliceai,pm12,0.6590546369552612,0.21602916717529297,0.4653123272526257,0.1978021978021978,0.7844565877352764,0.299625468164794,0.8675950964103257
spliceai,pm12,0.6590555906295776,0.21603012084960938,0.4653123272526257,0.1978021978021978,0.7844565877352764,0.299625468164794,0.8675950964103257
spliceai,pm12,0.6590576171875,0.21603214740753174,0.4653123272526257,0.1978021978021978,0.7844565877352764,0.299625468164794,0.8675950964103257
spliceai,pm12,0.6590602993965149,0.21603482961654663,0.4653123272526257,0.1978021978021978,0.7844565877352764,0.299625468164794,0.8675950964103257
spliceai,pm12,0.6601606607437134,0.21628254652023315,0.4653123272526257,0.1912568306010929,0.8074266036194813,0.2996307199027046,0.8693132406046623
spliceai,pm12,0.6692282557487488,0.20721495151519775,0.4653123272526257,0.1912568306010929,0.8074266036194813,0.2996307199027046,0.8693132406046623
spliceai,pm12,0.6693395376205444,0.2071036696434021,0.4653123272526257,0.1912568306010929,0.8074266036194813,0.2996307199027046,0.8693132406046623
spliceai,pm12,0.6693395972251892,0.20710361003875732,0.4653123272526257,0.1912568306010929,0.8074266036194813,0.2996307199027046,0.8693132406046623
spliceai,pm12,0.6693422198295593,0.2071009874343872,0.4653123272526257,0.1912568306010929,0.8074266036194813,0.2996307199027046,0.8693132406046623
spliceai,pm12,0.6693422794342041,0.20710092782974243,0.4653123272526257,0.1912568306010929,0.8074266036194813,0.2996307199027046,0.8693132406046623
spliceai,pm12,0.6693435907363892,0.20709961652755737,0.4653123272526257,0.1912568306010929,0.8074266036194813,0.2996307199027046,0.8693132406046623
spliceai,pm12,0.6778675317764282,0.1985756754875183,0.4653123272526257,0.1912568306010929,0.8074266036194813,0.2996307199027046,0.8693132406046623
spliceai,pm12,0.6781492829322815,0.19829392433166504,0.4653123272526257,0.1912568306010929,0.8074266036194813,0.2996307199027046,0.8693132406046623
spliceai,pm12,0.6782065033912659,0.19823670387268066,0.4653123272526257,0.1912568306010929,0.8074266036194813,0.2996307199027046,0.8693132406046623
spliceai,pm12,0.6782470941543579,0.19819611310958862,0.4653123272526257,0.1912568306010929,0.8074266036194813,0.2996307199027046,0.8693132406046623
spliceai,pm12,0.6782944202423096,0.19814878702163696,0.4653123272526257,0.1912568306010929,0.8074266036194813,0.2996307199027046,0.8693132406046623
spliceai,pm12,0.6782981753349304,0.1981450319290161,0.4653123272526257,0.1912568306010929,0.8074266036194813,0.2996307199027046,0.8693132406046623
spliceai,pm12,0.7191838026046753,0.1572931408882141,0.6114072494669509,0.2015810276679842,1.587253538411192,0.3722568612485491,1.3461538461538463
spliceai,pm12,0.7217845916748047,0.15469235181808472,0.6114072494669509,0.2015810276679842,1.587253538411192,0.3722568612485491,1.3461538461538463
spliceai,pm12,0.726428210735321,0.15004873275756836,0.6114072494669509,0.2015810276679842,1.587253538411192,0.3722568612485491,1.3461538461538463
spliceai,pm12,0.726443886756897,0.15003305673599243,0.6114072494669509,0.2015810276679842,1.587253538411192,0.3722568612485491,1.3461538461538463
