gene,n_lof,n_syn,median_path_lof,median_path_syn,delta_lof_minus_syn,control_auroc,verdict
BAP1,218,1543,0.1282,-0.0012,0.1293,0.9876,OK
BARD1,320,1346,0.231,-0.0075,0.2385,0.9959,OK
BRCA1,138,579,2.1194,0.011,2.1084,0.9942,OK
BRCA2,342,1345,0.8499,-0.1497,0.9997,0.9969,OK
PALB2,425,1919,0.1371,-0.0034,0.1405,0.9951,OK
RAD51C,153,767,11.3075,-0.1559,11.4634,0.9534,OK
VHL,60,387,2.116,0.0,2.116,0.8571,OK
