tool,stratum,score,eps,n_damaging_in_window,n_normal_in_window,local_lr,lr_lo_gene_boot,lr_hi_gene_boot,lr_hi_bootstrap_only,lr_lo_variant_boot,lr_hi_variant_boot
avi,all_1_50,1.1579747200012207,0.06511795520782471,70,30,10.001667708984783,8.034870641169853,12.307143695014663,12.307143695014663,7.121592165402661,14.749774366336853
avi,all_1_50,1.1580779552459717,0.06522119045257568,70,30,10.001667708984783,8.034870641169853,12.307143695014663,12.307143695014663,7.121592165402661,14.749774366336853
avi,all_1_50,1.1613417863845825,0.06815218925476074,71,29,10.494360699575164,8.207481601385144,13.265327150953116,13.265327150953116,7.466993853537474,15.513884182441378
avi,all_1_50,1.162109136581421,0.06795573234558105,71,29,10.494360699575164,7.952347093841359,13.516511795298053,13.516511795298053,7.463536068202951,15.536138601427947
avi,all_1_50,1.1646318435668945,0.0686337947845459,74,26,12.199836436234184,9.367144563918757,15.863437498199849,15.863437498199849,8.61929094031319,18.39632714072176
avi,all_1_50,1.1680928468704224,0.06854867935180664,75,25,12.859287054409005,9.258301363564522,18.35846759756534,18.35846759756534,9.021285802232155,19.40855539602654
avi,all_1_50,1.1699349880218506,0.06842172145843506,75,25,12.859287054409005,8.993778467462679,18.861439312567132,18.861439312567132,9.006441127026628,19.45389161440171
avi,all_1_50,1.1702641248703003,0.06875085830688477,75,25,12.859287054409005,8.993778467462679,18.861439312567132,18.861439312567132,9.006441127026628,19.45389161440171
avi,all_1_50,1.170394778251648,0.06888151168823242,75,25,12.859287054409005,8.993778467462679,18.861439312567132,18.861439312567132,9.006441127026628,19.45389161440171
avi,all_1_50,1.1707676649093628,0.06880390644073486,75,25,12.859287054409005,8.866070503377005,19.11730267788143,19.11730267788143,8.995489640567765,19.453871066209324
avi,all_1_50,1.171376347541809,0.06860005855560303,74,26,12.199836436234184,8.446973492007986,18.41499409681228,18.41499409681228,8.562581851329917,18.381827700762837
avi,all_1_50,1.1734341382980347,0.06968164443969727,74,26,12.199836436234184,8.356297929150237,18.525763940733434,18.525763940733434,8.587838086755767,18.442026058287965
avi,all_1_50,1.1758668422698975,0.07117950916290283,75,25,12.859287054409005,9.035245478036176,18.711545175634278,18.711545175634278,9.02113244784915,19.476978257835615
avi,all_1_50,1.1784663200378418,0.0695418119430542,76,24,13.573691890765062,9.445024055908261,19.604074559095263,19.604074559095263,9.495755270143567,20.670281470367346
avi,all_1_50,1.1788309812545776,0.06917715072631836,76,24,13.573691890765062,9.445024055908261,19.604074559095263,19.604074559095263,9.495755270143567,20.670281470367346
avi,all_1_50,1.1801555156707764,0.06785261631011963,76,24,13.573691890765062,9.445024055908261,19.604074559095263,19.604074559095263,9.495755270143567,20.670281470367346
avi,all_1_50,1.1815255880355835,0.06808257102966309,77,23,14.350218886804253,10.284919786096257,20.378774289985053,20.378774289985053,10.033171582402487,22.15755995393552
avi,all_1_50,1.1818394660949707,0.06776869297027588,77,23,14.350218886804253,10.284919786096257,20.378774289985053,20.378774289985053,10.033171582402487,22.15755995393552
avi,all_1_50,1.183138370513916,0.06770610809326172,78,22,15.197339246119734,11.045757351456835,21.4432518463827,21.4432518463827,10.577042079207922,23.753541212781407
avi,all_1_50,1.1855064630508423,0.06894326210021973,80,20,17.14571607254534,12.362625313283209,24.665369169570834,24.665369169570834,11.766821724869766,27.266655478245255
avi,all_1_50,1.1862199306488037,0.06965672969818115,80,20,17.14571607254534,12.362625313283209,24.665369169570834,24.665369169570834,11.766821724869766,27.266655478245255
avi,all_1_50,1.1880286931991577,0.06815516948699951,80,20,17.14571607254534,12.362625313283209,24.665369169570834,24.665369169570834,11.82658956500749,27.272198985819983
avi,all_1_50,1.1885364055633545,0.06856095790863037,80,20,17.14571607254534,12.471308051011333,24.353256792608178,24.353256792608178,11.849594494961906,27.251163635420944
avi,all_1_50,1.1899594068527222,0.0671379566192627,80,20,17.14571607254534,12.471308051011333,24.353256792608178,24.353256792608178,11.849594494961906,27.251163635420944
avi,all_1_50,1.1902270317077637,0.06687033176422119,80,20,17.14571607254534,12.471308051011333,24.353256792608178,24.353256792608178,11.849594494961906,27.251163635420944
avi,all_1_50,1.1919814348220825,0.06779670715332031,80,20,17.14571607254534,12.471308051011333,24.353256792608178,24.353256792608178,11.847365894339896,27.116530354686184
avi,all_1_50,1.1923677921295166,0.0680243968963623,80,20,17.14571607254534,12.38383260530167,24.663250705750418,24.663250705750418,11.856296700858818,27.047364835132303
avi,all_1_50,1.1967120170593262,0.06724214553833008,81,19,18.273723708897005,12.847535928756,26.11611282843895,26.11611282843895,12.619188944819731,29.47077160898802
avi,all_1_50,1.1983699798583984,0.06607246398925781,81,19,18.273723708897005,12.72047477744807,26.461188026408195,26.461188026408195,12.642995352729042,29.411936239548165
avi,all_1_50,1.198986291885376,0.06622517108917236,81,19,18.273723708897005,12.72047477744807,26.461188026408195,26.461188026408195,12.642995352729042,29.411936239548165
avi,all_1_50,1.1990853548049927,0.06632423400878906,81,19,18.273723708897005,12.72047477744807,26.461188026408195,26.461188026408195,12.642995352729042,29.411936239548165
avi,all_1_50,1.202707290649414,0.06608521938323975,82,18,19.527065527065528,14.0503454465758,27.009031020241927,27.009031020241927,13.356387901471075,31.816935801693567
avi,all_1_50,1.2030211687088013,0.06639909744262695,82,18,19.527065527065528,14.0503454465758,27.009031020241927,27.009031020241927,13.356387901471075,31.816935801693567
avi,all_1_50,1.203370213508606,0.06674814224243164,82,18,19.527065527065528,14.0503454465758,27.009031020241927,27.009031020241927,13.356387901471075,31.816935801693567
avi,all_1_50,1.2045420408248901,0.06608963012695312,82,18,19.527065527065528,14.719984882162578,25.55689845740946,25.55689845740946,13.348234769194496,31.785040381461215
avi,all_1_50,1.206236481666565,0.0665515661239624,82,18,19.527065527065528,14.541032410267931,25.43803724046923,25.43803724046923,13.388234278341752,31.893986820513124
avi,all_1_50,1.208266258239746,0.0654836893081665,81,19,18.273723708897005,13.609850495021291,23.988821509069442,23.988821509069442,12.589346455266883,29.230124603113353
avi,all_1_50,1.2086721658706665,0.0650777816772461,81,19,18.273723708897005,13.609850495021291,23.988821509069442,23.988821509069442,12.589346455266883,29.230124603113353
avi,all_1_50,1.2111066579818726,0.06511127948760986,81,19,18.273723708897005,13.669753179976341,24.12143394767206,24.12143394767206,12.567216583305523,29.271710901242148
