tool,stratum,score,eps,n_damaging_in_window,n_normal_in_window,local_lr,lr_lo_gene_boot,lr_hi_gene_boot,lr_hi_bootstrap_only,lr_lo_variant_boot,lr_hi_variant_boot
avi_splice_junctions,s11_50,0.0246734619140625,0.0170745849609375,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.0261383056640625,0.0156097412109375,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.02655029296875,0.01519775390625,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.0272979736328125,0.0144500732421875,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.02825927734375,0.01348876953125,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.0292816162109375,0.0124664306640625,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.029449462890625,0.012298583984375,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.02947998046875,0.01226806640625,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.030029296875,0.01171875,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.030059814453125,0.011688232421875,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.030242919921875,0.011505126953125,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.030975341796875,0.010772705078125,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.0312347412109375,0.0105133056640625,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.03131103515625,0.01043701171875,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.032379150390625,0.009368896484375,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.033050537109375,0.008697509765625,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.033477783203125,0.00830078125,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.03350830078125,0.008270263671875,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.03363037109375,0.008148193359375,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.03369140625,0.008087158203125,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.03375244140625,0.008026123046875,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.033843994140625,0.0079345703125,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.034271240234375,0.007720947265625,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.034423828125,0.007598876953125,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.03448486328125,0.007537841796875,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.034576416015625,0.0074462890625,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.03472900390625,0.007354736328125,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.034759521484375,0.00732421875,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.034912109375,0.007171630859375,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.03497314453125,0.007110595703125,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.0350341796875,0.007049560546875,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.035308837890625,0.0068359375,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.035400390625,0.006744384765625,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.035491943359375,0.00665283203125,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.035552978515625,0.006591796875,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.03558349609375,0.006561279296875,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.03570556640625,0.006439208984375,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.03582763671875,0.006378173828125,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.035888671875,0.00640869140625,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.036346435546875,0.00628662109375,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.036376953125,0.006317138671875,0,102,0.0,0.0,0.5636601307189543,0.0,0.0,0.5636601307189543
avi_splice_junctions,s11_50,0.036651611328125,0.00604248046875,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
avi_splice_junctions,s11_50,0.036834716796875,0.005859375,0,100,0.0,0.0,0.5749333333333334,0.0,0.0,0.5749333333333334
