gene,label_definition,stratum,tool,n,n_pos,n_neg,walker_in_scope,status,reason,walker_frac_pp3,walker_frac_grey,walker_sens_pp3,walker_spec_pp3,walker_lr_pp3,walker_lr_bp4,walker_tier_pp3,walker_tier_bp4,walker_pp3_n_pos_band,walker_pp3_n_neg_band,walker_lr_pp3_lo,walker_lr_pp3_hi,walker_tier_pp3_at_bound,walker_bp4_n_pos_band,walker_bp4_n_neg_band,walker_lr_bp4_lo,walker_lr_bp4_hi,column_basis_comparable,e3_supporting_reachable_in_sample,e3_supporting_logo_folds,e3_supporting_threshold,e3_supporting_lr_here,e3_supporting_tier_here,e3_supporting_n_pos_band,e3_supporting_n_neg_band,e3_supporting_lr_lo,e3_supporting_lr_hi,e3_supporting_tier_at_bound,e3_moderate_reachable_in_sample,e3_moderate_logo_folds,e3_moderate_threshold,e3_moderate_lr_here,e3_moderate_tier_here,e3_moderate_n_pos_band,e3_moderate_n_neg_band,e3_moderate_lr_lo,e3_moderate_lr_hi,e3_moderate_tier_at_bound,e3_strong_reachable_in_sample,e3_strong_logo_folds,e3_strong_threshold,e3_strong_lr_here,e3_strong_tier_here,e3_strong_n_pos_band,e3_strong_n_neg_band,e3_strong_lr_lo,e3_strong_lr_hi,e3_strong_tier_at_bound,e3_moderate_note,e3_strong_note,e3_supporting_note
TP53,y_control_anchored,s3_10,nt,192,17,175,True,ok,,,,,,,,,,,,,,,,,,,True,True,7.0,3.6364574432373047,9.007352941176471,Moderate,7.0,8.0,3.431372549019608,25.735294117647058,Supporting,False,5.0,,,not evaluable,,,,,,False,0.0,,,not evaluable,,,,,,tier unreachable in-sample; LOGO median not carried over,tier unreachable in-sample; LOGO median not carried over,
TP53,y_control_anchored,s3_10,spliceai_walker,192,17,175,True,ok,,0.20833333333333334,0.16666666666666666,0.8823529411764706,0.8571428571428571,6.176470588235294,0.08650519031141868,Moderate,Moderate,15.0,25.0,4.2387543252595155,9.688581314878892,Supporting,1.0,119.0,0.0,0.26854219948849106,True,True,7.0,0.4259027540683746,9.558823529411764,Moderate,13.0,14.0,5.614973262032086,19.301470588235293,Moderate,True,7.0,0.5537148118019104,12.352941176470589,Moderate,12.0,10.0,6.660899653979239,30.88235294117647,Moderate,True,7.0,0.89483243227005,,not evaluable,4.0,0.0,,,not evaluable,,,
TP53,y_control_anchored,s3_10,avi,192,17,175,True,ok,,,,,,,,,,,,,,,,,,,True,True,7.0,0.844028890132904,123.52941176470588,Strong,12.0,1.0,34.31372549019608,155.2941176470588,Strong,True,7.0,1.0689042806625366,,not evaluable,2.0,0.0,,,not evaluable,True,7.0,1.3679836988449097,,not evaluable,0.0,0.0,,,not evaluable,,,
TP53,y_control_anchored,s3_10,avi_splice_sites,192,17,175,True,ok,,,,,,,,,,,,,,,,,,,True,True,7.0,0.33984375,9.083044982698961,Moderate,15.0,17.0,6.082199591066372,15.911690433749243,Moderate,True,7.0,0.455810546875,20.58823529411765,Strong,12.0,6.0,10.294117647058822,72.05882352941177,Moderate,False,1.0,,,not evaluable,,,,,,,tier unreachable in-sample; LOGO median not carried over,
TP53,y_control_anchored,s3_10,avi_splice_site_usage,192,17,175,True,ok,,,,,,,,,,,,,,,,,,,True,True,7.0,0.568359375,37.745098039215684,Strong,11.0,3.0,14.705882352941178,134.58823529411762,Moderate,True,7.0,0.6669921875,113.23529411764706,Strong,11.0,1.0,30.88235294117647,154.41176470588235,Strong,True,7.0,0.91949462890625,,not evaluable,8.0,1.0,,,not evaluable,,,
TP53,y_control_anchored,s3_10,avi_splice_junctions,192,17,175,True,ok,,,,,,,,,,,,,,,,,,,True,True,7.0,3.509765625,17.647058823529413,Moderate,12.0,7.0,9.136029411764707,51.470588235294116,Moderate,True,7.0,5.375,46.3235294117647,Strong,9.0,2.0,15.441176470588236,124.23529411764706,Moderate,True,7.0,6.83984375,,not evaluable,7.0,1.0,,,not evaluable,,,
TP53,y_control_anchored,s11_50,spliceai,48,0,48,True,not evaluable,fewer than 10 labelled on one side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP53,y_control_anchored,s11_50,pangolin,48,0,48,True,not evaluable,fewer than 10 labelled on one side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP53,y_control_anchored,s11_50,alphagenome,48,0,48,True,not evaluable,fewer than 10 labelled on one side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP53,y_control_anchored,s11_50,cadd,48,0,48,True,not evaluable,fewer than 10 labelled on one side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP53,y_control_anchored,s11_50,phylop,48,0,48,True,not evaluable,fewer than 10 labelled on one side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP53,y_control_anchored,s11_50,phastcons,48,0,48,True,not evaluable,fewer than 10 labelled on one side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP53,y_control_anchored,s11_50,gpn_msa,48,0,48,True,not evaluable,fewer than 10 labelled on one side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP53,y_control_anchored,s11_50,nt,48,0,48,True,not evaluable,fewer than 10 labelled on one side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP53,y_control_anchored,s11_50,spliceai_walker,48,0,48,True,not evaluable,fewer than 10 labelled on one side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP53,y_control_anchored,s11_50,avi,48,0,48,True,not evaluable,fewer than 10 labelled on one side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP53,y_control_anchored,s11_50,avi_splice_sites,48,0,48,True,not evaluable,fewer than 10 labelled on one side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP53,y_control_anchored,s11_50,avi_splice_site_usage,48,0,48,True,not evaluable,fewer than 10 labelled on one side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP53,y_control_anchored,s11_50,avi_splice_junctions,48,0,48,True,not evaluable,fewer than 10 labelled on one side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP53,y_control_anchored,s3_50,spliceai,240,17,223,True,ok,,0.17083333333333334,0.13333333333333333,0.8823529411764706,0.8834080717488789,7.567873303167421,0.07902197023387668,Moderate,Moderate,15.0,26.0,5.247058823529412,12.24450367647058,Moderate,1.0,166.0,0.0,0.24754193652622244,True,True,7.0,0.3335808515548706,8.016339869281046,Moderate,11.0,18.0,4.372549019607844,15.30392156862745,Moderate,True,7.0,0.3791576027870178,9.018382352941178,Moderate,11.0,16.0,5.044047619047619,17.490196078431374,Moderate,True,7.0,0.883614718914032,,not evaluable,5.0,0.0,,,not evaluable,,,
TP53,y_control_anchored,s3_50,pangolin,240,17,223,True,ok,,,,,,,,,,,,,,,,,,,True,True,7.0,0.3767528235912323,21.862745098039216,Strong,15.0,9.0,12.34481509515571,52.470588235294116,Moderate,True,7.0,0.4281759262084961,32.79411764705882,Strong,15.0,6.0,16.6951871657754,104.94117647058823,Moderate,True,7.0,0.6740013957023621,72.14705882352942,Strong,11.0,2.0,26.235294117647058,183.6470588235294,Strong,,,
TP53,y_control_anchored,s3_50,alphagenome,240,17,223,True,ok,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP53,y_control_anchored,s3_50,cadd,240,17,223,True,ok,,,,,,,,,,,,,,,,,,,True,True,7.0,19.19,11.660130718954248,Moderate,8.0,9.0,5.04524886877828,32.40058823529418,Moderate,True,7.0,22.6,7.495798319327731,Moderate,4.0,7.0,1.457516339869281,18.36470588235294,below supporting,False,0.0,,,not evaluable,,,,,,,tier unreachable in-sample; LOGO median not carried over,
TP53,y_control_anchored,s3_50,phylop,240,17,223,True,ok,,,,,,,,,,,,,,,,,,,True,True,7.0,4.08529,,not evaluable,0.0,0.0,,,not evaluable,True,7.0,5.25,,not evaluable,0.0,0.0,,,not evaluable,False,0.0,,,not evaluable,,,,,,,tier unreachable in-sample; LOGO median not carried over,
TP53,y_control_anchored,s3_50,phastcons,240,17,223,True,ok,,,,,,,,,,,,,,,,,,,True,True,7.0,1.0,,not evaluable,0.0,0.0,,,not evaluable,False,2.0,,,not evaluable,,,,,,False,0.0,,,not evaluable,,,,,,tier unreachable in-sample; LOGO median not carried over,tier unreachable in-sample; LOGO median not carried over,
TP53,y_control_anchored,s3_50,gpn_msa,240,17,223,True,ok,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP53,y_control_anchored,s3_50,nt,240,17,223,True,ok,,,,,,,,,,,,,,,,,,,True,False,0.0,,,not evaluable,,,,,,False,0.0,,,not evaluable,,,,,,False,0.0,,,not evaluable,,,,,,tier unreachable in-sample; LOGO median not carried over,tier unreachable in-sample; LOGO median not carried over,tier unreachable in-sample; LOGO median not carried over
TP53,y_control_anchored,s3_50,spliceai_walker,240,17,223,True,ok,,0.175,0.15,0.8823529411764706,0.8789237668161435,7.287581699346405,0.08147606868834491,Moderate,Moderate,15.0,27.0,5.076985111662531,11.046439628482972,Moderate,1.0,161.0,0.0,0.2555385790679909,True,True,7.0,0.3335808515548706,9.473856209150327,Moderate,13.0,18.0,5.830065359477125,17.052941176470586,Moderate,True,7.0,0.4277547001838684,12.180672268907562,Moderate,13.0,14.0,7.15383801247772,24.595588235294116,Moderate,True,7.0,0.893125057220459,,not evaluable,4.0,0.0,,,not evaluable,,,
