tool,stratum,score,eps,local_lr,lr_lo_gene_boot,lr_hi_gene_boot,lr_lo_variant_boot,lr_hi_variant_boot
phylop,all_1_50,-4.944,2.91723,0.042864290181363354,0.030606430606430608,0.12681791739383363,0.03712682325670968,0.12762120006155436
phylop,all_1_50,-4.134,2.1072300000000004,0.042864290181363354,0.030606430606430608,0.12681791739383363,0.03712682325670968,0.12762120006155436
phylop,all_1_50,-3.91137,1.8845999999999998,0.042864290181363354,0.030606430606430608,0.12681791739383363,0.03712682325670968,0.12762120006155436
phylop,all_1_50,-3.80006,1.7732900000000003,0.042864290181363354,0.030606430606430608,0.12681791739383363,0.03712682325670968,0.12762120006155436
phylop,all_1_50,-3.66539,1.63862,0.042864290181363354,0.030606430606430608,0.12681791739383363,0.03712682325670968,0.12762120006155436
phylop,all_1_50,-3.61161,1.5848400000000002,0.042864290181363354,0.030606430606430608,0.12681791739383363,0.03712682325670968,0.12762120006155436
phylop,all_1_50,-3.57887,1.5521000000000003,0.042864290181363354,0.030606430606430608,0.12681791739383363,0.03712682325670968,0.12762120006155436
phylop,all_1_50,-3.56509,1.5383200000000001,0.042864290181363354,0.030606430606430608,0.12681791739383363,0.03712682325670968,0.12762120006155436
phylop,all_1_50,-3.54491,1.5181399999999998,0.042864290181363354,0.030606430606430608,0.12681791739383363,0.03712682325670968,0.12762120006155436
phylop,all_1_50,-3.38413,1.37973,0.042864290181363354,0.031022087932658322,0.12681791739383363,0.037078214019762454,0.12742818092151662
phylop,all_1_50,-3.09924,1.09484,0.042864290181363354,0.031022087932658322,0.12681791739383363,0.037078214019762454,0.12742818092151662
phylop,all_1_50,-2.98423,1.04377,0.0416158157100615,0.030958517210944395,0.123813230873842,0.036078165991267896,0.1236091716853339
phylop,all_1_50,-2.89557,0.9551100000000001,0.042864290181363354,0.032485089060585504,0.12651194539249147,0.037076609521214936,0.12683526697486305
phylop,all_1_50,-2.88281,0.94235,0.042864290181363354,0.032485089060585504,0.12651194539249147,0.037076609521214936,0.12683526697486305
phylop,all_1_50,-2.87121,0.93075,0.042864290181363354,0.032485089060585504,0.12651194539249147,0.037076609521214936,0.12683526697486305
phylop,all_1_50,-2.80774,0.8879499999999998,0.042864290181363354,0.03354962457757325,0.12461256692025924,0.03707827389805715,0.12742429817348958
phylop,all_1_50,-2.57282,0.8113099999999998,0.042864290181363354,0.032261515908875736,0.13544137580481191,0.037197511708978295,0.12685325544422674
phylop,all_1_50,-2.52888,0.7957799999999999,0.042864290181363354,0.03232669524615185,0.13403494452597117,0.03719276457342649,0.12666334511870564
phylop,all_1_50,-2.49627,0.7631699999999999,0.042864290181363354,0.03232669524615185,0.13403494452597117,0.03719276457342649,0.12666334511870564
phylop,all_1_50,-2.48584,0.75274,0.042864290181363354,0.03232669524615185,0.13403494452597117,0.03719276457342649,0.12666334511870564
phylop,all_1_50,-2.44539,0.7122900000000001,0.042864290181363354,0.03232669524615185,0.13403494452597117,0.03719276457342649,0.12666334511870564
phylop,all_1_50,-2.43679,0.7036899999999997,0.042864290181363354,0.03232669524615185,0.13403494452597117,0.03719276457342649,0.12666334511870564
phylop,all_1_50,-2.41852,0.6854199999999999,0.042864290181363354,0.03232669524615185,0.13403494452597117,0.03719276457342649,0.12666334511870564
phylop,all_1_50,-2.3659,0.6360899999999998,0.04243989126867658,0.03185859697576947,0.13305101438571978,0.03684583719785919,0.1255767780786102
phylop,all_1_50,-2.35739,0.62758,0.04243989126867658,0.03185859697576947,0.13305101438571978,0.03684583719785919,0.1255767780786102
phylop,all_1_50,-2.35296,0.6312700000000002,0.04243989126867658,0.03185859697576947,0.13305101438571978,0.03684583719785919,0.1255767780786102
phylop,all_1_50,-2.35264,0.6315900000000001,0.04243989126867658,0.03185859697576947,0.13305101438571978,0.03684583719785919,0.1255767780786102
phylop,all_1_50,-2.33957,0.6219200000000003,0.04243989126867658,0.03142404514477738,0.13536479465967027,0.03690271362346304,0.12541314807937506
phylop,all_1_50,-2.23894,0.55488,0.04243989126867658,0.030558603077353107,0.14803360413589364,0.03685814180918855,0.12601869764591553
phylop,all_1_50,-2.22893,0.5448700000000002,0.04243989126867658,0.030558603077353107,0.14803360413589364,0.03685814180918855,0.12601869764591553
phylop,all_1_50,-2.18597,0.5019100000000003,0.04243989126867658,0.030558603077353107,0.14803360413589364,0.03685814180918855,0.12601869764591553
phylop,all_1_50,-2.16559,0.48153,0.04243989126867658,0.030558603077353107,0.14803360413589364,0.03685814180918855,0.12601869764591553
