tool,stratum,score,eps,n_damaging_in_window,n_normal_in_window,local_lr,lr_lo_gene_boot,lr_hi_gene_boot,lr_hi_bootstrap_only,lr_lo_variant_boot,lr_hi_variant_boot
avi_splice_sites,s3_10,0.00390625,0.001953125,6,124,0.2126485568760611,0.0,0.30985231385921697,0.30985231385921697,0.07578932734685374,0.37260021598438137
avi_splice_sites,s3_10,0.004638671875,0.001220703125,6,124,0.2126485568760611,0.0,0.30985231385921697,0.30985231385921697,0.07578932734685374,0.37260021598438137
avi_splice_sites,s3_10,0.0048828125,0.0009765625,6,124,0.2126485568760611,0.0,0.30985231385921697,0.30985231385921697,0.07578932734685374,0.37260021598438137
avi_splice_sites,s3_10,0.005126953125,0.000732421875,5,112,0.19619360902255636,0.0,0.25805923550410376,0.25805923550410376,0.07084681516708626,0.35776187117658176
avi_splice_sites,s3_10,0.00537109375,0.00048828125,5,110,0.19976076555023922,0.0,0.25943252619114415,0.25943252619114415,0.07233199609454641,0.36427301184263877
avi_splice_sites,s3_10,0.005615234375,0.000732421875,5,113,0.19445738239403818,0.0,0.2563820763785531,0.2563820763785531,0.07054489882575805,0.35473408873847373
avi_splice_sites,s3_10,0.005859375,0.0009765625,6,160,0.16480263157894737,0.0,0.23471958584987063,0.23471958584987063,0.059695723028180214,0.28669805032049167
avi_splice_sites,s3_10,0.0059814453125,0.0008544921875,5,136,0.16157120743034056,0.0,0.2665865135606734,0.2665865135606734,0.058849585809398385,0.2945389216626547
avi_splice_sites,s3_10,0.006072998046875,0.000762939453125,5,135,0.1627680311890838,0.0,0.273080848839553,0.273080848839553,0.05917343526039178,0.2960480385239751
avi_splice_sites,s3_10,0.0062255859375,0.0006103515625,4,132,0.1331738437001595,0.0,0.19305939961677668,0.19305939961677668,0.03341473295815005,0.2552365465962299
avi_splice_sites,s3_10,0.0064697265625,0.0006103515625,4,132,0.1331738437001595,0.0,0.19305939961677668,0.19305939961677668,0.03339137616219122,0.2563029475059413
avi_splice_sites,s3_10,0.006591796875,0.000732421875,4,133,0.13217253660466957,0.0,0.19305939961677668,0.19305939961677668,0.03309412461262403,0.2539242443934208
avi_splice_sites,s3_10,0.0067138671875,0.0008544921875,4,134,0.1311861743912019,0.0,0.18817181987964307,0.18817181987964307,0.03283575381780652,0.2515611455975657
avi_splice_sites,s3_10,0.0067999958992004395,0.0009406208992004395,4,134,0.1311861743912019,0.0,0.18817181987964307,0.18817181987964307,0.03283575381780652,0.2515611455975657
avi_splice_sites,s3_10,0.0068359375,0.0009765625,6,341,0.07732674795493132,0.0,0.13355367201521046,0.13355367201521046,0.027121919637271397,0.1333363157411278
avi_splice_sites,s3_10,0.007080078125,0.000732421875,3,257,0.05130043006348556,0.0,0.10061849045489839,0.10061849045489839,0.0,0.1053486892506921
avi_splice_sites,s3_10,0.00732421875,0.00048828125,3,251,0.05252673516460474,0.0,0.10300313534200999,0.10300313534200999,0.0,0.10780337298009697
avi_splice_sites,s3_10,0.00750732421875,0.00030517578125,2,209,0.042054898010576686,0.0,0.11938213704160835,0.11938213704160835,0.0,0.09668691755529343
avi_splice_sites,s3_10,0.0078125,0.0,2,207,0.04246122552758708,0.0,0.12078095589646237,0.12078095589646237,0.0,0.09783095369992317
avi_splice_sites,s3_10,0.00787353515625,6.103515625e-05,2,209,0.042054898010576686,0.0,0.11778171704005237,0.11778171704005237,0.0,0.09665100785967906
avi_splice_sites,s3_10,0.0079345703125,0.0001220703125,2,209,0.042054898010576686,0.0,0.11778171704005237,0.11778171704005237,0.0,0.09665100785967906
avi_splice_sites,s3_10,0.0081787109375,0.0003662109375,3,215,0.0613219094247246,0.0,0.12492520444119407,0.12492520444119407,0.017219756985514614,0.12590498971588643
avi_splice_sites,s3_10,0.008281707763671875,0.000469207763671875,3,217,0.06075673053601746,0.0,0.12410292012567463,0.12410292012567463,0.017064871275480974,0.12482291639562171
avi_splice_sites,s3_10,0.00830078125,0.00048828125,4,252,0.0697577276524645,0.0,0.15690614273878567,0.15690614273878567,0.017407939873145335,0.13208801037176934
avi_splice_sites,s3_10,0.00836181640625,0.00054931640625,4,252,0.0697577276524645,0.0,0.15690614273878567,0.15690614273878567,0.017407939873145335,0.13208801037176934
avi_splice_sites,s3_10,0.0084228515625,0.0006103515625,5,253,0.08685250676097357,0.0,0.1640391806793151,0.1640391806793151,0.03222412286131529,0.15535724708684523
avi_splice_sites,s3_10,0.008544921875,0.000732421875,5,258,0.08516931864545083,0.0,0.1610778524575622,0.1610778524575622,0.03157380448231543,0.15220609696053192
avi_splice_sites,s3_10,0.00860595703125,0.00079345703125,5,259,0.08484047957732167,0.0,0.15980959830585165,0.15980959830585165,0.03142082947874632,0.15173022823593918
avi_splice_sites,s3_10,0.0086669921875,0.0008544921875,5,261,0.08419036095987094,0.0,0.158581899623333,0.158581899623333,0.03118164045688771,0.15093905556477266
avi_splice_sites,s3_10,0.0087890625,0.0009765625,8,366,0.09605982168536094,0.0,0.2001892493282059,0.2001892493282059,0.04494321968729816,0.15616343901137986
avi_splice_sites,s3_10,0.009033203125,0.000732421875,5,156,0.14085695006747637,0.0,0.3180935471342174,0.3180935471342174,0.04944746175138754,0.25477155091328346
