score_column,stratum,clinvar_arm,scope,gene,n,walker_in_scope,n_pos,n_neg,frac_pp3,frac_grey,frac_bp4,sens_pp3,spec_pp3,lr_pp3,lr_bp4,lr_minus_at_pp3,prop_grey_pos,prop_grey_neg,lr_pp3_lo,lr_bp4_lo,sens_pp3_lo,spec_pp3_lo,lr_minus_at_pp3_lo,lr_pp3_hi,lr_bp4_hi,sens_pp3_hi,spec_pp3_hi,lr_minus_at_pp3_hi,n_genes,ci_basis,status,reason,tier_pp3,tier_bp4,posterior_pp3_prior0.05,posterior_bp4_prior0.05,posterior_pp3_prior0.1,posterior_bp4_prior0.1,posterior_pp3_prior0.2,posterior_bp4_prior0.2
spliceai,all_1_50,classified,gene,BARD1,312,True,61,251,0.21794871794871795,0.04487179487179487,0.7371794871794872,0.9836065573770492,0.9681274900398407,30.860655737704917,0.017968358508125136,0.01693314443769819,1.734723475976807e-17,0.055776892430278946,,,,,,,,,,,,per-gene point estimate; no interval,ok,,Strong,Strong,0.6189380240013151,0.000944809570055183,0.7742134484885873,0.0019925062712348777,0.8852574653185986,0.004472000997737275
spliceai,all_1_50,classified,gene,BRCA1,344,True,144,200,0.436046511627907,0.040697674418604654,0.5232558139534884,0.9861111111111112,0.96,24.65277777777778,0.007759155803848541,0.014467592592592542,0.0069444444444443955,0.06499999999999995,,,,,,,,,,,,per-gene point estimate; no interval,ok,,Strong,Strong,0.5647470569519568,0.00040820991786816454,0.7325629385059844,0.0008613857974709714,0.8603974793989336,0.0019360334546580967
spliceai,all_1_50,classified,gene,BRCA2,215,True,118,97,0.5720930232558139,0.023255813953488372,0.4046511627906977,0.9745762711864406,0.9175257731958762,11.816737288135593,0.029358353510895885,0.027709007808036614,4.163336342344337e-17,0.05154639175257725,,,,,,,,,,,,per-gene point estimate; no interval,ok,,Moderate,Strong,0.3834519267127291,0.0015427926136815486,0.5676555900463082,0.0032514329769047705,0.747103342040051,0.00728611131976264
spliceai,all_1_50,classified,gene,PALB2,227,True,89,138,0.3744493392070485,0.09691629955947137,0.5286343612334802,0.8314606741573034,0.9202898550724637,10.431052093973443,0.09605250074574923,0.18313722020702466,0.08988764044943817,0.10144927536231885,,,,,,,,,,,,per-gene point estimate; no interval,ok,,Moderate,Moderate,0.35442335057092283,0.005029966310681129,0.5368238448194291,0.01055980060997606,0.7228199320498301,0.023450016992765936
spliceai,all_1_50,classified,gene,RAD51C,261,True,61,200,0.2260536398467433,0.08045977011494253,0.6934865900383141,0.8688524590163934,0.97,28.961748633879782,0.07409465592294157,0.1352036504985635,0.06557377049180331,0.08499999999999996,,,,,,,,,,,,per-gene point estimate; no interval,ok,,Strong,Moderate,0.6038509741369488,0.0038845700023793,0.7629192457175759,0.008165514988823452,0.8786472148541113,0.018186778212239702
spliceai,all_1_50,classified,gene,VHL,58,True,24,34,0.39655172413793105,0.05172413793103448,0.5517241379310345,0.9583333333333334,1.0,33.54166666666667,0.0456989247311828,0.04166666666666663,-3.469446951953614e-17,0.08823529411764708,,,,,,,,,,,,per-gene point estimate; no interval,ok,,Strong,Strong,0.6383822363203807,0.002399435426958363,0.7884427032321254,0.005052005943536404,0.8934517203107658,0.011295681063122925
spliceai,all_1_50,recorded_unclassified,pooled,(pooled),1203,True,306,897,0.3399833748960931,0.08146300914380715,0.5785536159600998,0.8725490196078431,0.8416945373467113,5.511806130903065,0.11830651543128463,0.15142189326061548,0.03921568627450979,0.09587513935340031,2.931497975708502,0.05629354121128908,0.7563207164582629,0.6925789400472946,0.07952541923510308,8.3412110262009,0.24460294739064,0.9351169229115148,0.8926247288503254,0.3033544456944462,7.0,"gene-clustered bootstrap, 2000 resamples of 7 genes",ok,,Moderate,Moderate,0.2248633210244797,0.006188127349867201,0.3798153090789718,0.01297461488392276,0.5794699823617795,0.028726981585268218
spliceai,all_1_50,recorded_unclassified,gene,BAP1,136,True,47,89,0.3235294117647059,0.08088235294117647,0.5955882352941176,0.5957446808510638,0.8202247191011236,3.3138297872340425,0.39568116862496033,0.4928592247158263,0.1063829787234043,0.0674157303370787,,,,,,,,,,,,per-gene point estimate; no interval,ok,,Supporting,Supporting,0.14851013110846248,0.020400478085040197,0.26911447084233264,0.04211309020853753,0.4530909090909091,0.09001589365698599
spliceai,all_1_50,recorded_unclassified,gene,BARD1,126,True,48,78,0.5873015873015873,0.07936507936507936,0.3333333333333333,0.9583333333333334,0.641025641025641,2.669642857142857,0.08125,0.06499999999999995,-3.469446951953614e-17,0.1282051282051282,,,,,,,,,,,,per-gene point estimate; no interval,ok,,Supporting,Moderate,0.12319736299958797,0.004258106780216181,0.2287681713848508,0.008947006194081212,0.40026773761713524,0.019908116385911178
spliceai,all_1_50,recorded_unclassified,gene,BRCA1,626,True,91,535,0.2108626198083067,0.08306709265175719,0.7060702875399361,0.9230769230769231,0.9102803738317757,10.28846153846154,0.06726682928055926,0.08450481756436576,0.021978021978021928,0.09345794392523366,,,,,,,,,,,,per-gene point estimate; no interval,ok,,Moderate,Moderate,0.35128036769533816,0.0035278695097118624,0.5333998005982054,0.007418644509648398,0.7200538358008075,0.0165385828134757
