tool,stratum,score,eps,n_damaging_in_window,n_normal_in_window,local_lr,lr_lo_gene_boot,lr_hi_gene_boot,lr_hi_bootstrap_only,lr_lo_variant_boot,lr_hi_variant_boot
gpn_msa,all_1_50,-7.31,5.26,2,98,0.08747814322727214,0.0,0.16803124869681257,0.16803124869681257,0.0,0.20631240142793025
gpn_msa,all_1_50,-6.23,4.180000000000001,2,98,0.08747814322727214,0.0,0.16803124869681257,0.16803124869681257,0.0,0.20631240142793025
gpn_msa,all_1_50,-6.13,4.08,2,98,0.08747814322727214,0.0,0.16803124869681257,0.16803124869681257,0.0,0.20631240142793025
gpn_msa,all_1_50,-5.97,3.92,2,98,0.08747814322727214,0.0,0.16803124869681257,0.16803124869681257,0.0,0.20631240142793025
gpn_msa,all_1_50,-5.81,3.76,2,98,0.08747814322727214,0.0,0.16803124869681257,0.16803124869681257,0.0,0.20631240142793025
gpn_msa,all_1_50,-5.14,3.09,2,98,0.08747814322727214,0.0,0.16803124869681257,0.16803124869681257,0.0,0.20631240142793025
gpn_msa,all_1_50,-4.89,2.84,2,98,0.08747814322727214,0.0,0.16803124869681257,0.16803124869681257,0.0,0.20631240142793025
gpn_msa,all_1_50,-4.86,2.8100000000000005,2,98,0.08747814322727214,0.0,0.16803124869681257,0.16803124869681257,0.0,0.20631240142793025
gpn_msa,all_1_50,-4.5,2.47,2,98,0.08747814322727214,0.0,0.16598532943896646,0.16598532943896646,0.0,0.20614836656148483
gpn_msa,all_1_50,-4.44,2.4100000000000006,2,98,0.08747814322727214,0.0,0.16598532943896646,0.16598532943896646,0.0,0.20614836656148483
gpn_msa,all_1_50,-4.43,2.4,2,98,0.08747814322727214,0.0,0.16598532943896646,0.16598532943896646,0.0,0.20614836656148483
gpn_msa,all_1_50,-4.3,2.27,2,98,0.08747814322727214,0.0,0.16598532943896646,0.16598532943896646,0.0,0.20614836656148483
gpn_msa,all_1_50,-4.29,2.2600000000000002,2,98,0.08747814322727214,0.0,0.16598532943896646,0.16598532943896646,0.0,0.20614836656148483
gpn_msa,all_1_50,-4.25,2.22,2,98,0.08747814322727214,0.0,0.16598532943896646,0.16598532943896646,0.0,0.20614836656148483
gpn_msa,all_1_50,-4.21,2.18,2,98,0.08747814322727214,0.0,0.16598532943896646,0.16598532943896646,0.0,0.20614836656148483
gpn_msa,all_1_50,-4.18,2.15,2,98,0.08747814322727214,0.0,0.16598532943896646,0.16598532943896646,0.0,0.20614836656148483
gpn_msa,all_1_50,-3.99,2.0100000000000002,2,98,0.08747814322727214,0.0,0.1642722908427628,0.1642722908427628,0.0,0.206344090110604
gpn_msa,all_1_50,-3.85,1.8800000000000001,2,98,0.08747814322727214,0.0,0.16497700627010142,0.16497700627010142,0.0,0.206326427118393
gpn_msa,all_1_50,-3.84,1.8699999999999999,2,98,0.08747814322727214,0.0,0.16497700627010142,0.16497700627010142,0.0,0.206326427118393
gpn_msa,all_1_50,-3.82,1.8499999999999999,2,98,0.08747814322727214,0.0,0.16497700627010142,0.16497700627010142,0.0,0.206326427118393
gpn_msa,all_1_50,-3.8,1.8299999999999998,2,98,0.08747814322727214,0.0,0.16497700627010142,0.16497700627010142,0.0,0.206326427118393
gpn_msa,all_1_50,-3.61,1.64,2,98,0.08747814322727214,0.0,0.16497700627010142,0.16497700627010142,0.0,0.206326427118393
gpn_msa,all_1_50,-3.59,1.6199999999999999,2,98,0.08747814322727214,0.0,0.16497700627010142,0.16497700627010142,0.0,0.206326427118393
gpn_msa,all_1_50,-3.57,1.5999999999999999,2,98,0.08747814322727214,0.0,0.16497700627010142,0.16497700627010142,0.0,0.206326427118393
gpn_msa,all_1_50,-3.49,1.5300000000000002,2,99,0.08659452561891587,0.0,0.16457579901949748,0.16457579901949748,0.0,0.2037532718009148
gpn_msa,all_1_50,-3.48,1.52,2,99,0.08659452561891587,0.0,0.16457579901949748,0.16457579901949748,0.0,0.2037532718009148
gpn_msa,all_1_50,-3.43,1.4700000000000002,2,99,0.08659452561891587,0.0,0.16457579901949748,0.16457579901949748,0.0,0.2037532718009148
gpn_msa,all_1_50,-3.4,1.45,2,98,0.08747814322727214,0.0,0.16497700627010142,0.16497700627010142,0.0,0.20616776805381914
gpn_msa,all_1_50,-3.39,1.4400000000000002,2,98,0.08747814322727214,0.0,0.16497700627010142,0.16497700627010142,0.0,0.20616776805381914
gpn_msa,all_1_50,-3.29,1.34,2,98,0.08747814322727214,0.0,0.16497700627010142,0.16497700627010142,0.0,0.20616776805381914
gpn_msa,all_1_50,-3.28,1.3299999999999998,2,98,0.08747814322727214,0.0,0.16497700627010142,0.16497700627010142,0.0,0.20616776805381914
gpn_msa,all_1_50,-3.25,1.3,2,98,0.08747814322727214,0.0,0.16497700627010142,0.16497700627010142,0.0,0.20616776805381914
gpn_msa,all_1_50,-3.15,1.27,2,98,0.08747814322727214,0.0,0.16154850212844196,0.16154850212844196,0.0,0.20680583268475483
gpn_msa,all_1_50,-3.09,1.21,2,98,0.08747814322727214,0.0,0.16154850212844196,0.16154850212844196,0.0,0.20680583268475483
gpn_msa,all_1_50,-3.05,1.2399999999999998,2,99,0.08659452561891587,0.0,0.1603895823435408,0.1603895823435408,0.0,0.2034441924378593
gpn_msa,all_1_50,-3.0,1.21,2,101,0.08487978253735316,0.0,0.15733160100948848,0.15733160100948848,0.0,0.1987235530687183
gpn_msa,all_1_50,-2.98,1.19,2,99,0.08659452561891587,0.0,0.15847377738946497,0.15847377738946497,0.0,0.20287027496858617
