gene_set,stratum,clinvar_arm,tool,n,k_genes,n_pos,n_neg,auroc,auroc_lo,auroc_hi,auprc_median,status,walker_sens_pp3,walker_spec_pp3,walker_lr_pp3,walker_lr_bp4,walker_lr_bp4_for_tier,walker_tier_pp3
all_genes,s3_10,unrecorded,avi_splice_site_usage,1605,5,269.0,1303.0,0.8884720754203006,0.8198708367485958,0.933079420383101,0.7465381238981201,ok,0.708029197080292,0.8858001502629602,6.1999135612754515,0.26537239794539064,0.26537239794539064,Moderate
all_genes,s3_10,unrecorded,avi_splice_junctions,1605,5,269.0,1303.0,0.8934802813439392,0.8147759664007567,0.9411572270170906,0.7842442730908744,ok,0.9708029197080292,0.27122464312546957,1.3321017382797804,0.1508591376887156,0.1508591376887156,below supporting
all_genes,s11_50,classified,spliceai,736,1,,,,,,,not evaluable,0.1875,0.9772727272727273,8.25,0.7,0.7,Moderate
all_genes,s11_50,classified,pangolin,736,1,,,,,,,not evaluable,0.125,0.9872159090909091,9.777777777777777,0.8012139605462822,0.8012139605462822,Moderate
all_genes,s11_50,classified,alphagenome,736,1,,,,,,,not evaluable,1.0,0.0,1.0,,,below supporting
all_genes,s11_50,classified,cadd,736,1,,,,,,,not evaluable,1.0,0.05397727272727273,1.057057057057057,0.0,2.75,below supporting
all_genes,s11_50,classified,phylop,736,1,,,,,,,not evaluable,0.5625,0.5411931818181818,1.2260061919504643,0.8676056338028169,0.8676056338028169,below supporting
all_genes,s11_50,classified,phastcons,736,1,,,,,,,not evaluable,0.15625,0.8110795454545454,0.8270676691729323,1.0495412844036698,1.0495412844036698,below supporting
all_genes,s11_50,classified,gpn_msa,736,1,,,,,,,not evaluable,0.96875,0.08948863636363637,1.06396255850234,0.3728813559322034,0.3728813559322034,below supporting
all_genes,s11_50,classified,nt,736,1,,,,,,,not evaluable,0.75,0.38636363636363635,1.222222222222222,0.6184738955823293,0.6184738955823293,below supporting
all_genes,s11_50,classified,spliceai_walker,736,1,,,,,,,not evaluable,0.1875,0.9744318181818182,7.333333333333333,0.6500777604976672,0.6500777604976672,Moderate
all_genes,s11_50,classified,avi,736,1,,,,,,,not evaluable,0.53125,0.7727272727272727,2.3375,0.5654205607476636,0.5654205607476636,Supporting
all_genes,s11_50,classified,avi_splice_sites,736,1,,,,,,,not evaluable,0.15625,0.9829545454545454,9.166666666666668,0.8012139605462822,0.8012139605462822,Moderate
all_genes,s11_50,classified,avi_splice_site_usage,736,1,,,,,,,not evaluable,0.15625,0.9900568181818182,15.714285714285715,0.7343976777939043,0.7343976777939043,Moderate
all_genes,s11_50,classified,avi_splice_junctions,736,1,,,,,,,not evaluable,0.6875,0.4559659090909091,1.2637075718015665,0.619718309859155,0.619718309859155,below supporting
all_genes,s11_50,recorded_unclassified,spliceai,311,0,,,,,,,not evaluable,0.7368421052631579,0.9212328767123288,9.354691075514873,0.23827009383924927,0.23827009383924927,Moderate
all_genes,s11_50,recorded_unclassified,pangolin,311,0,,,,,,,not evaluable,0.6842105263157895,0.9212328767123288,8.686498855835241,0.24688226590572818,0.24688226590572818,Moderate
all_genes,s11_50,recorded_unclassified,alphagenome,311,0,,,,,,,not evaluable,1.0,0.0,1.0,,,below supporting
all_genes,s11_50,recorded_unclassified,cadd,311,0,,,,,,,not evaluable,1.0,0.0410958904109589,1.042857142857143,,,below supporting
all_genes,s11_50,recorded_unclassified,phylop,311,0,,,,,,,not evaluable,0.6842105263157895,0.476027397260274,1.3058135534915722,0.7814451382694023,0.7814451382694023,below supporting
all_genes,s11_50,recorded_unclassified,phastcons,311,0,,,,,,,not evaluable,0.2631578947368421,0.815068493150685,1.4230019493177388,0.845968131337518,0.845968131337518,below supporting
all_genes,s11_50,recorded_unclassified,gpn_msa,311,0,,,,,,,not evaluable,1.0,0.05136986301369863,1.0541516245487363,0.0,3.8421052631578947,below supporting
all_genes,s11_50,recorded_unclassified,nt,311,0,,,,,,,not evaluable,0.8421052631578947,0.3356164383561644,1.2674986435160065,0.5692007797270955,0.5692007797270955,below supporting
all_genes,s11_50,recorded_unclassified,spliceai_walker,311,0,,,,,,,not evaluable,0.7894736842105263,0.9075342465753424,8.538011695906434,0.25091299677765844,0.25091299677765844,Moderate
all_genes,s11_50,recorded_unclassified,avi,311,0,,,,,,,not evaluable,0.8947368421052632,0.7465753424657534,3.530583214793741,0.18187480535658673,0.18187480535658673,Supporting
all_genes,s11_50,recorded_unclassified,avi_splice_sites,311,0,,,,,,,not evaluable,0.6842105263157895,0.9486301369863014,13.319298245614036,0.29106858054226475,0.29106858054226475,Moderate
all_genes,s11_50,recorded_unclassified,avi_splice_site_usage,311,0,,,,,,,not evaluable,0.631578947368421,0.952054794520548,13.172932330827068,0.34406912804399054,0.34406912804399054,Moderate
all_genes,s11_50,recorded_unclassified,avi_splice_junctions,311,0,,,,,,,not evaluable,0.9473684210526315,0.5376712328767124,2.0491228070175436,0.0,0.45648775403856173,below supporting
all_genes,s11_50,unrecorded,spliceai,3490,4,165.0,3267.0,0.8655242771254578,0.7175476573632199,0.9422187943118083,0.5466347781440464,ok,0.41954022988505746,0.9644149577804584,11.789791544905512,0.5109748998390576,0.5109748998390576,Moderate
all_genes,s11_50,unrecorded,pangolin,3490,4,165.0,3267.0,0.8453742926201393,0.7703824880534867,0.8990825456885662,0.44848042597672505,ok,0.40804597701149425,0.9671290711700844,12.413582199725825,0.4831825114772216,0.4831825114772216,Moderate
all_genes,s11_50,unrecorded,alphagenome,3490,4,165.0,3267.0,0.8449401314944581,0.7548015870799601,0.9060661736073696,0.47371505912827483,ok,1.0,0.0,1.0,,,below supporting
all_genes,s11_50,unrecorded,cadd,3490,4,165.0,3267.0,0.6284078041841803,0.47085505338661826,0.7626922401965873,0.12271748587775151,ok,1.0,0.025934861278648975,1.026625386996904,0.0,1.2704980842911877,below supporting
all_genes,s11_50,unrecorded,phylop,3490,4,165.0,3267.0,0.6672597617209072,0.5570857480885678,0.7617488629013094,0.15371838099206991,ok,0.7528735632183908,0.4620024125452352,1.3993995154888923,0.5372084923007137,0.5372084923007137,below supporting
all_genes,s11_50,unrecorded,phastcons,3490,4,165.0,3267.0,0.585099119852646,0.4550692438222473,0.7042653038879847,0.07904204324743452,ok,0.41379310344827586,0.7964414957780458,2.0327969348659005,0.7477961376030179,0.7477961376030179,below supporting
all_genes,s11_50,unrecorded,gpn_msa,3490,4,165.0,3267.0,0.6627545815705319,0.5088086594884531,0.7885070049285845,0.13314737657016273,ok,0.9597701149425287,0.06182147165259349,1.0230143687397701,0.6214392803598201,0.6214392803598201,below supporting
all_genes,s11_50,unrecorded,nt,3490,4,165.0,3267.0,0.7165486718328543,0.615418371193533,0.7997392143508751,0.09807656446753793,ok,0.8390804597701149,0.32599517490952956,1.2449175859497543,0.4876527959152461,0.4876527959152461,below supporting
all_genes,s11_50,unrecorded,spliceai_walker,3490,4,165.0,3267.0,0.8551210147377122,0.7173420654249131,0.9320980350158702,0.5377510417170063,ok,0.4540229885057471,0.9574788902291917,10.677590282872748,0.4686263425664217,0.4686263425664217,Moderate
all_genes,s11_50,unrecorded,avi,3490,4,165.0,3267.0,0.7937381601041409,0.7484538781296048,0.8326925273623937,0.43125017420712614,ok,0.735632183908046,0.6911942098914354,2.382183908045977,0.2791516917597539,0.2791516917597539,Supporting
all_genes,s11_50,unrecorded,avi_splice_sites,3490,4,165.0,3267.0,0.8156049132767502,0.7305376510247189,0.8782911786807995,0.3799375585324245,ok,0.3620689655172414,0.9604945717732207,9.165043432482232,0.5222970065769255,0.5222970065769255,Moderate
all_genes,s11_50,unrecorded,avi_splice_site_usage,3490,4,165.0,3267.0,0.8509069497900241,0.7486405577974652,0.9162220825637912,0.4914891923270932,ok,0.3620689655172414,0.9819059107358263,20.010344827586206,0.5436457319929376,0.5436457319929376,Strong
all_genes,s11_50,unrecorded,avi_splice_junctions,3490,4,165.0,3267.0,0.8378508299573506,0.7131430273918865,0.9148190496839493,0.5164819352888514,ok,0.867816091954023,0.44632086851628466,1.5673628327448477,0.19560454376917114,0.19560454376917114,below supporting
all_genes,s3_50,classified,spliceai,1409,5,119.0,997.0,0.8432715835840843,0.7029781157842435,0.9244238028134261,0.665123414416037,ok,0.5748031496062992,0.968798751950078,18.422440944881888,0.3396764791803958,0.3396764791803958,Moderate
all_genes,s3_50,classified,pangolin,1409,5,119.0,997.0,0.8515545314302464,0.7187579864381776,0.9279342900429801,0.641173163087056,ok,0.5984251968503937,0.9734789391575663,22.56415006947661,0.3451107073154317,0.3451107073154317,Strong
all_genes,s3_50,classified,alphagenome,1409,5,119.0,997.0,0.8305072458656988,0.6669414784126384,0.9230174142429884,0.6944054643348394,ok,1.0,0.0,1.0,,,below supporting
all_genes,s3_50,classified,cadd,1409,5,119.0,997.0,0.7458011347665945,0.5553898907588791,0.8732728340055897,0.3457882633065982,ok,1.0,0.046021840873634944,1.0482420278004905,0.0,1.0094488188976378,below supporting
all_genes,s3_50,classified,phylop,1409,5,119.0,997.0,0.7928348829804421,0.6431749809702234,0.8904188284929092,0.5969207051982653,ok,0.8188976377952756,0.5210608424336973,1.7098155890122855,0.3640635084548858,0.3640635084548858,below supporting
all_genes,s3_50,classified,phastcons,1409,5,119.0,997.0,0.792215298145352,0.5950295421519586,0.9082010191420481,0.35460223881687203,ok,0.7086614173228346,0.749609984399376,2.830230333357863,0.4024380673346064,0.4024380673346064,Supporting
all_genes,s3_50,classified,gpn_msa,1409,5,119.0,997.0,0.8143598353109651,0.6681491284920805,0.9052833804641698,0.4694917207708766,ok,0.9921259842519685,0.0842433697347894,1.0833948141490832,0.09800473969879978,0.09800473969879978,below supporting
