tool,stratum,score,eps,local_lr,lr_lo_gene_boot,lr_hi_gene_boot,lr_lo_variant_boot,lr_hi_variant_boot
phastcons,s11_50,0.0,0.0,0.8088658521535235,0.531604769530493,0.9394265279806062,0.720854198293944,0.89825818621911
phastcons,s11_50,0.00656693,0.0013070900000000003,1.0766541822721598,0.7678808065613696,1.5643879173290938,0.5509247097135037,1.6909517387602677
phastcons,s11_50,0.00785827,1.575000000000014e-05,0.8661895794099184,0.40550773670773677,1.1348076923076922,0.3998622063041656,1.4209121388493275
phastcons,s11_50,0.00787402,0.0,0.8965821962313191,0.43234037083453847,1.1364040158198967,0.4127533643206379,1.4725992347920618
phastcons,s11_50,0.0157165,0.00784248,0.8913695090439276,0.2854138285644571,1.23213763346497,0.4917294351494661,1.3499388341543512
phastcons,s11_50,0.015748,0.007873980000000001,0.8913695090439276,0.2854138285644571,1.23213763346497,0.4917294351494661,1.3499388341543512
phastcons,s11_50,0.023622,0.007873999999999999,0.6388148148148148,0.20064682199194772,1.0427791262135924,0.22578553752888283,1.1498807772730546
phastcons,s11_50,0.0314331,0.007811099999999998,0.6608429118773946,0.24224042058436965,1.931867022170999,0.16793234369233437,1.2730346181543841
phastcons,s11_50,0.0314961,0.007874099999999998,0.536068376068376,0.19590670970411897,1.4835462640340689,0.13635143597911326,1.0284243649388873
phastcons,s11_50,0.0328346,0.009212599999999998,0.536068376068376,0.19590670970411897,1.4835462640340689,0.13635143597911326,1.0284243649388873
phastcons,s11_50,0.0393701,0.007873999999999999,0.7442502696871629,0.3546153846153846,1.6130917592051432,0.1900224956993516,1.435595770835496
phastcons,s11_50,0.0471496,0.0156535,0.7985185185185185,0.37560240963855424,1.887634507337525,0.2830198309704988,1.4537786774628878
phastcons,s11_50,0.0472441,0.015747999999999998,0.8097652582159626,0.3035034272658035,1.9841729395869525,0.2903666197843413,1.4168005757738806
phastcons,s11_50,0.0551181,0.015748000000000005,0.6335353535353535,0.24209742696224973,1.6735856735856736,0.1638708016493105,1.2236496533089047
phastcons,s11_50,0.0629921,0.0157481,0.6335353535353535,0.22425944571034923,1.7974272511552392,0.1643020594965675,1.2224534431480205
phastcons,s11_50,0.0708661,0.015747999999999998,0.5692409240924093,0.13482844546674333,2.2358241416809075,0.17836184808661873,1.1879686511734033
phastcons,s11_50,0.0785827,0.01559060000000001,0.365037037037037,0.12651078189694373,1.6412001237240952,0.16165441727913604,0.863683516821309
