tool,stratum,score,eps,local_lr,lr_lo_gene_boot,lr_hi_gene_boot,lr_lo_variant_boot,lr_hi_variant_boot
cadd,pm12,12.46,14.04,0.5464863184079601,0.20186682360441877,2.906440907789148,0.34056175134242045,1.0952993914687454
cadd,pm12,15.53,10.97,0.5464863184079601,0.20186682360441877,2.906440907789148,0.34056175134242045,1.0952993914687454
cadd,pm12,15.84,10.66,0.5464863184079601,0.20186682360441877,2.906440907789148,0.34056175134242045,1.0952993914687454
cadd,pm12,17.65,8.850000000000001,0.5464863184079601,0.20186682360441877,2.906440907789148,0.34056175134242045,1.0952993914687454
cadd,pm12,18.15,8.350000000000001,0.5464863184079601,0.20186682360441877,2.906440907789148,0.34056175134242045,1.0952993914687454
cadd,pm12,18.69,7.809999999999999,0.5464863184079601,0.20186682360441877,2.906440907789148,0.34056175134242045,1.0952993914687454
cadd,pm12,21.2,5.300000000000001,0.529228855721393,0.1973588586952188,2.871794871794872,0.32997015796802714,1.0604569503903098
cadd,pm12,21.8,4.699999999999999,0.529228855721393,0.1973588586952188,2.871794871794872,0.32997015796802714,1.0604569503903098
cadd,pm12,22.4,4.200000000000003,0.5464863184079601,0.2107860648108977,2.937062937062937,0.34131426202321724,1.0986267166042447
cadd,pm12,22.6,4.0,0.5464863184079601,0.2107860648108977,2.937062937062937,0.34131426202321724,1.0986267166042447
cadd,pm12,22.8,3.8000000000000007,0.5407338308457711,0.20754716981132076,2.937062937062937,0.33704875537575624,1.086160205992509
cadd,pm12,23.3,3.3000000000000007,0.5407338308457711,0.20754716981132076,2.937062937062937,0.33704875537575624,1.086160205992509
cadd,pm12,23.4,3.200000000000003,0.5407338308457711,0.20754716981132076,2.937062937062937,0.33704875537575624,1.086160205992509
cadd,pm12,23.5,3.1000000000000014,0.5407338308457711,0.20754716981132076,2.937062937062937,0.33704875537575624,1.086160205992509
cadd,pm12,23.6,3.0,0.5407338308457711,0.20754716981132076,2.937062937062937,0.33704875537575624,1.086160205992509
cadd,pm12,23.7,2.900000000000002,0.5407338308457711,0.20754716981132076,2.937062937062937,0.33704875537575624,1.086160205992509
cadd,pm12,23.9,2.700000000000003,0.5407338308457711,0.20754716981132076,2.937062937062937,0.33704875537575624,1.086160205992509
cadd,pm12,24.0,2.6000000000000014,0.6179815209665955,0.24329268292682926,2.937062937062937,0.3745289018351749,1.3341803220576174
cadd,pm12,24.1,2.5,0.6179815209665955,0.24329268292682926,2.937062937062937,0.3745289018351749,1.3341803220576174
cadd,pm12,24.2,2.400000000000002,0.6179815209665955,0.24329268292682926,2.937062937062937,0.3745289018351749,1.3341803220576174
cadd,pm12,24.3,2.3000000000000007,0.7209784411276948,0.29015691868758914,2.937062937062937,0.417651343786064,1.7486380125094385
cadd,pm12,24.4,2.200000000000003,0.7209784411276948,0.29015691868758914,2.937062937062937,0.417651343786064,1.7486380125094385
