tool,stratum,tier,path_cut_lr,n_genes,k,n_subsets,n_subsets_fitted,n_subsets_reached,frac_subsets_reached,threshold_median,threshold_q25,threshold_q75,threshold_min,threshold_max,threshold_all_genes,n_pairs,n_pairs_evaluable,n_pairs_cleared,frac_pairs_cleared,heldout_lr_median,heldout_lr_q25,heldout_lr_q75
spliceai_walker,s3_10,moderate,4.33,7,2,21,21,21,1.0,0.5450217127799988,0.5112254619598389,0.6189216375350952,0.3799819350242615,0.6469601988792419,0.5386447906494141,105,91,91,1.0,16.293103448275865,11.476604278074866,25.185185185185183
spliceai_walker,s3_10,moderate,4.33,7,3,35,35,35,1.0,0.5042514204978943,0.47423380613327026,0.632879912853241,0.41683775186538696,0.6469510793685913,0.5386447906494141,140,123,123,1.0,15.15702479338843,11.05422077922078,23.90909090909091
spliceai_walker,s3_10,moderate,4.33,7,4,35,35,35,1.0,0.5783520340919495,0.4749642163515091,0.6339998841285706,0.41683775186538696,0.6483346223831177,0.5386447906494141,105,91,91,1.0,14.886363636363637,11.365011961722487,25.185185185185183
spliceai_walker,s3_10,moderate,4.33,7,5,21,21,21,1.0,0.5811833143234253,0.4862271249294281,0.5833978056907654,0.4185587763786316,0.6373701691627502,0.5386447906494141,42,37,37,1.0,14.896551724137932,11.087566844919786,28.148148148148145
spliceai_walker,s3_10,moderate,4.33,7,6,7,7,7,1.0,0.5537148118019104,0.5417071580886841,0.5565782487392426,0.46150460839271545,0.5718735456466675,0.5386447906494141,7,6,6,1.0,13.975373764166868,12.098953780594407,24.83524904214559
spliceai_walker,s3_10,strong,18.7,7,2,21,21,6,0.2857142857142857,0.7657016217708588,0.7234089970588684,0.843647375702858,0.7065954208374023,0.8721567392349243,0.9594634771347046,105,25,13,0.52,26.454545454545453,14.549999999999999,36.66666666666667
spliceai_walker,s3_10,strong,18.7,7,3,35,35,17,0.4857142857142857,0.8511947989463806,0.8201466798782349,0.8951824903488159,0.7065954208374023,0.9149905443191528,0.9594634771347046,140,56,35,0.625,27.446590909090908,14.56695205479452,46.462339743589745
spliceai_walker,s3_10,strong,18.7,7,4,35,35,20,0.5714285714285714,0.9036657512187958,0.8424055129289627,0.9143393486738205,0.779918909072876,0.9408294558525085,0.9594634771347046,105,45,27,0.6,25.13181818181818,14.151724137931035,46.66666666666667
spliceai_walker,s3_10,strong,18.7,7,5,21,21,20,0.9523809523809523,0.9039157032966614,0.8653010725975037,0.912063330411911,0.8201466798782349,0.9274956583976746,0.9594634771347046,42,32,21,0.65625,29.416666666666664,14.151724137931035,65.6590909090909
spliceai_walker,s3_10,strong,18.7,7,6,7,7,7,1.0,0.89483243227005,0.8768258988857269,0.8987584710121155,0.8221615552902222,0.9594634771347046,0.9594634771347046,7,6,4,0.6666666666666666,51.926282051282044,18.959189497716896,72.1923076923077
spliceai_walker,s11_50,moderate,4.33,6,2,15,15,14,0.9333333333333333,0.4453187733888626,0.3857938349246979,0.49281417578458786,0.2710832357406616,0.5598223805427551,0.2920072078704834,60,34,34,1.0,30.154166666666665,12.193268450932685,76.59313725490196
spliceai_walker,s11_50,moderate,4.33,6,3,20,20,20,1.0,0.34970392286777496,0.3137085363268852,0.3911285176873207,0.2710832357406616,0.47746989130973816,0.2920072078704834,60,40,40,1.0,25.924404761904764,16.90630731798615,52.48939393939394
spliceai_walker,s11_50,moderate,4.33,6,4,15,15,15,1.0,0.322883665561676,0.3147086948156357,0.3418949842453003,0.28431570529937744,0.3551959991455078,0.2920072078704834,30,20,20,1.0,25.245833333333337,16.822536496350363,34.37361111111111
spliceai_walker,s11_50,moderate,4.33,6,5,6,6,6,1.0,0.31308162212371826,0.2957555055618286,0.31508968770504,0.29005610942840576,0.3187180757522583,0.2920072078704834,6,4,4,1.0,25.09166666666667,16.724434306569343,35.45757575757576
spliceai_walker,s11_50,strong,18.7,6,2,15,15,1,0.06666666666666667,0.6346065402030945,0.6346065402030945,0.6346065402030945,0.6346065402030945,0.6346065402030945,,60,1,0,0.0,9.605839416058394,9.605839416058394,9.605839416058394
spliceai_walker,s11_50,strong,18.7,6,3,20,20,2,0.1,0.6346065402030945,0.6346065402030945,0.6346065402030945,0.6346065402030945,0.6346065402030945,,60,2,0,0.0,9.605839416058394,9.605839416058394,9.605839416058394
