set,scheme,dBrier,dBrier_lo,dBrier_hi,dBrier_excludes_zero,dECE,dECE_lo,dECE_hi
y_assay/BRCA1_included,unweighted,0.009818054380742035,0.0036512011651504417,0.01809306704961778,True,0.007893936846074454,-0.002042594515097579,0.030353312913557
y_assay/BRCA1_included,quintile,0.009954036928372004,0.003196843171876005,0.01837348772908205,True,0.007359420223012725,-0.003929906216810805,0.028209083108279246
y_assay/BRCA1_included,decile,0.00985881438431363,0.0030880228960649472,0.01940304080568553,True,0.00729738752105151,-0.004852215915673766,0.02955088456238905
y_assay/BRCA1_included,vigintile,0.010167997426671335,0.0038592913015329557,0.019280211904091203,True,0.007686990966944016,-0.003829886512095475,0.02920369946464696
y_assay/BRCA1_included,decile_truncated,0.00985881438431363,0.0030880228960649472,0.01940304080568553,True,0.00729738752105151,-0.004852215915673766,0.02955088456238905
y_assay/BRCA1_excluded,unweighted,0.011840545152442428,0.004628394600119576,0.018727548526422638,True,-0.006166626155517579,-0.00798003168955648,0.021835658938863536
y_assay/BRCA1_excluded,quintile,0.012322398836593085,0.0027302245458523736,0.02010458139278147,True,-0.006703987589603524,-0.008641423666368168,0.025546144102214785
y_assay/BRCA1_excluded,decile,0.012142796487468507,0.003381798143483161,0.020084167939559073,True,-0.005790942853178667,-0.00930265526849665,0.026288310919281705
y_assay/BRCA1_excluded,vigintile,0.012551167755709303,0.003635275652292611,0.020579062621439048,True,-0.005870369228164227,-0.010375771493090609,0.026769062151690975
y_assay/BRCA1_excluded,decile_truncated,0.012142796487468507,0.003381798143483161,0.020084167939559073,True,-0.005790942853178667,-0.00930265526849665,0.026288310919281705
y_clinvar/BRCA1_included,unweighted,0.012737083681837106,0.001130415173684964,0.025888531737998963,True,0.00809431515567325,0.002384656358035837,0.027706397130390796
y_clinvar/BRCA1_included,quintile,0.01305934647835294,0.0006385525942792626,0.027773135666862386,True,0.008456687932463732,0.0024250402391616964,0.029919612391509608
y_clinvar/BRCA1_included,decile,0.01319312895167028,0.00012887325810109936,0.028498414519359517,True,0.00867761738182799,0.002369115112945285,0.030522429476691496
y_clinvar/BRCA1_included,vigintile,0.013410433352869063,0.00023001285796017413,0.027726671954122227,True,0.008981213273990273,0.00230836182435072,0.02948396922687528
y_clinvar/BRCA1_included,decile_truncated,0.01319312895167028,0.00012887325810109936,0.028498414519359517,True,0.00867761738182799,0.002369115112945285,0.030522429476691496
y_clinvar/BRCA1_excluded,unweighted,0.018643183692367518,0.005714733373881721,0.03205387752683621,True,0.013149444606237223,0.005679175912730556,0.03530888466731258
y_clinvar/BRCA1_excluded,quintile,0.01958805986622377,0.005914178635377906,0.03522615960699585,True,0.014292317260474594,0.005483948472491717,0.038263518150953565
y_clinvar/BRCA1_excluded,decile,0.019731422784578755,0.005909090223263834,0.033537966415839976,True,0.014401059853385766,0.006467935894659781,0.03778669096738935
y_clinvar/BRCA1_excluded,vigintile,0.020046712002919298,0.005222089426248126,0.0341613114563675,True,0.01480924355716029,0.005883379620883124,0.04037116757440974
y_clinvar/BRCA1_excluded,decile_truncated,0.019731422784578755,0.005909090223263834,0.033537966415839976,True,0.014401059853385766,0.006467935894659781,0.03778669096738935
