bin_mid,mean_pred,frac_pos,n
0.05,0.027215681313011036,0.015625,64
0.15000000000000002,0.1258121117276047,0.0,33
0.35000000000000003,0.32332239815758773,0.0,12
0.45,0.4782608695652174,0.0,2
0.55,0.54,0.0,5
0.75,0.7845547309833024,0.14285714285714285,14
0.8500000000000001,0.890625,1.0,2
0.95,0.9813616334673463,0.95,60
