label_rule,n,n_damaging,dBrier,ci_lo,ci_hi,fusion_better
control-anchored RFS>0,192,62,0.04309491792245672,0.015512691473185526,0.07071840704778631,True
median split (top 50%),192,96,0.038077361712012314,0.010230879161217024,0.06805760085909593,True
NA mid-band |RFS|>=0.5,181,55,0.043921425952339194,0.015916337821213825,0.07544457842589383,True
