label,brca1,n_labelled,n_pos,n_neg,pos_frac
y_clinvar,included,946,555,391,0.5866807610993657
y_clinvar,excluded,734,406,328,0.553133514986376
y_assay,included,1675,821,854,0.49014925373134327
y_assay,excluded,1168,594,574,0.5085616438356164
