condition,object,target_spec,threshold,sensitivity,specificity_achieved,n,n_pos,n_neg,lr_plus,lr_minus,lr_plus_interp,sensitivity_interp,acmg_tier_observed,acmg_tier,tier_basis
y_assay/BRCA1_included,spliceai,0.975,0.6538461538461539,0.7064555420219245,0.9754098360655737,1675,821,854,28.72919204222493,0.3009447384313043,28.258221680876954,0.7064555420219245,Strong,Strong,interpolated to the nominal specificity
y_assay/BRCA1_included,spliceai,0.99,0.7906773883051256,0.43605359317904996,0.990632318501171,1675,821,854,46.54872107186358,0.5692792333629921,43.60535931790495,0.4360535931790499,Strong,Strong,interpolated to the nominal specificity
y_assay/BRCA1_included,pangolin,0.9,0.5054055656573642,0.9269183922046285,0.9004683840749415,1675,821,854,9.312803611091208,0.08115954883907321,9.269183922046286,0.9269183922046285,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_included,pangolin,0.95,0.5787545787545787,0.8380024360535931,0.9508196721311475,1675,821,854,17.03938286642306,0.1703767482884624,16.760048721071847,0.8380024360535931,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_included,pangolin,0.975,0.6358415595703731,0.7429963459196103,0.9754098360655737,1675,821,854,30.215184734064152,0.26348273779670206,29.719853836784385,0.7429963459196103,Strong,Strong,interpolated to the nominal specificity
y_assay/BRCA1_included,pangolin,0.99,0.8406593406593407,0.3264311814859927,0.990632318501171,1675,821,854,34.84652862362972,0.6799382636063384,32.64311814859924,0.3264311814859927,Strong,Strong,interpolated to the nominal specificity
y_assay/BRCA1_included,alphagenome,0.9,0.5162166969720927,0.904993909866017,0.9004683840749415,1675,821,854,9.092527047359747,0.10550741349079513,9.049939098660172,0.904993909866017,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_included,alphagenome,0.95,0.6098901098901099,0.7734470158343484,0.9508196721311475,1675,821,854,15.726755988631751,0.23827124196732327,15.468940316686954,0.7734470158343484,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_included,alphagenome,0.975,0.6776556776556776,0.6552984165651644,0.9754098360655737,1675,821,854,26.64880227365002,0.3533915393197474,26.211936662606554,0.6552984165651644,Strong,Strong,interpolated to the nominal specificity
y_assay/BRCA1_included,alphagenome,0.99,0.7912087912087912,0.4299634591961023,0.990632318501171,1675,821,854,45.89859926918392,0.5754269572654003,42.9963459196102,0.42996345919610235,Strong,Strong,interpolated to the nominal specificity
y_assay/BRCA1_included,gpn_msa,0.9,0.5750915750915752,0.784409257003654,0.9004683840749415,1675,821,854,7.881005946836712,0.23942066907526585,7.844092570036542,0.784409257003654,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_included,gpn_msa,0.95,0.6728159340659341,0.6358099878197321,0.9508196721311475,1675,821,854,12.92813641900122,0.38302742660338523,12.71619975639463,0.6358099878197321,Moderate,Moderate,interpolated to the nominal specificity
