gene,n_frame,n_observed,n_remainder,pct_covered,mean_abs_z_frame,mean_abs_z_observed,mean_abs_z_remainder,extreme_decile_frac_observed,extreme_decile_frac_remainder,ks_p,mwu_abs_z_p
BAP1,768,274,494,35.7,0.8433769518602793,0.903993954188608,0.8097553756700727,0.23722627737226276,0.18016194331983806,1.853e-01,3.701e-02
BARD1,430,200,230,46.5,0.8755590838396657,0.9400651060610795,0.8194668906036537,0.215,0.18695652173913044,3.365e-04,3.767e-02
BRCA1,536,536,0,100.0,0.8777557180105303,0.8777557180105303,,0.20149253731343283,,n/a (fully covered),n/a (fully covered)
BRCA2,552,278,274,50.4,0.889323018478675,1.0368230631865953,0.7396696884465516,0.21942446043165467,0.18613138686131386,1.542e-17,2.506e-12
PALB2,528,250,278,47.3,0.8136560565248925,0.8592547016070379,0.7726500807315961,0.232,0.17266187050359713,7.105e-07,4.759e-02
RAD51C,384,171,213,44.5,0.8783445079660842,0.8885775220173406,0.8701292713333855,0.2046783625730994,0.20187793427230047,3.074e-02,4.268e-01
VHL,93,59,34,63.4,0.8823354326857726,0.9583453481970597,0.7504358734161859,0.1864406779661017,0.2647058823529412,4.202e-02,2.323e-02
POOLED,3291,1768,1523,53.7,0.861300261403075,0.9150022897566535,0.798959364404305,0.2319004524886878,0.16283650689428758,5.452e-26,7.054e-15
