cal_method,cells_compared,cells_identical,median_abs_change_lr_plus,max_abs_change_lr_plus,cells_with_a_tier,cells_changing_tier_observed,cells_compared_interp,cells_identical_interp,median_abs_change_lr_plus_interp,max_abs_change_lr_plus_interp,cells_changing_tier,tier_basis
isotonic,44,2,0.7779650545241275,9.301170806433959,48,3,44,1,0.4601228401471982,1.8099999999999996,3,interpolated to the nominal specificity
platt,44,6,0.2243265993265986,1.563333333333334,48,3,44,5,0.2409978272047235,2.2121212121212137,1,interpolated to the nominal specificity
