n_training_genes,count,mean,std,min,max,mean_paired_over_held_out_genes,n_genes_worse_than_6
3,140,0.06089792011506869,0.02420047081851154,0.015151708244293124,0.11175262541368336,0.060897920115068706,6
4,105,0.05968848681733892,0.023936215090775193,0.0143731655324852,0.11094652418025823,0.05968848681733892,3
5,42,0.059387351357842434,0.023803625443931723,0.01532062985850433,0.10569658161207489,0.059387351357842434,2
6,7,0.05964370531072205,0.025186040744283242,0.017335978421731253,0.10197176305092044,0.05964370531072204,0
