bin_mid,mean_pred,frac_pos,n
0.05,0.03350900695532516,0.04395604395604396,637
0.15000000000000002,0.13279487419587238,0.09166666666666666,120
0.25,0.2497172810410076,0.4090909090909091,22
0.35000000000000003,0.3640337238046548,0.6285714285714286,35
0.45,0.4220501140869495,0.19230769230769232,26
0.55,0.5195090972821713,0.2608695652173913,23
0.6500000000000001,0.6612766731812055,0.7543859649122807,57
0.75,0.760220882587224,0.6666666666666666,72
0.8500000000000001,0.8460031997343331,0.8181818181818182,88
0.95,0.9759009010382186,0.9697478991596639,595
