set,calib,dECE,dECE_ci,dBrier,dBrier_ci_geneclust,dBrier_ci_BCa,dBrier_ci_variant(sens),dYield,dYield_ci,fusion_better_on
y_assay/BRCA1_included,isotonic,0.0065,"[-0.0027,0.0184]",0.0085,"[0.0032,0.0165]","[0.0034,0.0166]","[0.0039,0.0128]",-0.0012,"[-0.0789,0.0496]",Brier
y_assay/BRCA1_excluded,isotonic,-0.0019,"[-0.0083,0.0201]",0.0116,"[0.0040,0.0185]","[0.0026,0.0176]","[0.0061,0.0171]",0.0411,"[0.0129,0.0800]","Brier,yield"
y_clinvar/BRCA1_included,isotonic,0.0065,"[0.0002,0.0247]",0.0119,"[0.0004,0.0250]","[0.0011,0.0258]","[0.0052,0.0187]",0.0253,"[0.0139,0.0396]","Brier,ECE,yield"
y_clinvar/BRCA1_excluded,isotonic,0.0157,"[0.0063,0.0396]",0.0192,"[0.0028,0.0361]","[0.0065,0.0395]","[0.0104,0.0277]",0.0531,"[0.0218,0.0796]","Brier,ECE,yield"
y_assay/BRCA1_included,platt,0.0131,"[-0.0010,0.0238]",0.0086,"[0.0038,0.0147]","[0.0041,0.0144]","[0.0050,0.0123]",0.0884,"[0.0673,0.1099]","Brier,yield"
y_assay/BRCA1_excluded,platt,0.0092,"[0.0029,0.0278]",0.0108,"[0.0038,0.0163]","[0.0023,0.0154]","[0.0062,0.0154]",0.0737,"[0.0520,0.1065]","Brier,ECE,yield"
y_clinvar/BRCA1_included,platt,0.0079,"[0.0014,0.0257]",0.012,"[0.0012,0.0236]","[0.0015,0.0247]","[0.0068,0.0181]",0.0328,"[0.0179,0.0511]","Brier,ECE,yield"
y_clinvar/BRCA1_excluded,platt,0.0111,"[0.0063,0.0278]",0.0169,"[0.0048,0.0277]","[0.0064,0.0286]","[0.0100,0.0246]",0.0395,"[0.0233,0.0594]","Brier,ECE,yield"
