stratum,n,fusion_rho,single_rho,delta,ci95,H1
overall,1781,0.773833253403257,0.7609583423395199,0.012874911063737171,"[0.0016, 0.0239]",SUPPORTED
core_like,590,0.23691157457908416,0.20322721625767573,0.033684358321408425,"[-0.0345, 0.1178]",ns
region,1191,0.5400340480549132,0.5183583683056099,0.02167567974930329,"[-0.0056, 0.0506]",ns
