bin_mid,mean_pred,frac_pos,n
0.05,0.026201289882302685,0.027287319422150885,623
0.15000000000000002,0.13278364097987055,0.11888111888111888,143
0.25,0.29247985909314134,0.6086956521739131,23
0.35000000000000003,0.3501184228645506,0.24489795918367346,49
0.45,0.4433162768031189,0.6666666666666666,24
0.55,0.5464560808661133,0.3333333333333333,33
0.6500000000000001,0.6691174556648615,0.8,10
0.75,0.7641719154902825,0.8536585365853658,41
0.8500000000000001,0.8490750136256806,0.8571428571428571,98
0.95,0.9753689441692158,0.9619651347068146,631
