condition,binning,brier_fusion,brier_single,rel_fusion,rel_single,res_fusion,res_single,unc,d_brier,d_brier_lo,d_brier_hi,d_rel,d_rel_lo,d_rel_hi,d_res,d_res_lo,d_res_hi
isotonic/y_assay/BRCA1_included,width10,0.06301943089042418,0.07331954679055021,0.0036932646855809986,0.004421773092227602,0.18988481173684726,0.18074981249513264,0.24990296279795057,0.010300115900126028,0.004605559767472568,0.01822588654880348,0.0007285084066466032,-0.0011428215846790346,0.014077828398627869,0.009134999241714625,0.00015150513643821944,0.012145710947837007
isotonic/y_assay/BRCA1_included,freq10,0.06301943089042418,0.07331954679055021,0.0002642322515228528,0.0005279941698132058,0.18152257511874859,0.1736529851650458,0.24990296279795057,0.010300115900126028,0.00479290036172243,0.0176477909308152,0.00026376191829035294,-0.0002389524049245446,0.004839902075461513,0.007869589953702794,0.0020646407272686407,0.01604531136581963
isotonic/y_assay/BRCA1_included,width15,0.06301943089042418,0.07331954679055021,0.004584120120990751,0.005702039699409825,0.19191951927232923,0.1828039079629142,0.24990296279795057,0.010300115900126028,0.005074872588211141,0.0179015292177697,0.0011179195784190741,-0.0006172141013279286,0.014910231443308369,0.009115611309415017,0.0008884960043010204,0.011079867861149673
isotonic/y_assay/BRCA1_excluded,width10,0.06789658293983356,0.0796360436362975,0.003167371669846775,0.0034703498368098855,0.18441114939375272,0.1744467801163148,0.24992669825483205,0.01173946069646395,0.004148025451039665,0.018301913755400166,0.0003029781669631106,-0.0026557893681202305,0.011182164598519388,0.009964369277437934,0.0011715355735889,0.013488083887096254
isotonic/y_assay/BRCA1_excluded,freq10,0.06789658293983356,0.0796360436362975,0.00042459508483298574,0.0007104620140071538,0.1797252586397874,0.16756186846174193,0.24992669825483205,0.01173946069646395,0.004391612470107956,0.01852202210970308,0.000285866929174168,-0.0009276485222931971,0.005822334382628597,0.012163390178045463,0.0032822641703071087,0.01595974250823218
isotonic/y_assay/BRCA1_excluded,width15,0.06789658293983356,0.0796360436362975,0.004778925498497071,0.003389474380539231,0.18722837580223944,0.17316090449149013,0.24992669825483205,0.01173946069646395,0.004391612470107942,0.018567232427747254,-0.0013894511179578396,-0.0016959495480894406,0.009870376332272066,0.014067471310749313,0.0035725150998712207,0.017570901609170714
isotonic/y_clinvar/BRCA1_included,width10,0.010446552782585135,0.022804475007843626,0.004188365423761723,0.004511219349795338,0.2361902860209327,0.22434230196086477,0.2424864456552347,0.012357922225258491,0.0007890193786453266,0.025431087450526964,0.0003228539260336149,-0.0015148842658433254,0.011533624848283696,0.011847984060067929,-0.002570903472372916,0.02222376733812237
isotonic/y_clinvar/BRCA1_included,freq10,0.010446552782585135,0.022804475007843626,5.225244433909998e-05,7.649019004427114e-05,0.21013724423047736,0.21286640543954097,0.2424864456552347,0.012357922225258491,0.0013326428011538208,0.02572538595563836,2.423774570517116e-05,-2.9732664336007903e-05,0.006145751352188594,-0.0027291612090636075,-0.222874642454358,0.023822139692293964
isotonic/y_clinvar/BRCA1_included,width15,0.010446552782585135,0.022804475007843626,0.003980469314681618,0.005625308009979292,0.23592601898639992,0.22511344649693546,0.2424864456552347,0.012357922225258491,0.001039321965818576,0.024508536706662472,0.0016448386952976736,-0.0007833248653651829,0.013112653288051954,0.010812572489464461,-0.002733064162273535,0.020721101604740406
isotonic/y_clinvar/BRCA1_excluded,width10,0.011651633357365836,0.031255580920416415,0.0023873097271443,0.006221014351424337,0.23775980871679248,0.22160367231625072,0.24717682958519255,0.01960394756305058,0.005771466371824252,0.03490070377237068,0.0038337046242800372,-0.0006812339154991967,0.021766244282702043,0.016156136400541754,-0.0010688005975952042,0.024316296517389063
isotonic/y_clinvar/BRCA1_excluded,freq10,0.011651633357365836,0.031255580920416415,6.137757414202052e-06,0.00013811923836341453,0.19285902120147813,0.2110900109777671,0.24717682958519255,0.01960394756305058,0.00555995028084413,0.035512163612816096,0.00013198148094921249,-2.7508592827535046e-05,0.011698785387751334,-0.01823098977628898,-0.22417801663883385,0.026020034362214534
isotonic/y_clinvar/BRCA1_excluded,width15,0.011651633357365836,0.031255580920416415,0.002387695416746232,0.0076363128022035745,0.23775980871679242,0.22275970116920796,0.24717682958519255,0.01960394756305058,0.005619908616962528,0.03490188332339769,0.005248617385457342,0.0008381278395506305,0.02230550121310026,0.015000107547584463,-0.001068982421213338,0.022528550647956752
