gene,best_single,n_rho,rho_fusion,rho_best_single,delta_rho,n_brier,brier_fusion,brier_best_single,delta_brier,rho_favours_fusion,brier_favours_fusion
BAP1,pangolin,274,0.75891962052546,0.772159519312804,-0.013239898787343996,267,0.10037461464145557,0.11326669658650879,0.012892081945053216,False,True
BARD1,pangolin,200,0.8535558388959725,0.8322568064201606,0.021299032475811885,197,0.051131265627551825,0.04616439300613559,-0.004966872621416235,True,False
BRCA1,pangolin,547,0.759942555476256,0.7448012295421521,0.015141325934103889,507,0.05393804050240176,0.05926907099116356,0.005331030488761802,True,True
BRCA2,pangolin,278,0.7681286669744208,0.7617753008493403,0.0063533661250805284,268,0.06025121011276077,0.06992524686266581,0.009674036749905038,True,True
PALB2,pangolin,252,0.7315042483932144,0.7282520585829092,0.0032521898103051727,215,0.07227149107579255,0.09800846279143355,0.025736971715641002,True,True
RAD51C,pangolin,171,0.7587899296805626,0.7216742266061872,0.037115703074375395,168,0.05291112201231413,0.06977614832263013,0.016865026310316,True,True
VHL,pangolin,59,0.7800701344243134,0.7512565751022795,0.028813559322033888,53,0.014402176967214991,0.03566131874133207,0.021259141774117078,True,True
