group,n_objects,median_delta_lr,lo,hi,min,max
clinical labels,0,,,,,
no clinical labels,9,0.14438092302917482,-0.1539753114128608,3.0258668613760733,-0.38498515937540323,3.3862344620382547
fusions,2,-0.2013132728851481,-1.1482969725543963,3.55986608869421,-0.2588742420715455,-0.1437523036987507
