tag,object,training_group,n_fun,lr_fun,sens_fun,spec_fun,tier_fun,n_cv,lr_cv,sens_cv,spec_cv,tier_cv,delta_lr,delta_sens,mean_abs_z
|z| tertile 1,fusion_M1,fusion of the above,302,,,,not evaluable,302,21.764285714285716,0.9892857142857143,0.9545454545454546,Strong,,,0.38766653720031663
|z| tertile 1,mean_M0b,fusion of the above,302,,,,not evaluable,302,21.685714285714287,0.9857142857142858,0.9545454545454546,Strong,,,0.38766653720031663
|z| tertile 1,spliceai,no clinical labels,302,,,,not evaluable,302,21.214285714285715,0.9642857142857143,0.9545454545454546,Strong,,,0.38766653720031663
|z| tertile 1,pangolin,no clinical labels,302,,,,not evaluable,302,20.74285714285714,0.9428571428571428,0.9545454545454546,Strong,,,0.38766653720031663
|z| tertile 1,alphagenome,no clinical labels,302,,,,not evaluable,302,20.35,0.925,0.9545454545454546,Strong,,,0.38766653720031663
|z| tertile 1,gpn_msa,no clinical labels,302,,,,not evaluable,302,17.99285714285714,0.8178571428571428,0.9545454545454546,Moderate,,,0.38766653720031663
|z| tertile 1,nt,no clinical labels,302,,,,not evaluable,302,10.135714285714284,0.4607142857142857,0.9545454545454546,Moderate,,,0.38766653720031663
|z| tertile 1,cadd,no clinical labels,274,,,,not evaluable,274,18.74015748031496,0.937007874015748,0.95,Strong,,,0.38766653720031663
|z| tertile 1,alphamissense,no clinical labels,0,,,,not evaluable,0,,,,not evaluable,,,0.38766653720031663
|z| tertile 1,gnomad_af,no clinical labels,62,,,,not evaluable,62,,,,not evaluable,,,0.38766653720031663
|z| tertile 1,phylop,no clinical labels,302,,,,not evaluable,302,20.035714285714285,0.9107142857142857,0.9545454545454546,Strong,,,0.38766653720031663
|z| tertile 1,phastcons,no clinical labels,302,,,,not evaluable,302,18.7,0.85,0.9545454545454546,Strong,,,0.38766653720031663
|z| tertile 2,fusion_M1,fusion of the above,303,21.7041015625,0.9921875,0.9542857142857143,Strong,303,21.125,1.0,0.9526627218934911,Strong,-0.5791015625,0.0078125,0.8874831817206048
|z| tertile 2,mean_M0b,fusion of the above,303,21.7041015625,0.9921875,0.9542857142857143,Strong,303,21.125,1.0,0.9526627218934911,Strong,-0.5791015625,0.0078125,0.8874831817206048
|z| tertile 2,spliceai,no clinical labels,303,19.82421875,0.90625,0.9542857142857143,Strong,303,19.863805970149254,0.9402985074626866,0.9526627218934911,Strong,0.03958722014925442,0.03404850746268662,0.8874831817206048
|z| tertile 2,pangolin,no clinical labels,303,21.0205078125,0.9609375,0.9542857142857143,Strong,303,21.125,1.0,0.9526627218934911,Strong,0.1044921875,0.0390625,0.8874831817206048
|z| tertile 2,alphagenome,no clinical labels,303,19.6533203125,0.8984375,0.9542857142857143,Strong,303,20.17910447761194,0.9552238805970149,0.9526627218934911,Strong,0.5257841651119399,0.05678638059701491,0.8874831817206048
|z| tertile 2,gpn_msa,no clinical labels,303,19.6533203125,0.8984375,0.9542857142857143,Strong,303,19.390858208955223,0.917910447761194,0.9526627218934911,Strong,-0.2624621035447774,0.019472947761194015,0.8874831817206048
|z| tertile 2,nt,no clinical labels,303,11.1083984375,0.5078125,0.9542857142857143,Moderate,303,12.296641791044777,0.582089552238806,0.9526627218934911,Moderate,1.1882433535447774,0.07427705223880599,0.8874831817206048
|z| tertile 2,cadd,no clinical labels,279,20.0,0.9032258064516129,0.9548387096774194,Strong,279,20.794505494505493,0.9769230769230769,0.9530201342281879,Strong,0.7945054945054935,0.07369727047146402,0.8874831817206048
|z| tertile 2,alphamissense,no clinical labels,0,,,,not evaluable,0,,,,not evaluable,,,0.8874831817206048
|z| tertile 2,gnomad_af,no clinical labels,111,3.1249999999999996,0.08333333333333333,0.9733333333333334,Supporting,111,5.12280701754386,0.21052631578947367,0.9589041095890412,Moderate,1.99780701754386,0.12719298245614036,0.8874831817206048
|z| tertile 2,phylop,no clinical labels,303,19.6533203125,0.8984375,0.9542857142857143,Strong,303,19.863805970149254,0.9402985074626866,0.9526627218934911,Strong,0.21048565764925442,0.04186100746268662,0.8874831817206048
|z| tertile 2,phastcons,no clinical labels,303,16.9189453125,0.7734375,0.9542857142857143,Moderate,303,66.21268656716418,0.7835820895522388,0.9881656804733728,Strong,49.293741254664184,0.010144589552238847,0.8874831817206048
|z| tertile 3,fusion_M1,fusion of the above,302,21.875,1.0,0.9542857142857143,Strong,302,21.2118320610687,0.9923664122137404,0.9532163742690059,Strong,-0.6631679389312986,-0.007633587786259555,1.3745408109326334
|z| tertile 3,mean_M0b,fusion of the above,302,21.70275590551181,0.9921259842519685,0.9542857142857143,Strong,302,21.2118320610687,0.9923664122137404,0.9532163742690059,Strong,-0.49092384444310966,0.00024042796177192738,1.3745408109326334
|z| tertile 3,spliceai,no clinical labels,302,21.70275590551181,0.9921259842519685,0.9542857142857143,Strong,302,21.048664122137406,0.9847328244274809,0.9532163742690059,Strong,-0.6540917833744047,-0.007393159824487627,1.3745408109326334
|z| tertile 3,pangolin,no clinical labels,302,21.875,1.0,0.9542857142857143,Strong,302,21.2118320610687,0.9923664122137404,0.9532163742690059,Strong,-0.6631679389312986,-0.007633587786259555,1.3745408109326334
|z| tertile 3,alphagenome,no clinical labels,302,21.530511811023622,0.984251968503937,0.9542857142857143,Strong,302,20.72232824427481,0.9694656488549618,0.9532163742690059,Strong,-0.8081835667488129,-0.014786319648975255,1.3745408109326334
|z| tertile 3,gpn_msa,no clinical labels,302,20.3248031496063,0.9291338582677166,0.9542857142857143,Strong,302,19.90648854961832,0.9312977099236641,0.9532163742690059,Strong,-0.4183145999879798,0.0021638516559475685,1.3745408109326334
|z| tertile 3,nt,no clinical labels,302,13.779527559055119,0.6299212598425197,0.9542857142857143,Moderate,302,13.869274809160306,0.648854961832061,0.9532163742690059,Moderate,0.08974725010518725,0.018933701989541363,1.3745408109326334
|z| tertile 3,cadd,no clinical labels,287,20.47058823529412,0.9747899159663865,0.9523809523809523,Strong,287,20.0,0.975609756097561,0.9512195121951219,Strong,-0.47058823529411953,0.0008198401311744208,1.3745408109326334
|z| tertile 3,alphamissense,no clinical labels,0,,,,not evaluable,0,,,,not evaluable,,,1.3745408109326334
|z| tertile 3,gnomad_af,no clinical labels,96,1.4666666666666666,0.06666666666666667,0.9545454545454546,below supporting,96,1.4666666666666666,0.06666666666666667,0.9545454545454546,below supporting,0.0,0.0,1.3745408109326334
|z| tertile 3,phylop,no clinical labels,302,20.3248031496063,0.9291338582677166,0.9542857142857143,Strong,302,19.90648854961832,0.9312977099236641,0.9532163742690059,Strong,-0.4183145999879798,0.0021638516559475685,1.3745408109326334
|z| tertile 3,phastcons,no clinical labels,302,13.779527559055117,0.47244094488188976,0.9657142857142857,Moderate,302,19.416984732824428,0.9083969465648855,0.9532163742690059,Strong,5.637457173769311,0.4359560016829957,1.3745408109326334
