model,ablation,full_rho,ablated_rho,delta_full_minus_ablated,ci95,evo_contributes
M1_enet,drop_conservation,0.773833253403257,0.773163169661454,0.0006700837418029959,"[-0.0010, 0.0021]",ns
M1_enet,drop_all_evo,0.773833253403257,0.7706434963417135,0.0031897570615435633,"[0.0005, 0.0064]",YES
M2_gbt,drop_conservation,0.7577021664617661,0.7594898923249229,-0.001787725863156786,"[-0.0108, 0.0040]",ns
M2_gbt,drop_all_evo,0.7577021664617661,0.7573106987583935,0.0003914677033726166,"[-0.0127, 0.0100]",ns
