tag,object,training_group,n_fun,lr_fun,sens_fun,spec_fun,tier_fun,n_cv,lr_cv,sens_cv,spec_cv,tier_cv,delta_lr,delta_sens
intersection,fusion_M1,fusion of the above,907,20.33308423187787,0.9709618874773139,0.952247191011236,Strong,907,20.074209989806324,0.998165137614679,0.9502762430939227,Strong,-0.2588742420715455,0.02720325013736502
intersection,mean_M0b,fusion of the above,907,20.18106117220028,0.9637023593466425,0.952247191011236,Strong,907,20.03730886850153,0.9963302752293578,0.9502762430939227,Strong,-0.1437523036987507,0.0326279158827153
intersection,spliceai,no clinical labels,907,19.686986228248106,0.9401088929219601,0.952247191011236,Strong,907,20.747112790070158,0.9743119266055046,0.9530386740331491,Strong,1.0601265618220523,0.03420303368354449
intersection,pangolin,no clinical labels,907,20.295078466958472,0.969147005444646,0.952247191011236,Strong,907,20.074209989806324,0.998165137614679,0.9502762430939227,Strong,-0.2208684771521483,0.029018132170032906
intersection,alphagenome,no clinical labels,907,19.154905519376534,0.9147005444646098,0.952247191011236,Strong,907,19.29928644240571,0.9596330275229358,0.9502762430939227,Strong,0.14438092302917482,0.04493248305832598
intersection,gpn_msa,no clinical labels,907,18.090744101633394,0.8638838475499092,0.952247191011236,Moderate,907,18.19225280326198,0.9045871559633027,0.9502762430939227,Moderate,0.10150870162858538,0.040703308413393535
intersection,nt,no clinical labels,907,10.793637237109001,0.515426497277677,0.952247191011236,Moderate,907,11.771457696228339,0.5853211009174312,0.9502762430939227,Moderate,0.9778204591193376,0.0698946036397542
intersection,cadd,no clinical labels,840,18.671232876712327,0.9080234833659491,0.9513677811550152,Moderate,840,20.196745562130175,0.9704142011834319,0.9519519519519519,Strong,1.5255126854178478,0.062390717817482844
intersection,alphamissense,no clinical labels,0,,,,not evaluable,0,,,,not evaluable,,
intersection,gnomad_af,no clinical labels,269,2.0806878306878307,0.0873015873015873,0.958041958041958,Supporting,269,1.6957026713124275,0.08130081300813008,0.952054794520548,below supporting,-0.38498515937540323,-0.006000774293457217
intersection,phylop,no clinical labels,907,18.12874986655279,0.8656987295825771,0.952247191011236,Moderate,907,18.598165137614682,0.9247706422018349,0.9502762430939227,Moderate,0.46941527106189085,0.059071912619257816
intersection,phastcons,no clinical labels,907,12.51814882032668,0.5626134301270418,0.9550561797752809,Moderate,907,15.904383282364934,0.7908256880733945,0.9502762430939227,Moderate,3.3862344620382547,0.2282122579463527
