gene_set,stratum,tool,highest_arm,lr_classified,lr_recorded_unclassified,lr_unrecorded
all_genes,s3_10,alphagenome,classified,58.23458646616541,17.404282933160285,16.39461678832117
all_genes,s3_10,avi,classified,371.1368421052632,24.177573670110984,19.2788549270073
all_genes,s3_10,avi_splice_junctions,classified,285.9578947368421,24.7996381727725,16.134384775808133
all_genes,s3_10,avi_splice_site_usage,classified,401.5578947368421,20.912280701754383,17.64099116404149
all_genes,s3_10,avi_splice_sites,classified,66.92631578947369,20.920950801547814,16.19221411192214
all_genes,s3_10,cadd,classified,11.76280701754386,3.2193319118692254,4.857664233576643
all_genes,s3_10,gpn_msa,classified,121.68421052631578,3.624101713653952,9.715328467153286
all_genes,s3_10,nt,classified,5.148178137651821,4.024164889836531,5.0545965673702895
all_genes,s3_10,pangolin,classified,65.9122807017544,13.178551686014371,13.638826501965188
all_genes,s3_10,phastcons,classified,9.343609022556391,3.1375679740830726,3.506525837482477
all_genes,s3_10,phylop,classified,60.94736842105263,5.930348258706467,10.156934306569342
all_genes,s3_10,spliceai,classified,73.01052631578946,16.038896426956125,13.358576642335766
all_genes,s3_10,spliceai_walker,classified,63.88421052631579,16.63075924724205,12.92138686131387
all_genes,s11_50,avi,unrecorded,14.666666666666668,12.807017543859647,24.432655467138225
all_genes,s11_50,avi_splice_site_usage,unrecorded,18.333333333333336,18.442105263157895,24.68808777429467
all_genes,s11_50,gpn_msa,unrecorded,2.9333333333333336,1.5368421052631578,6.002353154131596
all_genes,s11_50,spliceai,unrecorded,13.75,12.48684210526316,15.836490205601423
all_genes,s11_50,spliceai_walker,unrecorded,12.22222222222222,13.447368421052632,15.29303249609763
all_genes,s3_50,alphagenome,classified,105.2710911136108,16.69090909090909,27.894335183397686
all_genes,s3_50,avi,classified,245.6325459317585,12.593454545454543,22.3332042638484
all_genes,s3_50,avi_splice_junctions,classified,88.3267716535433,12.4600790513834,22.76949041811847
all_genes,s3_50,avi_splice_site_usage,classified,248.99737532808396,18.958677685950413,25.739831349206348
all_genes,s3_50,avi_splice_sites,classified,87.06496062992126,20.03766233766234,22.13700457317073
all_genes,s3_50,cadd,classified,20.188976377952756,5.320661157024793,10.823757763975156
all_genes,s3_50,gpn_msa,classified,94.21522309711284,5.489454545454545,11.6175
all_genes,s3_50,pangolin,classified,127.86351706036746,12.99709090909091,23.038463345864663
all_genes,s3_50,phastcons,classified,8.305591547891956,3.368476128188358,3.811389119601329
all_genes,s3_50,spliceai,classified,62.40229062276307,11.956775300171524,16.323037790697676
all_genes,s3_50,spliceai_walker,classified,72.68031496062991,13.118181818181816,18.065904017857143
no_BRCA1,s3_10,alphagenome,classified,52.888888888888886,12.434782608695652,16.39461678832117
no_BRCA1,s3_10,avi,classified,247.33333333333331,18.934782608695652,19.2788549270073
no_BRCA1,s3_10,avi_splice_junctions,classified,203.16666666666663,18.65217391304348,16.134384775808133
no_BRCA1,s3_10,avi_splice_site_usage,classified,256.1666666666667,16.579710144927535,17.64099116404149
no_BRCA1,s3_10,avi_splice_sites,classified,54.651851851851845,14.434782608695652,16.19221411192214
no_BRCA1,s3_10,cadd,classified,16.52777777777778,3.3043478260869565,4.857664233576643
no_BRCA1,s3_10,gpn_msa,classified,96.96296296296296,3.768115942028986,9.715328467153286
no_BRCA1,s3_10,nt,classified,7.933333333333333,4.654731457800512,5.0545965673702895
no_BRCA1,s3_10,pangolin,classified,49.36296296296295,9.25879917184265,13.638826501965188
no_BRCA1,s3_10,phastcons,classified,8.814814814814815,2.4627329192546585,3.506525837482477
no_BRCA1,s3_10,spliceai,classified,52.888888888888886,11.02173913043478,13.358576642335766
no_BRCA1,s3_10,spliceai_walker,classified,44.07407407407407,11.58695652173913,12.92138686131387
no_BRCA1,s11_50,avi,unrecorded,12.666666666666668,3.696428571428571,24.432655467138225
no_BRCA1,s11_50,avi_splice_site_usage,unrecorded,15.833333333333334,5.75,24.68808777429467
no_BRCA1,s11_50,spliceai,unrecorded,13.571428571428571,2.6354166666666665,15.836490205601423
no_BRCA1,s11_50,spliceai_walker,unrecorded,11.875,2.653846153846154,15.29303249609763
no_BRCA1,s3_50,alphagenome,classified,88.23255813953489,8.782106782106782,27.894335183397686
no_BRCA1,s3_50,avi,classified,226.88372093023256,7.239703153988868,22.3332042638484
no_BRCA1,s3_50,avi_splice_junctions,classified,73.52713178294574,7.7756381549485,22.76949041811847
no_BRCA1,s3_50,avi_splice_site_usage,classified,226.88372093023256,9.87987012987013,25.739831349206348
no_BRCA1,s3_50,avi_splice_sites,classified,61.222591362126245,9.932703659976386,22.13700457317073
no_BRCA1,s3_50,cadd,classified,15.125581395348837,4.291708291708291,10.823757763975156
no_BRCA1,s3_50,gpn_msa,classified,58.821705426356594,3.745310245310246,11.6175
no_BRCA1,s3_50,pangolin,classified,90.75348837209305,7.627840909090908,23.038463345864663
no_BRCA1,s3_50,phastcons,classified,6.011449016100179,2.0436706150991863,3.811389119601329
no_BRCA1,s3_50,spliceai,classified,42.01550387596899,5.811688311688311,16.323037790697676
no_BRCA1,s3_50,spliceai_walker,classified,53.56976744186046,6.408564408564408,18.065904017857143
