Tool,"Stratum (intronic offset, bp)",Tier,Tier LR cut,Reached in-sample,In-sample threshold (gene-clustered bootstrap),In-sample threshold (variant-level bootstrap),Held-out genes,Folds with a fitted threshold,Folds with an evaluable held-out LR,Held-out genes clearing the cut,"Held-out LR, median","Held-out LR, minimum","Held-out LR, maximum",Held-out LR per fold
AlphaGenome,11–50,Moderate,4.33,Yes,2.198968,2.198879,6,6,3,3,27.0,8.04,51.3,BAP1=8.04; BARD1=51.3; BRCA1=n.e.; PALB2=n.e.; RAD51C=27.0; VHL=n.e.
AlphaGenome,11–50,Strong,18.7,Yes,2.19960445,2.19951,6,1,0,0,,,,BAP1=no threshold; BARD1=no threshold; BRCA1=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=n.e.
AlphaGenome,3–50,Supporting,2.08,Yes,2.198835,2.198787,7,7,7,7,20.9,13.9,34.8,BAP1=13.9; BARD1=28.3; BRCA1=34.8; BRCA2=20.9; PALB2=24.4; RAD51C=20.7; VHL=14.9
AlphaGenome,3–50,Moderate,4.33,Yes,2.19935889,2.19918979,7,7,7,7,32.6,16.6,69.0,BAP1=16.6; BARD1=54.9; BRCA1=50.5; BRCA2=22.6; PALB2=32.6; RAD51C=27.8; VHL=69.0
AlphaGenome,3–50,Strong,18.7,Yes,2.1998709,2.19982656,7,7,6,6,70.3,19.3,241,BAP1=19.3; BARD1=241; BRCA1=83.0; BRCA2=38.3; PALB2=144; RAD51C=57.6; VHL=n.e.
CADD,3–10,Supporting,2.08,Yes,19.30,18.79,7,7,6,6,4.04,3.13,13.3,BAP1=4.90; BARD1=4.20; BRCA1=3.13; BRCA2=13.3; PALB2=3.87; RAD51C=3.61; VHL=n.e.
CADD,3–10,Moderate,4.33,No,,23.60,7,1,0,0,,,,BAP1=no threshold; BARD1=no threshold; BRCA1=no threshold; BRCA2=no threshold; PALB2=no threshold; RAD51C=n.e.; VHL=no threshold
CADD,3–10,Strong,18.7,No,,,7,0,0,0,,,,BAP1=no threshold; BARD1=no threshold; BRCA1=no threshold; BRCA2=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=no threshold
CADD,11–50,Supporting,2.08,Yes,22.60,18.27,6,3,2,0,0.844,0,1.69,BAP1=no threshold; BARD1=no threshold; BRCA1=no threshold; PALB2=0; RAD51C=1.69; VHL=n.e.
CADD,11–50,Moderate,4.33,No,,,6,1,0,0,,,,BAP1=no threshold; BARD1=no threshold; BRCA1=no threshold; PALB2=no threshold; RAD51C=n.e.; VHL=no threshold
CADD,11–50,Strong,18.7,No,,,6,0,0,0,,,,BAP1=no threshold; BARD1=no threshold; BRCA1=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=no threshold
CADD,3–50,Supporting,2.08,Yes,19.27,18.14,7,7,6,6,6.84,3.26,15.0,BAP1=8.17; BARD1=15.0; BRCA1=5.51; BRCA2=8.33; PALB2=4.47; RAD51C=3.26; VHL=n.e.
CADD,3–50,Moderate,4.33,Yes,22.60,20.30,7,7,6,5,7.01,3.89,15.6,BAP1=8.03; BARD1=12.5; BRCA1=3.89; BRCA2=15.6; PALB2=5.20; RAD51C=5.98; VHL=n.e.
CADD,3–50,Strong,18.7,No,,,7,0,0,0,,,,BAP1=no threshold; BARD1=no threshold; BRCA1=no threshold; BRCA2=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=no threshold
phyloP-100way,3–10,Supporting,2.08,Yes,4.4836,3.1217,7,7,5,5,11.1,2.66,16.8,BAP1=4.81; BARD1=2.66; BRCA1=11.1; BRCA2=n.e.; PALB2=16.8; RAD51C=14.6; VHL=n.e.
phyloP-100way,3–10,Moderate,4.33,Yes,5.34067,5.16179,7,7,2,2,5.01,4.96,5.06,BAP1=5.06; BARD1=4.96; BRCA1=n.e.; BRCA2=n.e.; PALB2=n.e.; RAD51C=n.e.; VHL=n.e.
phyloP-100way,3–10,Strong,18.7,No,,,7,0,0,0,,,,BAP1=no threshold; BARD1=no threshold; BRCA1=no threshold; BRCA2=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=no threshold
phyloP-100way,11–50,Supporting,2.08,No,,,6,2,2,1,2.50,1.16,3.84,BAP1=3.84; BARD1=1.16; BRCA1=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=no threshold
phyloP-100way,11–50,Moderate,4.33,No,,,6,0,0,0,,,,BAP1=no threshold; BARD1=no threshold; BRCA1=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=no threshold
phyloP-100way,11–50,Strong,18.7,No,,,6,0,0,0,,,,BAP1=no threshold; BARD1=no threshold; BRCA1=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=no threshold
phyloP-100way,3–50,Supporting,2.08,Yes,4.15258,3.69068,7,7,5,5,14.3,4.62,20.2,BAP1=5.05; BARD1=4.62; BRCA1=14.3; BRCA2=n.e.; PALB2=20.2; RAD51C=20.2; VHL=n.e.
phyloP-100way,3–50,Moderate,4.33,Yes,5.5818,4.5079,7,7,3,3,19.0,7.16,22.7,BAP1=7.16; BARD1=19.0; BRCA1=22.7; BRCA2=n.e.; PALB2=n.e.; RAD51C=n.e.; VHL=n.e.
phyloP-100way,3–50,Strong,18.7,No,,,7,0,0,0,,,,BAP1=no threshold; BARD1=no threshold; BRCA1=no threshold; BRCA2=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=no threshold
phastCons-100way,3–10,Supporting,2.08,Yes,1.000,1.000,7,7,6,6,3.95,2.51,7.78,BAP1=4.35; BARD1=3.26; BRCA1=5.22; BRCA2=7.78; PALB2=2.51; RAD51C=3.55; VHL=n.e.
phastCons-100way,3–10,Moderate,4.33,No,,,7,0,0,0,,,,BAP1=no threshold; BARD1=no threshold; BRCA1=no threshold; BRCA2=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=no threshold
phastCons-100way,3–10,Strong,18.7,No,,,7,0,0,0,,,,BAP1=no threshold; BARD1=no threshold; BRCA1=no threshold; BRCA2=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=no threshold
phastCons-100way,11–50,Supporting,2.08,No,,,6,1,1,0,0.976,0.976,0.976,BAP1=no threshold; BARD1=0.976; BRCA1=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=no threshold
phastCons-100way,11–50,Moderate,4.33,No,,,6,0,0,0,,,,BAP1=no threshold; BARD1=no threshold; BRCA1=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=no threshold
phastCons-100way,11–50,Strong,18.7,No,,,6,0,0,0,,,,BAP1=no threshold; BARD1=no threshold; BRCA1=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=no threshold
phastCons-100way,3–50,Supporting,2.08,Yes,0.9921,0.9921,7,7,6,6,4.90,4.17,9.56,BAP1=4.61; BARD1=5.19; BRCA1=9.56; BRCA2=7.78; PALB2=4.17; RAD51C=4.47; VHL=n.e.
phastCons-100way,3–50,Moderate,4.33,No,,1.000,7,2,2,2,4.90,4.61,5.19,BAP1=4.61; BARD1=5.19; BRCA1=no threshold; BRCA2=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=no threshold
phastCons-100way,3–50,Strong,18.7,No,,,7,0,0,0,,,,BAP1=no threshold; BARD1=no threshold; BRCA1=no threshold; BRCA2=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=no threshold
GPN-MSA,3–10,Supporting,2.08,Yes,7.520,7.370,7,7,6,6,6.25,4.60,11.4,BAP1=4.94; BARD1=5.75; BRCA1=6.75; BRCA2=6.97; PALB2=4.60; RAD51C=11.4; VHL=n.e.
GPN-MSA,3–10,Moderate,4.33,Yes,9.010,9.250,7,7,5,5,7.66,6.80,56.4,BAP1=6.82; BARD1=7.66; BRCA1=6.80; BRCA2=n.e.; PALB2=11.2; RAD51C=56.4; VHL=n.e.
GPN-MSA,3–10,Strong,18.7,No,,,7,0,0,0,,,,BAP1=no threshold; BARD1=no threshold; BRCA1=no threshold; BRCA2=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=no threshold
GPN-MSA,11–50,Supporting,2.08,Yes,6.630,6.530,6,6,5,5,3.11,2.57,6.65,BAP1=3.11; BARD1=2.93; BRCA1=n.e.; PALB2=6.65; RAD51C=5.45; VHL=2.57
GPN-MSA,11–50,Moderate,4.33,No,,,6,1,1,0,3.34,3.34,3.34,BAP1=3.34; BARD1=no threshold; BRCA1=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=no threshold
GPN-MSA,11–50,Strong,18.7,No,,,6,0,0,0,,,,BAP1=no threshold; BARD1=no threshold; BRCA1=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=no threshold
GPN-MSA,3–50,Supporting,2.08,Yes,6.840,6.690,7,7,7,7,5.09,3.24,13.0,BAP1=5.09; BARD1=13.0; BRCA1=10.4; BRCA2=4.92; PALB2=5.09; RAD51C=8.99; VHL=3.24
GPN-MSA,3–50,Moderate,4.33,Yes,8.240,7.700,7,7,6,6,12.0,5.96,156,BAP1=6.38; BARD1=26.9; BRCA1=17.5; BRCA2=5.96; PALB2=6.50; RAD51C=156; VHL=n.e.
GPN-MSA,3–50,Strong,18.7,No,,,7,0,0,0,,,,BAP1=no threshold; BARD1=no threshold; BRCA1=no threshold; BRCA2=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=no threshold
NT-v2-500M,3–10,Supporting,2.08,Yes,3.26899,3.229,7,7,6,5,4.55,1.39,8.27,BAP1=5.77; BARD1=2.98; BRCA1=1.39; BRCA2=3.33; PALB2=6.21; RAD51C=8.27; VHL=n.e.
NT-v2-500M,3–10,Moderate,4.33,No,,4.185,7,5,0,0,,,,BAP1=no threshold; BARD1=n.e.; BRCA1=n.e.; BRCA2=n.e.; PALB2=n.e.; RAD51C=n.e.; VHL=no threshold
NT-v2-500M,3–10,Strong,18.7,No,,,7,0,0,0,,,,BAP1=no threshold; BARD1=no threshold; BRCA1=no threshold; BRCA2=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=no threshold
NT-v2-500M,11–50,Supporting,2.08,No,,,6,0,0,0,,,,BAP1=no threshold; BARD1=no threshold; BRCA1=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=no threshold
NT-v2-500M,11–50,Moderate,4.33,No,,,6,0,0,0,,,,BAP1=no threshold; BARD1=no threshold; BRCA1=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=no threshold
NT-v2-500M,11–50,Strong,18.7,No,,,6,0,0,0,,,,BAP1=no threshold; BARD1=no threshold; BRCA1=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=no threshold
