Tool,"Stratum (intronic offset, bp)",Tier,Tier LR cut,Reached in-sample,In-sample threshold (gene-clustered bootstrap),In-sample threshold (variant-level bootstrap),Held-out genes,Folds with a fitted threshold,Folds with an evaluable held-out LR,Held-out genes clearing the cut,"Held-out LR, median","Held-out LR, minimum","Held-out LR, maximum",Held-out LR per fold
AlphaGenome Atlas splice site usage,3–50,Supporting,2.08,Yes,0.4355,0.3613,7,7,7,7,26.5,13.6,48.7,BAP1=13.6; BARD1=42.7; BRCA1=42.2; BRCA2=20.4; PALB2=14.7; RAD51C=48.7; VHL=26.5
AlphaGenome Atlas splice site usage,3–50,Moderate,4.33,Yes,0.484375,0.4598,7,7,7,7,39.8,17.8,62.3,BAP1=17.8; BARD1=62.3; BRCA1=61.9; BRCA2=24.1; PALB2=19.3; RAD51C=50.9; VHL=39.8
AlphaGenome Atlas splice site usage,3–50,Strong,18.7,Yes,0.9124755859,0.7963867,7,7,5,5,143,20.6,550,BAP1=20.6; BARD1=550; BRCA1=143; BRCA2=n.e.; PALB2=167; RAD51C=107; VHL=n.e.
AlphaGenome Atlas splice junctions,3–10,Supporting,2.08,Yes,3.4648,3.4648,7,7,6,6,17.2,5.86,21.4,BAP1=9.15; BARD1=5.86; BRCA1=20.8; BRCA2=21.4; PALB2=13.9; RAD51C=20.6; VHL=n.e.
AlphaGenome Atlas splice junctions,3–10,Moderate,4.33,Yes,5.41796875,4.1875,7,7,6,6,35.7,7.41,82.2,BAP1=9.45; BARD1=7.41; BRCA1=39.9; BRCA2=70.0; PALB2=82.2; RAD51C=31.4; VHL=n.e.
AlphaGenome Atlas splice junctions,3–10,Strong,18.7,Yes,6.8398,6.9296875,7,7,5,5,49.6,33.2,52.7,BAP1=52.7; BARD1=33.2; BRCA1=48.4; BRCA2=n.e.; PALB2=52.3; RAD51C=49.6; VHL=n.e.
AlphaGenome Atlas splice junctions,11–50,Supporting,2.08,Yes,3.3027,1.9736,6,6,2,2,10.2,4.80,15.7,BAP1=4.80; BARD1=15.7; BRCA1=n.e.; PALB2=n.e.; RAD51C=n.e.; VHL=n.e.
AlphaGenome Atlas splice junctions,11–50,Moderate,4.33,Yes,4.441,4.441,6,6,2,2,18.6,13.7,23.5,BAP1=13.7; BARD1=23.5; BRCA1=n.e.; PALB2=n.e.; RAD51C=n.e.; VHL=n.e.
AlphaGenome Atlas splice junctions,11–50,Strong,18.7,No,,,6,0,0,0,,,,BAP1=no threshold; BARD1=no threshold; BRCA1=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=no threshold
AlphaGenome Atlas splice junctions,3–50,Supporting,2.08,Yes,3.191,3.08398,7,7,7,7,24.7,13.1,69.0,BAP1=13.1; BARD1=16.4; BRCA1=24.7; BRCA2=19.6; PALB2=27.8; RAD51C=29.9; VHL=69.0
AlphaGenome Atlas splice junctions,3–50,Moderate,4.33,Yes,3.857,3.666,7,7,7,7,36.7,13.5,64.6,BAP1=13.5; BARD1=17.9; BRCA1=32.7; BRCA2=36.7; PALB2=44.0; RAD51C=64.6; VHL=63.7
AlphaGenome Atlas splice junctions,3–50,Strong,18.7,Yes,6.082,5.97656,7,7,5,5,104,20.7,152,BAP1=20.7; BARD1=125; BRCA1=42.5; BRCA2=n.e.; PALB2=152; RAD51C=104; VHL=n.e.
