"Stratum (intronic offset, bp)",Gene,ClinVar record status,Variants,Labelled,Damaging,Normal,Positive rate (damaging / labelled)
11–50,RAD51C,Not in ClinVar,624,621,28,593,0.045
11–50,VHL,Classified (P/LP or B/LB),18,17,4,13,0.235
11–50,VHL,Not in ClinVar,62,58,9,49,0.155
11–50,All genes,Classified (P/LP or B/LB),776,736,32,704,0.043
11–50,All genes,"Recorded: VUS, conflicting or other",75,74,17,57,0.230
11–50,All genes,Recorded: no clinical assertion,250,237,2,235,0.008
11–50,All genes,Not in ClinVar,3606,3490,174,3316,0.050
11–50,All genes,All variants,4707,4537,225,4312,0.050
3–50,All genes,Classified (P/LP or B/LB),1497,1409,127,1282,0.090
3–50,All genes,"Recorded: VUS, conflicting or other",640,591,177,414,0.299
3–50,All genes,Recorded: no clinical assertion,555,517,43,474,0.083
3–50,All genes,Not in ClinVar,5305,5095,448,4647,0.088
3–50,All genes,All variants,7997,7612,795,6817,0.104
"1–50 incl. ±1,2 (out of scope)",All genes,Classified (P/LP or B/LB),1985,1889,596,1293,0.316
"1–50 incl. ±1,2 (out of scope)",All genes,"Recorded: VUS, conflicting or other",706,656,238,418,0.363
"1–50 incl. ±1,2 (out of scope)",All genes,Recorded: no clinical assertion,588,547,68,479,0.124
"1–50 incl. ±1,2 (out of scope)",All genes,Not in ClinVar,5574,5361,697,4664,0.130
"1–50 incl. ±1,2 (out of scope)",All genes,All variants,8853,8453,1599,6854,0.189
