Genes,"Stratum (intronic offset, bp)",ClinVar record status,Tool,Fitted threshold tier,Fitted threshold,Genes contributing,Damaging,Normal,Variants in band,Sensitivity,Specificity,Band LR at fitted threshold,Band LR at published cut point (≥ 0.2),AUROC (95% CI),Genes pooled for AUROC
All genes,"1–50 incl. ±1,2, out of scope",Not in ClinVar,phastCons-100way,,,,,,,,,,,0.806 (0.783–0.827),6
All genes,"1–50 incl. ±1,2, out of scope",Not in ClinVar,GPN-MSA,,,,,,,,,,,0.843 (0.821–0.863),6
All genes,"1–50 incl. ±1,2, out of scope",Not in ClinVar,NT-v2-500M,,,,,,,,,,,0.735 (0.687–0.779),6
All genes,"1–50 incl. ±1,2, out of scope",Not in ClinVar,"SpliceAI (±4,999 nt, Walker basis)",,,,,,,,,,,0.934 (0.876–0.966),6
All genes,"1–50 incl. ±1,2, out of scope",Not in ClinVar,AlphaGenome Atlas AVI,,,,,,,,,,,0.925 (0.880–0.955),6
All genes,"1–50 incl. ±1,2, out of scope",Not in ClinVar,AlphaGenome Atlas splice sites,,,,,,,,,,,0.915 (0.856–0.951),6
All genes,"1–50 incl. ±1,2, out of scope",Not in ClinVar,AlphaGenome Atlas splice site usage,,,,,,,,,,,0.935 (0.883–0.964),6
All genes,"1–50 incl. ±1,2, out of scope",Not in ClinVar,AlphaGenome Atlas splice junctions,,,,,,,,,,,0.930 (0.870–0.963),6
BRCA1 excluded,3–10,All variants,SpliceAI (±50 nt),Moderate,0.5556567,6,466,2119,287,0.479,0.970,15.8,5.09,,
BRCA1 excluded,3–10,All variants,Pangolin,Moderate,0.5108555555,6,466,2119,338,0.558,0.963,15.2,,,
BRCA1 excluded,3–10,All variants,AlphaGenome,Moderate,2.199516,6,466,2119,314,0.543,0.971,18.9,,,
BRCA1 excluded,3–10,All variants,CADD,Supporting (Moderate not reached),19.30,6,466,2119,311,0.361,0.933,5.34,,,
BRCA1 excluded,3–10,All variants,phyloP-100way,Moderate,5.34067,6,466,2119,55,0.084,0.992,11.1,,,
BRCA1 excluded,3–10,All variants,phastCons-100way,Supporting (Moderate not reached),1.000,6,466,2119,419,0.410,0.892,3.81,,,
BRCA1 excluded,3–10,All variants,GPN-MSA,Moderate,9.010,6,466,2119,134,0.195,0.980,9.62,,,
BRCA1 excluded,3–10,All variants,NT-v2-500M,Supporting (Moderate not reached),3.26899,6,466,2119,222,0.260,0.952,5.45,,,
BRCA1 excluded,3–10,All variants,"SpliceAI (±4,999 nt, Walker basis)",Moderate,0.5386,6,466,2119,311,0.515,0.966,15.4,4.79,,
BRCA1 excluded,3–10,All variants,AlphaGenome Atlas AVI,Moderate,1.071034,6,466,2119,262,0.476,0.981,25.2,,,
BRCA1 excluded,3–10,All variants,AlphaGenome Atlas splice sites,Moderate,0.4648,6,466,2119,301,0.524,0.973,19.5,,,
BRCA1 excluded,3–10,All variants,AlphaGenome Atlas splice site usage,Moderate,0.6787,6,466,2119,305,0.547,0.976,23.2,,,
BRCA1 excluded,3–10,All variants,AlphaGenome Atlas splice junctions,Moderate,5.41796875,6,466,2119,218,0.391,0.983,23.0,,,
BRCA1 excluded,3–10,Classified (P/LP or B/LB),SpliceAI (±50 nt),Moderate,0.5556567,6,54,476,28,0.444,0.992,52.9,13.0,0.844 (0.759–0.903),4
BRCA1 excluded,3–10,Classified (P/LP or B/LB),Pangolin,Moderate,0.5108555555,6,54,476,33,0.519,0.989,49.4,,0.870 (0.790–0.923),4
BRCA1 excluded,3–10,Classified (P/LP or B/LB),AlphaGenome,Moderate,2.199516,6,54,476,35,0.556,0.989,52.9,,0.818 (0.722–0.886),4
BRCA1 excluded,3–10,Classified (P/LP or B/LB),CADD,Supporting (Moderate not reached),19.30,6,54,476,23,0.278,0.983,16.5,,0.776 (0.640–0.870),4
BRCA1 excluded,3–10,Classified (P/LP or B/LB),phyloP-100way,Moderate,5.34067,6,54,476,5,0.093,1.000,not evaluable,,0.830 (0.695–0.913),4
BRCA1 excluded,3–10,Classified (P/LP or B/LB),phastCons-100way,Supporting (Moderate not reached),1.000,6,54,476,42,0.389,0.956,8.81,,0.827 (0.684–0.914),4
BRCA1 excluded,3–10,Classified (P/LP or B/LB),GPN-MSA,Moderate,9.010,6,54,476,12,0.204,0.998,97.0,,0.841 (0.756–0.901),4
BRCA1 excluded,3–10,Classified (P/LP or B/LB),NT-v2-500M,Supporting (Moderate not reached),3.26899,6,54,476,19,0.167,0.979,7.93,,0.652 (0.499–0.779),4
BRCA1 excluded,3–10,Classified (P/LP or B/LB),"SpliceAI (±4,999 nt, Walker basis)",Moderate,0.5386,6,54,476,30,0.463,0.989,44.1,12.3,0.852 (0.769–0.908),4
BRCA1 excluded,3–10,Classified (P/LP or B/LB),AlphaGenome Atlas AVI,Moderate,1.071034,6,54,476,28,0.519,1.000,247,,0.862 (0.764–0.923),4
BRCA1 excluded,3–10,Classified (P/LP or B/LB),AlphaGenome Atlas splice sites,Moderate,0.4648,6,54,476,36,0.574,0.989,54.7,,0.826 (0.702–0.906),4
BRCA1 excluded,3–10,Classified (P/LP or B/LB),AlphaGenome Atlas splice site usage,Moderate,0.6787,6,54,476,29,0.537,1.000,256,,0.820 (0.719–0.890),4
BRCA1 excluded,3–10,Classified (P/LP or B/LB),AlphaGenome Atlas splice junctions,Moderate,5.41796875,6,54,476,23,0.426,1.000,203,,0.844 (0.759–0.903),4
BRCA1 excluded,3–10,"Recorded, not classified",SpliceAI (±50 nt),Moderate,0.5556567,6,138,312,94,0.565,0.949,11.0,3.27,0.875 (0.792–0.928),5
BRCA1 excluded,3–10,"Recorded, not classified",Pangolin,Moderate,0.5108555555,6,138,312,107,0.623,0.933,9.26,,0.891 (0.834–0.930),5
BRCA1 excluded,3–10,"Recorded, not classified",AlphaGenome,Moderate,2.199516,6,138,312,104,0.638,0.949,12.4,,0.894 (0.831–0.935),5
BRCA1 excluded,3–10,"Recorded, not classified",CADD,Supporting (Moderate not reached),19.30,6,138,312,96,0.413,0.875,3.30,,0.745 (0.685–0.798),5
BRCA1 excluded,3–10,"Recorded, not classified",phyloP-100way,Moderate,5.34067,6,138,312,16,0.080,0.984,4.97,,0.676 (0.610–0.736),5
BRCA1 excluded,3–10,"Recorded, not classified",phastCons-100way,Supporting (Moderate not reached),1.000,6,138,312,117,0.442,0.821,2.46,,0.677 (0.617–0.731),5
BRCA1 excluded,3–10,"Recorded, not classified",GPN-MSA,Moderate,9.010,6,138,312,32,0.145,0.962,3.77,,0.760 (0.695–0.814),5
BRCA1 excluded,3–10,"Recorded, not classified",NT-v2-500M,Supporting (Moderate not reached),3.26899,6,138,312,52,0.254,0.946,4.65,,0.715 (0.610–0.802),5
BRCA1 excluded,3–10,"Recorded, not classified","SpliceAI (±4,999 nt, Walker basis)",Moderate,0.5386,6,138,312,98,0.594,0.949,11.6,3.18,0.881 (0.821–0.923),5
BRCA1 excluded,3–10,"Recorded, not classified",AlphaGenome Atlas AVI,Moderate,1.071034,6,138,312,75,0.486,0.974,18.9,,0.892 (0.821–0.937),5
BRCA1 excluded,3–10,"Recorded, not classified",AlphaGenome Atlas splice sites,Moderate,0.4648,6,138,312,96,0.601,0.958,14.4,,0.876 (0.818–0.917),5
BRCA1 excluded,3–10,"Recorded, not classified",AlphaGenome Atlas splice site usage,Moderate,0.6787,6,138,312,100,0.638,0.962,16.6,,0.898 (0.828–0.942),5
BRCA1 excluded,3–10,"Recorded, not classified",AlphaGenome Atlas splice junctions,Moderate,5.41796875,6,138,312,74,0.478,0.974,18.7,,0.891 (0.818–0.937),5
BRCA1 excluded,3–10,Not in ClinVar,SpliceAI (±50 nt),Moderate,0.5556567,6,274,1331,165,0.442,0.967,13.4,4.66,0.869 (0.807–0.913),5
BRCA1 excluded,3–10,Not in ClinVar,Pangolin,Moderate,0.5108555555,6,274,1331,198,0.533,0.961,13.6,,0.889 (0.835–0.928),5
BRCA1 excluded,3–10,Not in ClinVar,AlphaGenome,Moderate,2.199516,6,274,1331,175,0.493,0.970,16.4,,0.891 (0.815–0.938),5
BRCA1 excluded,3–10,Not in ClinVar,CADD,Supporting (Moderate not reached),19.30,6,274,1331,192,0.350,0.928,4.86,,0.755 (0.681–0.816),5
BRCA1 excluded,3–10,Not in ClinVar,phyloP-100way,Moderate,5.34067,6,274,1331,34,0.084,0.992,10.2,,0.725 (0.668–0.775),5
BRCA1 excluded,3–10,Not in ClinVar,phastCons-100way,Supporting (Moderate not reached),1.000,6,274,1331,260,0.398,0.887,3.51,,0.704 (0.643–0.759),5
BRCA1 excluded,3–10,Not in ClinVar,GPN-MSA,Moderate,9.010,6,274,1331,90,0.219,0.977,9.72,,0.766 (0.729–0.800),5
BRCA1 excluded,3–10,Not in ClinVar,NT-v2-500M,Supporting (Moderate not reached),3.26899,6,274,1331,151,0.281,0.944,5.05,,0.694 (0.647–0.738),5
BRCA1 excluded,3–10,Not in ClinVar,"SpliceAI (±4,999 nt, Walker basis)",Moderate,0.5386,6,274,1331,183,0.485,0.962,12.9,4.33,0.886 (0.820–0.930),5
BRCA1 excluded,3–10,Not in ClinVar,AlphaGenome Atlas AVI,Moderate,1.071034,6,274,1331,159,0.464,0.976,19.3,,0.887 (0.809–0.935),5
BRCA1 excluded,3–10,Not in ClinVar,AlphaGenome Atlas splice sites,Moderate,0.4648,6,274,1331,169,0.474,0.971,16.2,,0.878 (0.799–0.929),5
BRCA1 excluded,3–10,Not in ClinVar,AlphaGenome Atlas splice site usage,Moderate,0.6787,6,274,1331,176,0.504,0.971,17.6,,0.888 (0.820–0.933),5
BRCA1 excluded,3–10,Not in ClinVar,AlphaGenome Atlas splice junctions,Moderate,5.41796875,6,274,1331,121,0.339,0.979,16.1,,0.893 (0.815–0.941),5
BRCA1 excluded,11–50,All variants,SpliceAI (±50 nt),Moderate,0.290056,5,222,3970,165,0.338,0.977,14.9,11.0,,
BRCA1 excluded,11–50,All variants,Pangolin,Moderate,0.4146675,5,222,3970,82,0.257,0.994,40.8,,,
BRCA1 excluded,11–50,All variants,AlphaGenome,Moderate,2.198968,5,222,3970,114,0.306,0.988,26.4,,,
BRCA1 excluded,11–50,All variants,CADD,Supporting (Moderate not reached),22.60,5,222,3970,25,0.041,0.996,10.1,,,
BRCA1 excluded,11–50,All variants,phyloP-100way,none reached in-sample,,,,,,,,,,,
BRCA1 excluded,11–50,All variants,phastCons-100way,none reached in-sample,,,,,,,,,,,
BRCA1 excluded,11–50,All variants,GPN-MSA,Supporting (Moderate not reached),6.630,5,222,3970,190,0.194,0.963,5.23,,,
BRCA1 excluded,11–50,All variants,NT-v2-500M,none reached in-sample,,,,,,,,,,,
BRCA1 excluded,11–50,All variants,"SpliceAI (±4,999 nt, Walker basis)",Moderate,0.2920,5,222,3970,184,0.369,0.974,14.4,10.1,,
BRCA1 excluded,11–50,All variants,AlphaGenome Atlas AVI,Moderate,0.69857,5,222,3970,115,0.284,0.987,21.7,,,
BRCA1 excluded,11–50,All variants,AlphaGenome Atlas splice sites,Moderate,0.4608755,5,222,3970,94,0.225,0.989,20.3,,,
BRCA1 excluded,11–50,All variants,AlphaGenome Atlas splice site usage,Moderate,0.2539,5,222,3970,127,0.324,0.986,23.4,,,
BRCA1 excluded,11–50,All variants,AlphaGenome Atlas splice junctions,Moderate,4.441,5,222,3970,51,0.167,0.996,47.3,,,
BRCA1 excluded,11–50,Classified (P/LP or B/LB),SpliceAI (±50 nt),Moderate,0.290056,5,32,608,12,0.156,0.988,13.6,7.60,not evaluable,1
BRCA1 excluded,11–50,Classified (P/LP or B/LB),Pangolin,Moderate,0.4146675,5,32,608,4,0.125,1.000,not evaluable,,not evaluable,1
BRCA1 excluded,11–50,Classified (P/LP or B/LB),AlphaGenome,Moderate,2.198968,5,32,608,6,0.125,0.997,not evaluable,,not evaluable,1
BRCA1 excluded,11–50,Classified (P/LP or B/LB),CADD,Supporting (Moderate not reached),22.60,5,32,608,4,0.000,0.993,not evaluable,,not evaluable,1
BRCA1 excluded,11–50,Classified (P/LP or B/LB),phyloP-100way,none reached in-sample,,,,,,,,,,not evaluable,1
BRCA1 excluded,11–50,Classified (P/LP or B/LB),phastCons-100way,none reached in-sample,,,,,,,,,,not evaluable,1
BRCA1 excluded,11–50,Classified (P/LP or B/LB),GPN-MSA,Supporting (Moderate not reached),6.630,5,32,608,17,0.063,0.975,2.53,,not evaluable,1
BRCA1 excluded,11–50,Classified (P/LP or B/LB),NT-v2-500M,none reached in-sample,,,,,,,,,,not evaluable,1
BRCA1 excluded,11–50,Classified (P/LP or B/LB),"SpliceAI (±4,999 nt, Walker basis)",Moderate,0.2920,5,32,608,13,0.156,0.987,11.9,6.71,not evaluable,1
BRCA1 excluded,11–50,Classified (P/LP or B/LB),AlphaGenome Atlas AVI,Moderate,0.69857,5,32,608,10,0.125,0.990,12.7,,not evaluable,1
BRCA1 excluded,11–50,Classified (P/LP or B/LB),AlphaGenome Atlas splice sites,Moderate,0.4608755,5,32,608,5,0.094,0.997,not evaluable,,not evaluable,1
BRCA1 excluded,11–50,Classified (P/LP or B/LB),AlphaGenome Atlas splice site usage,Moderate,0.2539,5,32,608,11,0.156,0.990,15.8,,not evaluable,1
BRCA1 excluded,11–50,Classified (P/LP or B/LB),AlphaGenome Atlas splice junctions,Moderate,4.441,5,32,608,5,0.125,0.998,not evaluable,,not evaluable,1
BRCA1 excluded,11–50,"Recorded, not classified",SpliceAI (±50 nt),Moderate,0.290056,4,16,46,23,0.688,0.739,2.64,2.30,not evaluable,0
BRCA1 excluded,11–50,"Recorded, not classified",Pangolin,Moderate,0.4146675,4,16,46,14,0.563,0.891,5.18,,not evaluable,0
BRCA1 excluded,11–50,"Recorded, not classified",AlphaGenome,Moderate,2.198968,4,16,46,17,0.625,0.848,4.11,,not evaluable,0
BRCA1 excluded,11–50,"Recorded, not classified",CADD,Supporting (Moderate not reached),22.60,4,16,46,2,0.000,0.957,not evaluable,,not evaluable,0
BRCA1 excluded,11–50,"Recorded, not classified",phyloP-100way,none reached in-sample,,,,,,,,,,not evaluable,0
BRCA1 excluded,11–50,"Recorded, not classified",phastCons-100way,none reached in-sample,,,,,,,,,,not evaluable,0
BRCA1 excluded,11–50,"Recorded, not classified",GPN-MSA,Supporting (Moderate not reached),6.630,4,16,46,6,0.063,0.891,not evaluable,,not evaluable,0
BRCA1 excluded,11–50,"Recorded, not classified",NT-v2-500M,none reached in-sample,,,,,,,,,,not evaluable,0
BRCA1 excluded,11–50,"Recorded, not classified","SpliceAI (±4,999 nt, Walker basis)",Moderate,0.2920,4,16,46,25,0.750,0.717,2.65,2.34,not evaluable,0
BRCA1 excluded,11–50,"Recorded, not classified",AlphaGenome Atlas AVI,Moderate,0.69857,4,16,46,16,0.563,0.848,3.70,,not evaluable,0
BRCA1 excluded,11–50,"Recorded, not classified",AlphaGenome Atlas splice sites,Moderate,0.4608755,4,16,46,15,0.500,0.848,3.29,,not evaluable,0
BRCA1 excluded,11–50,"Recorded, not classified",AlphaGenome Atlas splice site usage,Moderate,0.2539,4,16,46,15,0.625,0.891,5.75,,not evaluable,0
BRCA1 excluded,11–50,"Recorded, not classified",AlphaGenome Atlas splice junctions,Moderate,4.441,4,16,46,8,0.313,0.935,not evaluable,,not evaluable,0
BRCA1 excluded,11–50,Not in ClinVar,SpliceAI (±50 nt),Moderate,0.290056,5,174,3316,130,0.339,0.979,15.8,11.8,0.866 (0.718–0.942),4
BRCA1 excluded,11–50,Not in ClinVar,Pangolin,Moderate,0.4146675,5,174,3316,64,0.253,0.994,41.9,,0.845 (0.770–0.899),4
BRCA1 excluded,11–50,Not in ClinVar,AlphaGenome,Moderate,2.198968,5,174,3316,91,0.310,0.989,27.8,,0.845 (0.755–0.906),4
BRCA1 excluded,11–50,Not in ClinVar,CADD,Supporting (Moderate not reached),22.60,5,174,3316,19,0.052,0.997,17.2,,0.628 (0.471–0.763),4
BRCA1 excluded,11–50,Not in ClinVar,phyloP-100way,none reached in-sample,,,,,,,,,,0.667 (0.557–0.762),4
BRCA1 excluded,11–50,Not in ClinVar,phastCons-100way,none reached in-sample,,,,,,,,,,0.585 (0.455–0.704),4
BRCA1 excluded,11–50,Not in ClinVar,GPN-MSA,Supporting (Moderate not reached),6.630,5,174,3316,167,0.230,0.962,6.00,,0.663 (0.509–0.789),4
BRCA1 excluded,11–50,Not in ClinVar,NT-v2-500M,none reached in-sample,,,,,,,,,,0.717 (0.615–0.800),4
BRCA1 excluded,11–50,Not in ClinVar,"SpliceAI (±4,999 nt, Walker basis)",Moderate,0.2920,5,174,3316,146,0.374,0.976,15.3,10.7,0.855 (0.717–0.932),4
BRCA1 excluded,11–50,Not in ClinVar,AlphaGenome Atlas AVI,Moderate,0.69857,5,174,3316,89,0.287,0.988,24.4,,0.794 (0.748–0.833),4
BRCA1 excluded,11–50,Not in ClinVar,AlphaGenome Atlas splice sites,Moderate,0.4608755,5,174,3316,74,0.224,0.989,21.2,,0.816 (0.731–0.878),4
BRCA1 excluded,11–50,Not in ClinVar,AlphaGenome Atlas splice site usage,Moderate,0.2539,5,174,3316,101,0.328,0.987,24.7,,0.851 (0.749–0.916),4
BRCA1 excluded,11–50,Not in ClinVar,AlphaGenome Atlas splice junctions,Moderate,4.441,5,174,3316,38,0.161,0.997,53.4,,0.838 (0.713–0.915),4
BRCA1 excluded,3–50,All variants,SpliceAI (±50 nt),Moderate,0.38189,6,688,6089,518,0.491,0.970,16.6,8.41,,
BRCA1 excluded,3–50,All variants,Pangolin,Moderate,0.4146675,6,688,6089,484,0.512,0.978,23.6,,,
BRCA1 excluded,3–50,All variants,AlphaGenome,Moderate,2.19935889,6,688,6089,442,0.488,0.983,28.1,,,
BRCA1 excluded,3–50,All variants,CADD,Moderate,22.60,6,688,6089,142,0.113,0.989,10.8,,,
BRCA1 excluded,3–50,All variants,phyloP-100way,Moderate,5.5818,6,688,6089,44,0.039,0.997,14.1,,,
BRCA1 excluded,3–50,All variants,phastCons-100way,Supporting (Moderate not reached),0.9921,6,688,6089,855,0.391,0.904,4.06,,,
BRCA1 excluded,3–50,All variants,GPN-MSA,Moderate,8.240,6,688,6089,223,0.185,0.984,11.7,,,
BRCA1 excluded,3–50,All variants,NT-v2-500M,none reached in-sample,,,,,,,,,,,
BRCA1 excluded,3–50,All variants,"SpliceAI (±4,999 nt, Walker basis)",Moderate,0.4263,6,688,6089,510,0.501,0.973,18.5,7.85,,
BRCA1 excluded,3–50,All variants,AlphaGenome Atlas AVI,Moderate,0.8246,6,688,6089,491,0.517,0.978,23.3,,,
BRCA1 excluded,3–50,All variants,AlphaGenome Atlas splice sites,Moderate,0.4295,6,688,6089,414,0.440,0.982,24.2,,,
BRCA1 excluded,3–50,All variants,AlphaGenome Atlas splice site usage,Moderate,0.484375,6,688,6089,446,0.493,0.982,28.0,,,
BRCA1 excluded,3–50,All variants,AlphaGenome Atlas splice junctions,Moderate,3.857,6,688,6089,429,0.453,0.981,23.6,,,
BRCA1 excluded,3–50,Classified (P/LP or B/LB),SpliceAI (±50 nt),Moderate,0.38189,6,86,1084,39,0.349,0.992,42.0,12.6,0.778 (0.665–0.860),4
BRCA1 excluded,3–50,Classified (P/LP or B/LB),Pangolin,Moderate,0.4146675,6,86,1084,41,0.419,0.995,90.8,,0.793 (0.690–0.868),4
BRCA1 excluded,3–50,Classified (P/LP or B/LB),AlphaGenome,Moderate,2.19935889,6,86,1084,40,0.407,0.995,88.2,,0.762 (0.619–0.863),4
BRCA1 excluded,3–50,Classified (P/LP or B/LB),CADD,Moderate,22.60,6,86,1084,11,0.070,0.995,15.1,,0.662 (0.503–0.791),4
BRCA1 excluded,3–50,Classified (P/LP or B/LB),phyloP-100way,Moderate,5.5818,6,86,1084,4,0.035,0.999,not evaluable,,0.740 (0.594–0.847),4
BRCA1 excluded,3–50,Classified (P/LP or B/LB),phastCons-100way,Supporting (Moderate not reached),0.9921,6,86,1084,96,0.360,0.940,6.01,,0.723 (0.538–0.854),4
BRCA1 excluded,3–50,Classified (P/LP or B/LB),GPN-MSA,Moderate,8.240,6,86,1084,17,0.163,0.997,58.8,,0.741 (0.630–0.828),4
BRCA1 excluded,3–50,Classified (P/LP or B/LB),NT-v2-500M,none reached in-sample,,,,,,,,,,0.619 (0.443–0.769),4
BRCA1 excluded,3–50,Classified (P/LP or B/LB),"SpliceAI (±4,999 nt, Walker basis)",Moderate,0.4263,6,86,1084,42,0.395,0.993,53.6,12.0,0.784 (0.681–0.860),4
BRCA1 excluded,3–50,Classified (P/LP or B/LB),AlphaGenome Atlas AVI,Moderate,0.8246,6,86,1084,38,0.419,0.998,227,,0.781 (0.633–0.881),4
BRCA1 excluded,3–50,Classified (P/LP or B/LB),AlphaGenome Atlas splice sites,Moderate,0.4295,6,86,1084,41,0.395,0.994,61.2,,0.775 (0.622–0.878),4
BRCA1 excluded,3–50,Classified (P/LP or B/LB),AlphaGenome Atlas splice site usage,Moderate,0.484375,6,86,1084,38,0.419,0.998,227,,0.784 (0.601–0.897),4
BRCA1 excluded,3–50,Classified (P/LP or B/LB),AlphaGenome Atlas splice junctions,Moderate,3.857,6,86,1084,41,0.407,0.994,73.5,,0.788 (0.640–0.887),4
BRCA1 excluded,3–50,"Recorded, not classified",SpliceAI (±50 nt),Moderate,0.38189,6,154,358,147,0.682,0.883,5.81,3.12,0.865 (0.787–0.918),5
BRCA1 excluded,3–50,"Recorded, not classified",Pangolin,Moderate,0.4146675,6,154,358,137,0.682,0.911,7.63,,0.883 (0.826–0.923),5
BRCA1 excluded,3–50,"Recorded, not classified",AlphaGenome,Moderate,2.19935889,6,154,358,129,0.662,0.925,8.78,,0.882 (0.823–0.923),5
BRCA1 excluded,3–50,"Recorded, not classified",CADD,Moderate,22.60,6,154,358,37,0.156,0.964,4.29,,0.729 (0.664–0.786),5
BRCA1 excluded,3–50,"Recorded, not classified",phyloP-100way,Moderate,5.5818,6,154,358,11,0.039,0.986,2.79,,0.662 (0.578–0.736),5
BRCA1 excluded,3–50,"Recorded, not classified",phastCons-100way,Supporting (Moderate not reached),0.9921,6,154,358,171,0.519,0.746,2.04,,0.654 (0.597–0.707),5
BRCA1 excluded,3–50,"Recorded, not classified",GPN-MSA,Moderate,8.240,6,154,358,47,0.188,0.950,3.75,,0.740 (0.659–0.808),5
BRCA1 excluded,3–50,"Recorded, not classified",NT-v2-500M,none reached in-sample,,,,,,,,,,0.702 (0.607–0.783),5
BRCA1 excluded,3–50,"Recorded, not classified","SpliceAI (±4,999 nt, Walker basis)",Moderate,0.4263,6,154,358,139,0.662,0.897,6.41,3.05,0.869 (0.805–0.915),5
BRCA1 excluded,3–50,"Recorded, not classified",AlphaGenome Atlas AVI,Moderate,0.8246,6,154,358,144,0.708,0.902,7.24,,0.883 (0.808–0.932),5
BRCA1 excluded,3–50,"Recorded, not classified",AlphaGenome Atlas splice sites,Moderate,0.4295,6,154,358,116,0.610,0.939,9.93,,0.860 (0.803–0.902),5
BRCA1 excluded,3–50,"Recorded, not classified",AlphaGenome Atlas splice site usage,Moderate,0.484375,6,154,358,126,0.662,0.933,9.88,,0.886 (0.814–0.933),5
BRCA1 excluded,3–50,"Recorded, not classified",AlphaGenome Atlas splice junctions,Moderate,3.857,6,154,358,126,0.630,0.919,7.78,,0.885 (0.815–0.930),5
BRCA1 excluded,3–50,Not in ClinVar,SpliceAI (±50 nt),Moderate,0.38189,6,448,4647,332,0.453,0.972,16.3,8.63,0.889 (0.807–0.939),6
BRCA1 excluded,3–50,Not in ClinVar,Pangolin,Moderate,0.4146675,6,448,4647,306,0.471,0.980,23.0,,0.898 (0.839–0.936),6
BRCA1 excluded,3–50,Not in ClinVar,AlphaGenome,Moderate,2.19935889,6,448,4647,273,0.444,0.984,27.9,,0.891 (0.818–0.937),6
BRCA1 excluded,3–50,Not in ClinVar,CADD,Moderate,22.60,6,448,4647,94,0.107,0.990,10.8,,0.751 (0.679–0.811),6
BRCA1 excluded,3–50,Not in ClinVar,phyloP-100way,Moderate,5.5818,6,448,4647,29,0.040,0.998,17.0,,0.731 (0.687–0.771),6
BRCA1 excluded,3–50,Not in ClinVar,phastCons-100way,Supporting (Moderate not reached),0.9921,6,448,4647,588,0.353,0.907,3.81,,0.719 (0.672–0.762),6
BRCA1 excluded,3–50,Not in ClinVar,GPN-MSA,Moderate,8.240,6,448,4647,159,0.188,0.984,11.6,,0.765 (0.737–0.791),6
BRCA1 excluded,3–50,Not in ClinVar,NT-v2-500M,none reached in-sample,,,,,,,,,,0.705 (0.652–0.752),6
BRCA1 excluded,3–50,Not in ClinVar,"SpliceAI (±4,999 nt, Walker basis)",Moderate,0.4263,6,448,4647,329,0.467,0.974,18.1,7.95,0.898 (0.818–0.945),6
BRCA1 excluded,3–50,Not in ClinVar,AlphaGenome Atlas AVI,Moderate,0.8246,6,448,4647,309,0.471,0.979,22.3,,0.883 (0.819–0.926),6
BRCA1 excluded,3–50,Not in ClinVar,AlphaGenome Atlas splice sites,Moderate,0.4295,6,448,4647,257,0.391,0.982,22.1,,0.869 (0.790–0.921),6
BRCA1 excluded,3–50,Not in ClinVar,AlphaGenome Atlas splice site usage,Moderate,0.484375,6,448,4647,282,0.449,0.983,25.7,,0.899 (0.829–0.942),6
BRCA1 excluded,3–50,Not in ClinVar,AlphaGenome Atlas splice junctions,Moderate,3.857,6,448,4647,262,0.402,0.982,22.8,,0.894 (0.810–0.943),6
BRCA1 excluded,"1–50 incl. ±1,2, out of scope",Classified (P/LP or B/LB),SpliceAI (±50 nt),,,,,,,,,,,0.956 (0.920–0.976),6
BRCA1 excluded,"1–50 incl. ±1,2, out of scope",Classified (P/LP or B/LB),Pangolin,,,,,,,,,,,0.953 (0.920–0.973),6
BRCA1 excluded,"1–50 incl. ±1,2, out of scope",Classified (P/LP or B/LB),AlphaGenome,,,,,,,,,,,0.951 (0.911–0.974),6
BRCA1 excluded,"1–50 incl. ±1,2, out of scope",Classified (P/LP or B/LB),CADD,,,,,,,,,,,0.931 (0.873–0.963),6
BRCA1 excluded,"1–50 incl. ±1,2, out of scope",Classified (P/LP or B/LB),phyloP-100way,,,,,,,,,,,0.931 (0.894–0.956),6
BRCA1 excluded,"1–50 incl. ±1,2, out of scope",Classified (P/LP or B/LB),phastCons-100way,,,,,,,,,,,0.920 (0.872–0.951),6
BRCA1 excluded,"1–50 incl. ±1,2, out of scope",Classified (P/LP or B/LB),GPN-MSA,,,,,,,,,,,0.934 (0.903–0.956),6
BRCA1 excluded,"1–50 incl. ±1,2, out of scope",Classified (P/LP or B/LB),NT-v2-500M,,,,,,,,,,,0.835 (0.779–0.879),6
BRCA1 excluded,"1–50 incl. ±1,2, out of scope",Classified (P/LP or B/LB),"SpliceAI (±4,999 nt, Walker basis)",,,,,,,,,,,0.960 (0.924–0.979),6
BRCA1 excluded,"1–50 incl. ±1,2, out of scope",Classified (P/LP or B/LB),AlphaGenome Atlas AVI,,,,,,,,,,,0.953 (0.911–0.976),6
BRCA1 excluded,"1–50 incl. ±1,2, out of scope",Classified (P/LP or B/LB),AlphaGenome Atlas splice sites,,,,,,,,,,,0.944 (0.909–0.965),6
BRCA1 excluded,"1–50 incl. ±1,2, out of scope",Classified (P/LP or B/LB),AlphaGenome Atlas splice site usage,,,,,,,,,,,0.954 (0.901–0.979),6
BRCA1 excluded,"1–50 incl. ±1,2, out of scope",Classified (P/LP or B/LB),AlphaGenome Atlas splice junctions,,,,,,,,,,,0.958 (0.919–0.978),6
BRCA1 excluded,"1–50 incl. ±1,2, out of scope","Recorded, not classified",SpliceAI (±50 nt),,,,,,,,,,,0.900 (0.826–0.944),5
BRCA1 excluded,"1–50 incl. ±1,2, out of scope","Recorded, not classified",Pangolin,,,,,,,,,,,0.915 (0.866–0.948),5
