Genes,"Stratum (intronic offset, bp)",ClinVar record status,Tool,Fitted threshold tier,Fitted threshold,Genes contributing,Damaging,Normal,Variants in band,Sensitivity,Specificity,Band LR at fitted threshold,Band LR at published cut point (≥ 0.2),AUROC (95% CI),Genes pooled for AUROC
All genes,3–10,"Recorded, not classified",AlphaGenome Atlas splice sites,Moderate,0.4648,7,201,596,145,0.632,0.970,20.9,,0.896 (0.840–0.933),6
All genes,3–10,"Recorded, not classified",AlphaGenome Atlas splice site usage,Moderate,0.6787,7,201,596,153,0.667,0.968,20.9,,0.916 (0.853–0.953),6
All genes,3–10,"Recorded, not classified",AlphaGenome Atlas splice junctions,Moderate,5.41796875,7,201,596,103,0.458,0.982,24.8,,0.902 (0.842–0.941),6
All genes,3–10,Not in ClinVar,SpliceAI (±50 nt),Moderate,0.5556567,6,274,1331,165,0.442,0.967,13.4,4.66,0.869 (0.807–0.913),5
All genes,3–10,Not in ClinVar,Pangolin,Moderate,0.5108555555,6,274,1331,198,0.533,0.961,13.6,,0.889 (0.835–0.928),5
All genes,3–10,Not in ClinVar,AlphaGenome,Moderate,2.199516,6,274,1331,175,0.493,0.970,16.4,,0.891 (0.815–0.938),5
All genes,3–10,Not in ClinVar,CADD,Supporting (Moderate not reached),19.30,6,274,1331,192,0.350,0.928,4.86,,0.755 (0.681–0.816),5
All genes,3–10,Not in ClinVar,phyloP-100way,Moderate,5.34067,6,274,1331,34,0.084,0.992,10.2,,0.725 (0.668–0.775),5
All genes,3–10,Not in ClinVar,phastCons-100way,Supporting (Moderate not reached),1.000,6,274,1331,260,0.398,0.887,3.51,,0.704 (0.643–0.759),5
All genes,3–10,Not in ClinVar,GPN-MSA,Moderate,9.010,6,274,1331,90,0.219,0.977,9.72,,0.766 (0.729–0.800),5
All genes,3–10,Not in ClinVar,NT-v2-500M,Supporting (Moderate not reached),3.26899,6,274,1331,151,0.281,0.944,5.05,,0.694 (0.647–0.738),5
All genes,3–10,Not in ClinVar,"SpliceAI (±4,999 nt, Walker basis)",Moderate,0.5386,6,274,1331,183,0.485,0.962,12.9,4.33,0.886 (0.820–0.930),5
All genes,3–10,Not in ClinVar,AlphaGenome Atlas AVI,Moderate,1.071034,6,274,1331,159,0.464,0.976,19.3,,0.887 (0.809–0.935),5
All genes,3–10,Not in ClinVar,AlphaGenome Atlas splice sites,Moderate,0.4648,6,274,1331,169,0.474,0.971,16.2,,0.878 (0.799–0.929),5
All genes,3–10,Not in ClinVar,AlphaGenome Atlas splice site usage,Moderate,0.6787,6,274,1331,176,0.504,0.971,17.6,,0.888 (0.820–0.933),5
All genes,3–10,Not in ClinVar,AlphaGenome Atlas splice junctions,Moderate,5.41796875,6,274,1331,121,0.339,0.979,16.1,,0.893 (0.815–0.941),5
All genes,11–50,All variants,SpliceAI (±50 nt),Moderate,0.290056,6,225,4312,172,0.342,0.978,15.5,11.4,,
All genes,11–50,All variants,Pangolin,Moderate,0.4146675,6,225,4312,87,0.262,0.994,40.4,,,
All genes,11–50,All variants,AlphaGenome,Moderate,2.198968,6,225,4312,117,0.311,0.989,28.5,,,
