Tool,"Stratum (intronic offset, bp)",Tier,Training genes,Subsets,Subsets reaching the tier,"Threshold, median","Threshold, interquartile range",Threshold on all genes in the stratum,Held-out pairs evaluable,Held-out pairs clearing the cut,"Held-out LR, median","Held-out LR, interquartile range"
AlphaGenome,11–50,Moderate,2,15,11 (73%),2.197709,2.19591 to 2.19844,2.198968,32 of 60,27 (84%),8.28,5.56 to 24.3
AlphaGenome,11–50,Moderate,3,20,20 (100%),2.19819,2.197553 to 2.198511,2.198968,41 of 60,39 (95%),15.1,7.15 to 24.9
AlphaGenome,11–50,Moderate,4,15,15 (100%),2.1984967,2.1981 to 2.198846,2.198968,17 of 30,17 (100%),24.3,8.43 to 27.0
AlphaGenome,11–50,Moderate,5,6,6 (100%),2.19889,2.198494 to 2.1988979,2.198968,3 of 6,3 (100%),27.0,17.5 to 39.2
AlphaGenome,11–50,Strong,2,15,0 (0%),,,2.19960445,0 of 60,,,
AlphaGenome,11–50,Strong,3,20,1 (5%),2.19845,2.19845 to 2.19845,2.19960445,1 of 60,0 (0%),9.86,9.86 to 9.86
AlphaGenome,11–50,Strong,4,15,0 (0%),,,2.19960445,0 of 30,,,
AlphaGenome,11–50,Strong,5,6,1 (17%),2.199606,2.199606 to 2.199606,2.19960445,0 of 6,,,
AlphaGenome,3–50,Moderate,2,21,21 (100%),2.19893,2.19842 to 2.1990666,2.19935889,105 of 105,105 (100%),23.9,18.2 to 28.3
AlphaGenome,3–50,Moderate,3,35,35 (100%),2.1991,2.19892 to 2.19918979,2.19935889,140 of 140,140 (100%),24.8,20.8 to 37.1
AlphaGenome,3–50,Moderate,4,35,35 (100%),2.199237,2.19918979 to 2.199338,2.19935889,105 of 105,105 (100%),28.3,23.1 to 44.5
AlphaGenome,3–50,Moderate,5,21,21 (100%),2.199317,2.199223995 to 2.19935889,2.19935889,42 of 42,42 (100%),31.5,24.4 to 48.7
AlphaGenome,3–50,Moderate,6,7,7 (100%),2.199349,2.199324 to 2.199365,2.19935889,7 of 7,7 (100%),32.6,25.2 to 52.7
AlphaGenome,3–50,Strong,2,21,19 (90%),2.19968,2.19962 to 2.199823,2.1998709,90 of 105,82 (91%),53.5,27.6 to 75.1
AlphaGenome,3–50,Strong,3,35,35 (100%),2.1998067,2.1996967 to 2.19987,2.1998709,126 of 140,118 (94%),53.9,32.5 to 88.1
AlphaGenome,3–50,Strong,4,35,35 (100%),2.199869,2.1997936 to 2.1998929,2.1998709,90 of 105,86 (96%),56.4,33.3 to 117
AlphaGenome,3–50,Strong,5,21,21 (100%),2.199877,2.19982265 to 2.19988617897,2.1998709,36 of 42,36 (100%),57.6,36.5 to 134
AlphaGenome,3–50,Strong,6,7,7 (100%),2.199873,2.199864 to 2.1998785,2.1998709,6 of 7,6 (100%),70.3,43.1 to 129
"SpliceAI (±4,999 nt, Walker basis)",3–10,Moderate,2,21,21 (100%),0.5450,0.5112 to 0.6189,0.5386,91 of 105,91 (100%),16.3,11.5 to 25.2
