Gene,Label definition,"Stratum (intronic offset, bp)",Tool,Damaging,Normal,Evaluated,Same variable as the fitted column,Why not comparable,LR at published cut point (≥ 0.2),Tier at published cut point,Supporting: threshold (median of leave-one-gene-out fits),Supporting: LR in this gene,Supporting: tier reached,Moderate: threshold (median of leave-one-gene-out fits),Moderate: LR in this gene,Moderate: tier reached,Strong: threshold (median of leave-one-gene-out fits),Strong: LR in this gene,Strong: tier reached,Note
DDX3X,Control-anchored,3–50,GPN-MSA,71,1594,Yes,Yes,,,,6.880,4.02,Supporting,8.310,6.56,Moderate,,,not evaluable,Strong: tier unreachable in-sample; LOGO median not carried over
DDX3X,Control-anchored,3–50,"SpliceAI (±4,999 nt, Walker basis)",71,1594,Yes,Yes,,3.08,Supporting,0.33358,5.34,Moderate,0.42775,6.65,Moderate,0.8931,26.4,Strong,
DDX3X,Control-anchored,3–50,AlphaGenome Atlas AVI,71,1594,Yes,Yes,,,,0.7155988,7.15,Moderate,0.8457,9.29,Moderate,1.1815,14.2,Moderate,
DDX3X,Control-anchored,3–50,AlphaGenome Atlas splice sites,71,1594,Yes,Yes,,,,0.29785,6.70,Moderate,0.43945,8.92,Moderate,0.858398,17.3,Moderate,
DDX3X,Control-anchored,3–50,AlphaGenome Atlas splice site usage,71,1594,Yes,Yes,,,,0.3828,9.74,Moderate,0.4921875,10.9,Moderate,0.9137,15.7,Moderate,
DDX3X,Control-anchored,3–50,AlphaGenome Atlas splice junctions,71,1594,Yes,Yes,,,,3.21289,3.94,Supporting,3.955,5.12,Moderate,6.246,9.14,Moderate,
DDX3X,FDR,3–10,Pangolin,41,727,Yes,Yes,,,,0.406857997,8.02,Moderate,0.5473,10.2,Moderate,0.7039,10.5,Moderate,
DDX3X,FDR,3–10,CADD,41,727,Yes,Yes,,,,19.53,5.69,Moderate,,,not evaluable,,,not evaluable,Moderate: tier unreachable in-sample; LOGO median not carried over; Strong: tier unreachable in-sample; LOGO median not carried over
DDX3X,FDR,3–10,phyloP-100way,41,727,Yes,Yes,,,,4.58587,6.71,Moderate,5.34067,10.1,Moderate,,,not evaluable,Strong: tier unreachable in-sample; LOGO median not carried over
DDX3X,FDR,3–10,phastCons-100way,41,727,Yes,Yes,,,,1.000,3.55,Supporting,,,not evaluable,,,not evaluable,Moderate: tier unreachable in-sample; LOGO median not carried over; Strong: tier unreachable in-sample; LOGO median not carried over
DDX3X,FDR,3–10,GPN-MSA,41,727,Yes,Yes,,,,7.470,4.69,Moderate,9.130,7.35,Moderate,,,not evaluable,Strong: tier unreachable in-sample; LOGO median not carried over
DDX3X,FDR,3–10,"SpliceAI (±4,999 nt, Walker basis)",41,727,Yes,Yes,,3.91,Supporting,0.4259,8.61,Moderate,0.5537,9.21,Moderate,0.8948,20.5,Strong,
DDX3X,FDR,3–10,AlphaGenome Atlas AVI,41,727,Yes,Yes,,,,0.8440,9.79,Moderate,1.0689,13.4,Moderate,1.36798,20.7,Strong,
DDX3X,FDR,3–10,AlphaGenome Atlas splice sites,41,727,Yes,Yes,,,,0.3398,9.00,Moderate,0.4558,9.70,Moderate,,,not evaluable,Strong: tier unreachable in-sample; LOGO median not carried over
DDX3X,FDR,3–10,AlphaGenome Atlas splice site usage,41,727,Yes,Yes,,,,0.568359,12.4,Moderate,0.66699,13.4,Moderate,0.91949,17.7,Moderate,
DDX3X,FDR,3–10,AlphaGenome Atlas splice junctions,41,727,Yes,Yes,,,,3.5097656,4.90,Moderate,5.375,8.18,Moderate,6.8398,11.1,Moderate,
DDX3X,FDR,11–50,Pangolin,26,871,Yes,Yes,,,,0.1923,9.14,Moderate,0.3521,29.6,Strong,,,not evaluable,Strong: tier unreachable in-sample; LOGO median not carried over
DDX3X,FDR,11–50,CADD,26,871,Yes,Yes,,,,21.10,7.18,Moderate,,,not evaluable,,,not evaluable,Moderate: tier unreachable in-sample; LOGO median not carried over; Strong: tier unreachable in-sample; LOGO median not carried over
DDX3X,FDR,11–50,phyloP-100way,26,871,Yes,Yes,,,,,,not evaluable,,,not evaluable,,,not evaluable,Supporting: tier unreachable in-sample; LOGO median not carried over; Moderate: tier unreachable in-sample; LOGO median not carried over; Strong: tier unreachable in-sample; LOGO median not carried over
DDX3X,FDR,11–50,phastCons-100way,26,871,Yes,Yes,,,,,,not evaluable,,,not evaluable,,,not evaluable,Supporting: tier unreachable in-sample; LOGO median not carried over; Moderate: tier unreachable in-sample; LOGO median not carried over; Strong: tier unreachable in-sample; LOGO median not carried over
DDX3X,FDR,11–50,GPN-MSA,26,871,Yes,Yes,,,,6.585,4.79,Moderate,,,not evaluable,,,not evaluable,Moderate: tier unreachable in-sample; LOGO median not carried over; Strong: tier unreachable in-sample; LOGO median not carried over
DDX3X,FDR,11–50,"SpliceAI (±4,999 nt, Walker basis)",26,871,Yes,Yes,,7.49,Moderate,0.2533,9.14,Moderate,0.3131,9.47,Moderate,,,not evaluable,Strong: tier unreachable in-sample; LOGO median not carried over
DDX3X,FDR,11–50,AlphaGenome Atlas AVI,26,871,Yes,Yes,,,,0.5901,20.9,Strong,0.6914,33.5,Strong,1.192,not evaluable,not evaluable,
DDX3X,FDR,11–50,AlphaGenome Atlas splice sites,26,871,Yes,Yes,,,,0.2705,11.5,Moderate,0.5078,33.5,Strong,,,not evaluable,Strong: tier unreachable in-sample; LOGO median not carried over
DDX3X,FDR,11–50,AlphaGenome Atlas splice site usage,26,871,Yes,Yes,,,,0.154296875,26.4,Strong,0.2470,35.9,Strong,0.6455,101,Strong,
DDX3X,FDR,11–50,AlphaGenome Atlas splice junctions,26,871,Yes,Yes,,,,3.378,12.3,Moderate,4.363,19.3,Strong,,,not evaluable,Strong: tier unreachable in-sample; LOGO median not carried over
DDX3X,FDR,3–50,Pangolin,67,1598,Yes,Yes,,,,0.37675,12.2,Moderate,0.4281759,13.3,Moderate,0.6740,18.4,Moderate,
DDX3X,FDR,3–50,CADD,67,1598,Yes,Yes,,,,19.19,6.85,Moderate,22.60,4.39,Moderate,,,not evaluable,Strong: tier unreachable in-sample; LOGO median not carried over
