scheme,n,w_min,w_median,w_max,ESS,ESS_over_n,n_w_gt_alert
quintile,1768,0.7867328404064959,1.0711895619826342,1.182249349345382,1723.9823149136344,0.975103119295042,0
decile,1768,0.7155719746037839,1.021654784549911,1.2359879561338083,1719.063913596579,0.9723212180976125,0
vigintile,1768,0.6979665372275139,1.0244712499911668,1.3430568216347616,1712.8032707818631,0.968780130532728,0
decile_truncated,1768,0.7155719746037839,1.021654784549911,1.2359879561338083,1719.063913596579,0.9723212180976125,0
unweighted,1768,1.0,1.0,1.0,1768.0,1.0,0
