set,calib,tool,dBrier_vs_fusion,ci95,fusion_lower
y_assay/BRCA1_included,isotonic,spliceai,0.0176,"[0.0068,0.0308]",True
y_assay/BRCA1_included,isotonic,pangolin,0.0085,"[0.0031,0.0157]",True
y_assay/BRCA1_included,isotonic,alphagenome,0.0175,"[0.0130,0.0228]",True
y_assay/BRCA1_included,isotonic,gpn_msa,0.0548,"[0.0421,0.0658]",True
y_assay/BRCA1_included,isotonic,nt,0.135,"[0.0888,0.1720]",True
y_assay/BRCA1_included,isotonic,cadd,0.0503,"[0.0345,0.0671]",True
y_assay/BRCA1_included,isotonic,alphamissense,,"[nan,nan]",False
y_assay/BRCA1_included,isotonic,gnomad_af,0.1788,"[0.1493,0.2076]",True
y_assay/BRCA1_included,isotonic,phylop,0.0653,"[0.0518,0.0772]",True
y_assay/BRCA1_included,isotonic,phastcons,0.0847,"[0.0665,0.1046]",True
y_assay/BRCA1_excluded,isotonic,spliceai,0.0228,"[0.0074,0.0370]",True
y_assay/BRCA1_excluded,isotonic,pangolin,0.0116,"[0.0039,0.0183]",True
y_assay/BRCA1_excluded,isotonic,alphagenome,0.0189,"[0.0119,0.0247]",True
y_assay/BRCA1_excluded,isotonic,gpn_msa,0.0527,"[0.0421,0.0671]",True
y_assay/BRCA1_excluded,isotonic,nt,0.1101,"[0.0766,0.1382]",True
y_assay/BRCA1_excluded,isotonic,cadd,0.0364,"[0.0342,0.0401]",True
y_assay/BRCA1_excluded,isotonic,alphamissense,,"[nan,nan]",False
y_assay/BRCA1_excluded,isotonic,gnomad_af,0.1767,"[0.1379,0.2153]",True
y_assay/BRCA1_excluded,isotonic,phylop,0.0616,"[0.0479,0.0761]",True
y_assay/BRCA1_excluded,isotonic,phastcons,0.0814,"[0.0603,0.1086]",True
y_clinvar/BRCA1_included,isotonic,spliceai,0.0264,"[0.0069,0.0466]",True
y_clinvar/BRCA1_included,isotonic,pangolin,0.0119,"[0.0006,0.0248]",True
y_clinvar/BRCA1_included,isotonic,alphagenome,0.0257,"[0.0150,0.0411]",True
y_clinvar/BRCA1_included,isotonic,gpn_msa,0.0536,"[0.0384,0.0680]",True
y_clinvar/BRCA1_included,isotonic,nt,0.1564,"[0.1268,0.1910]",True
y_clinvar/BRCA1_included,isotonic,cadd,0.0261,"[0.0067,0.0430]",True
y_clinvar/BRCA1_included,isotonic,alphamissense,,"[nan,nan]",False
y_clinvar/BRCA1_included,isotonic,gnomad_af,0.2373,"[0.2131,0.2605]",True
y_clinvar/BRCA1_included,isotonic,phylop,0.0448,"[0.0294,0.0588]",True
y_clinvar/BRCA1_included,isotonic,phastcons,0.0692,"[0.0417,0.1017]",True
y_clinvar/BRCA1_excluded,isotonic,spliceai,0.0364,"[0.0133,0.0559]",True
y_clinvar/BRCA1_excluded,isotonic,pangolin,0.0192,"[0.0025,0.0351]",True
y_clinvar/BRCA1_excluded,isotonic,alphagenome,0.0297,"[0.0152,0.0470]",True
y_clinvar/BRCA1_excluded,isotonic,gpn_msa,0.0558,"[0.0327,0.0766]",True
y_clinvar/BRCA1_excluded,isotonic,nt,0.1401,"[0.1089,0.1632]",True
y_clinvar/BRCA1_excluded,isotonic,cadd,0.0178,"[0.0069,0.0267]",True
y_clinvar/BRCA1_excluded,isotonic,alphamissense,,"[nan,nan]",False
y_clinvar/BRCA1_excluded,isotonic,gnomad_af,0.2392,"[0.1991,0.2773]",True
y_clinvar/BRCA1_excluded,isotonic,phylop,0.0403,"[0.0248,0.0591]",True
y_clinvar/BRCA1_excluded,isotonic,phastcons,0.0637,"[0.0358,0.1053]",True
y_assay/BRCA1_included,platt,spliceai,0.0177,"[0.0108,0.0276]",True
y_assay/BRCA1_included,platt,pangolin,0.0086,"[0.0041,0.0144]",True
y_assay/BRCA1_included,platt,alphagenome,0.0169,"[0.0137,0.0217]",True
y_assay/BRCA1_included,platt,gpn_msa,0.0536,"[0.0422,0.0647]",True
y_assay/BRCA1_included,platt,nt,0.1351,"[0.0902,0.1702]",True
y_assay/BRCA1_included,platt,cadd,0.0496,"[0.0358,0.0645]",True
y_assay/BRCA1_included,platt,alphamissense,,"[nan,nan]",False
y_assay/BRCA1_included,platt,gnomad_af,0.1727,"[0.1418,0.1997]",True
y_assay/BRCA1_included,platt,phylop,0.0649,"[0.0516,0.0761]",True
y_assay/BRCA1_included,platt,phastcons,0.078,"[0.0602,0.0975]",True
y_assay/BRCA1_excluded,platt,spliceai,0.0215,"[0.0101,0.0322]",True
y_assay/BRCA1_excluded,platt,pangolin,0.0108,"[0.0038,0.0166]",True
y_assay/BRCA1_excluded,platt,alphagenome,0.0183,"[0.0136,0.0223]",True
y_assay/BRCA1_excluded,platt,gpn_msa,0.0516,"[0.0405,0.0666]",True
y_assay/BRCA1_excluded,platt,nt,0.1081,"[0.0756,0.1394]",True
y_assay/BRCA1_excluded,platt,cadd,0.0383,"[0.0354,0.0430]",True
y_assay/BRCA1_excluded,platt,alphamissense,,"[nan,nan]",False
y_assay/BRCA1_excluded,platt,gnomad_af,0.1707,"[0.1315,0.2071]",True
y_assay/BRCA1_excluded,platt,phylop,0.0617,"[0.0484,0.0772]",True
y_assay/BRCA1_excluded,platt,phastcons,0.0758,"[0.0567,0.1009]",True
y_clinvar/BRCA1_included,platt,spliceai,0.0251,"[0.0068,0.0477]",True
y_clinvar/BRCA1_included,platt,pangolin,0.012,"[0.0012,0.0238]",True
y_clinvar/BRCA1_included,platt,alphagenome,0.0244,"[0.0160,0.0350]",True
y_clinvar/BRCA1_included,platt,gpn_msa,0.0538,"[0.0418,0.0677]",True
y_clinvar/BRCA1_included,platt,nt,0.1592,"[0.1256,0.1938]",True
y_clinvar/BRCA1_included,platt,cadd,0.0235,"[0.0096,0.0380]",True
y_clinvar/BRCA1_included,platt,alphamissense,,"[nan,nan]",False
y_clinvar/BRCA1_included,platt,gnomad_af,0.2321,"[0.2105,0.2535]",True
y_clinvar/BRCA1_included,platt,phylop,0.0483,"[0.0351,0.0618]",True
y_clinvar/BRCA1_included,platt,phastcons,0.0628,"[0.0386,0.0947]",True
y_clinvar/BRCA1_excluded,platt,spliceai,0.0326,"[0.0084,0.0543]",True
y_clinvar/BRCA1_excluded,platt,pangolin,0.0169,"[0.0048,0.0279]",True
y_clinvar/BRCA1_excluded,platt,alphagenome,0.0275,"[0.0155,0.0408]",True
y_clinvar/BRCA1_excluded,platt,gpn_msa,0.054,"[0.0360,0.0735]",True
y_clinvar/BRCA1_excluded,platt,nt,0.1372,"[0.1076,0.1706]",True
y_clinvar/BRCA1_excluded,platt,cadd,0.015,"[0.0081,0.0211]",True
y_clinvar/BRCA1_excluded,platt,alphamissense,,"[nan,nan]",False
y_clinvar/BRCA1_excluded,platt,gnomad_af,0.2327,"[0.2009,0.2628]",True
y_clinvar/BRCA1_excluded,platt,phylop,0.0432,"[0.0301,0.0626]",True
y_clinvar/BRCA1_excluded,platt,phastcons,0.0605,"[0.0335,0.1019]",True
