condition,binning,brier_fusion,brier_single,rel_fusion,rel_single,res_fusion,res_single,unc,d_brier,d_brier_lo,d_brier_hi,d_rel,d_rel_lo,d_rel_hi,d_res,d_res_lo,d_res_hi
isotonic/y_assay/BRCA1_included,width10,0.06310946105656295,0.07165054456674685,0.004684470618148592,0.004817787806734367,0.19112228853750504,0.18216676669831808,0.24990296279795057,0.0085410835101839,0.0031085796176106503,0.016556061399880723,0.00013331718858577545,-0.0008228358913033616,0.006716897372500599,0.008955521839186964,0.0005502737598259422,0.012793200056200814
isotonic/y_assay/BRCA1_included,freq10,0.06310946105656295,0.07165054456674685,8.489371051039626e-05,0.0004712642410360818,0.18166901276222147,0.1741596872971059,0.24990296279795057,0.0085410835101839,0.0033882642608149254,0.015781315524708888,0.0003863705305256856,-0.0002314332961042759,0.004392477962857419,0.007509325465115568,0.001299740695382523,0.01632045523358036
isotonic/y_assay/BRCA1_included,width15,0.06310946105656295,0.07165054456674685,0.0049588373693022275,0.0047024153256191754,0.19213914910637792,0.18319176638060564,0.24990296279795057,0.0085410835101839,0.0035328939665359156,0.015891790560854997,-0.00025642204368305204,-0.0006740891146923748,0.008047245417790899,0.00894738272577228,0.0004384884434880978,0.011968026453393954
isotonic/y_assay/BRCA1_excluded,width10,0.06773064181793703,0.07929785266788174,0.004629131656142614,0.0033787065109636147,0.1864024320412478,0.1734760235755238,0.24992669825483205,0.011567210849944706,0.003932410543278128,0.018024595273069755,-0.0012504251451789994,-0.0028699599647634237,0.0073953430193105085,0.012926408465723987,0.002945287429612376,0.015322025438173181
isotonic/y_assay/BRCA1_excluded,freq10,0.06773064181793703,0.07929785266788174,0.0004937028745816727,0.001519654417192753,0.1817231649237558,0.16641049182583573,0.24992669825483205,0.011567210849944706,0.00410574317271227,0.01829903132606644,0.0010259515426110804,-0.0007322975172581701,0.005826240561826345,0.01531267309792006,0.0006591556363752249,0.018031957976863577
isotonic/y_assay/BRCA1_excluded,width15,0.06773064181793703,0.07929785266788174,0.005784629554580768,0.004223693959592949,0.18839719165943736,0.1748563646821888,0.24992669825483205,0.011567210849944706,0.00410574317271227,0.01831956338181301,-0.0015609355949878188,-0.003282985606619847,0.007312724290275243,0.013540826977248566,0.005219678784145837,0.017840181449138758
isotonic/y_clinvar/BRCA1_included,width10,0.010454750945797354,0.02230477158013187,0.002848929663362818,0.006562263220941809,0.23478084632959936,0.22673593871180295,0.2424864456552347,0.011850020634334517,-3.175923668097554e-05,0.02504245813305085,0.003713333557578991,-0.00022685160995330545,0.0152468951960588,0.008044907617796415,-0.002737299021641111,0.01895881426189672
isotonic/y_clinvar/BRCA1_included,freq10,0.010454750945797354,0.02230477158013187,5.02810877987152e-05,0.00016812384444974288,0.21109609040746513,0.21084416065559627,0.2424864456552347,0.011850020634334517,0.0005535264453134002,0.02500859986805425,0.00011784275665102768,-4.441818205392953e-05,0.0059469475126902325,0.0002519297518688568,-0.22288743229466712,0.020375115228133178
isotonic/y_clinvar/BRCA1_included,width15,0.010454750945797354,0.02230477158013187,0.003223430461871022,0.007974689193671782,0.23513320714707645,0.22803352883627426,0.2424864456552347,0.011850020634334517,0.00042289314119493045,0.023883454111343284,0.00475125873180076,-0.0021202520650814485,0.016666017937299563,0.007099678310802188,-0.002472179787122341,0.018393948092872064
isotonic/y_clinvar/BRCA1_excluded,width10,0.011731326552491443,0.030952052742607972,0.002463803169863595,0.012367834381494613,0.23775977457148367,0.22824446099743045,0.24717682958519255,0.019220726190116527,0.0036998219725347713,0.03596528604473933,0.009904031211631019,0.0009671170430577388,0.029055131560164687,0.009515313574053219,-0.0066141482788098505,0.019321835321160274
isotonic/y_clinvar/BRCA1_excluded,freq10,0.011731326552491443,0.030952052742607972,7.598690735513082e-06,0.0001803553602185663,0.19285902120147813,0.21186859995227242,0.24717682958519255,0.019220726190116527,0.0032731218294295653,0.03679495415737568,0.00017275666948305323,-7.441034161005365e-05,0.011819226333302924,-0.019009578750794287,-0.2322605807626692,0.02605569866452955
isotonic/y_clinvar/BRCA1_excluded,width15,0.011731326552491443,0.030952052742607972,0.0024771683989664216,0.011605843422052162,0.23775980871679242,0.22744548687318467,0.24717682958519255,0.019220726190116527,0.0032731218294295653,0.03606386508230064,0.009128675023085741,0.0006635078433704952,0.029139140475381946,0.010314321843607754,-0.0073214013211292395,0.018880437763246716
