gene,n_frame,n_observed,n_remainder,pct_covered,mean_abs_z_frame,mean_abs_z_observed,mean_abs_z_remainder,extreme_decile_frac_observed,extreme_decile_frac_remainder,ks_p,mwu_abs_z_p
BAP1,9441,274,9167,2.9,0.5961673766150732,1.2602291347120493,0.5763186887435152,0.4124087591240876,0.19362932257008836,6.238e-17,1.593e-12
BARD1,8676,200,8476,2.3,0.6173318882635671,1.4366300253511173,0.5979997000359232,0.505,0.19289759320434166,2.248e-24,1.116e-25
BRCA1,3893,547,3346,14.1,0.7918596269972024,1.0376042112762023,0.7516856020119623,0.25411334552102377,0.19157202630005976,4.773e-27,1.691e-15
BRCA2,6959,278,6681,4.0,0.7250846525337371,1.3712761683587305,0.6981962763326672,0.45323741007194246,0.18949259092950158,2.635e-33,7.484e-20
PALB2,10375,252,10123,2.4,0.5641880137488007,1.5667873642949304,0.5392294998361638,0.6150793650793651,0.18976587967993677,5.295e-43,3.753e-41
RAD51C,4679,171,4508,3.7,0.6990406356233894,1.075320791938927,0.6847673643878177,0.3157894736842105,0.1956521739130435,8.705e-19,1.850e-11
VHL,2268,59,2209,2.6,0.6194518441909901,1.2790668241865686,0.6018342417375093,0.423728813559322,0.19420552286102308,1.362e-05,9.758e-04
POOLED,46291,1781,44510,3.8,0.6403434760413647,1.2552432791712642,0.6157391949949852,0.4475014037057833,0.1900921141316558,1.512e-175,9.553e-157
