group,n_objects,median_delta_lr,lo,hi,min,max
clinical labels,0,,,,,
no clinical labels,9,0.46941527106189085,-0.1722941334167238,3.1519666843395804,-0.38498515937540323,3.3862344620382547
fusions,2,-0.2013132728851481,-1.0516167522109328,3.514833398519378,-0.2588742420715455,-0.1437523036987507
