set,calib,model,ECE,Brier,actionable_frac,actionable_acc,n_actionable
y_assay/BRCA1_included,platt,single:phastcons,0.0261,0.1413,0.2006,0.9167,336
y_assay/BRCA1_excluded,platt,fusion_M1,0.0129,0.0673,0.7295,0.9718,852
y_assay/BRCA1_excluded,platt,mean_M0b,0.0162,0.0786,0.6738,0.9682,787
y_assay/BRCA1_excluded,platt,single:spliceai,0.0316,0.0888,0.5985,0.9614,699
y_assay/BRCA1_excluded,platt,single:pangolin,0.022,0.0781,0.6558,0.9687,766
y_assay/BRCA1_excluded,platt,single:alphagenome,0.0252,0.0856,0.6182,0.964,722
y_assay/BRCA1_excluded,platt,single:gpn_msa,0.0304,0.1189,0.4717,0.9492,551
y_assay/BRCA1_excluded,platt,single:nt,0.0527,0.1754,0.1002,0.9145,117
y_assay/BRCA1_excluded,platt,single:cadd,0.037,0.1056,0.5312,0.944,571
y_assay/BRCA1_excluded,platt,single:alphamissense,,,,,0
y_assay/BRCA1_excluded,platt,single:gnomad_af,0.0372,0.238,0.0,,0
y_assay/BRCA1_excluded,platt,single:phylop,0.0396,0.129,0.4067,0.9326,475
y_assay/BRCA1_excluded,platt,single:phastcons,0.0477,0.1431,0.1875,0.8995,219
y_clinvar/BRCA1_included,platt,fusion_M1,0.0048,0.0088,0.9651,0.9989,913
y_clinvar/BRCA1_included,platt,mean_M0b,0.0071,0.0135,0.9419,0.9966,891
y_clinvar/BRCA1_included,platt,single:spliceai,0.0232,0.0339,0.8816,0.9808,834
y_clinvar/BRCA1_included,platt,single:pangolin,0.0127,0.0208,0.9323,0.9932,882
y_clinvar/BRCA1_included,platt,single:alphagenome,0.0144,0.0333,0.8774,0.9928,830
y_clinvar/BRCA1_included,platt,single:gpn_msa,0.0308,0.0626,0.74,0.98,700
y_clinvar/BRCA1_included,platt,single:nt,0.0754,0.168,0.2241,0.9198,212
y_clinvar/BRCA1_included,platt,single:cadd,0.0118,0.0323,0.8931,0.9885,785
y_clinvar/BRCA1_included,platt,single:alphamissense,,,,,0
y_clinvar/BRCA1_included,platt,single:gnomad_af,0.0572,0.2409,0.0,,0
y_clinvar/BRCA1_included,platt,single:phylop,0.0343,0.0571,0.7706,0.9767,729
y_clinvar/BRCA1_included,platt,single:phastcons,0.0304,0.0716,0.8129,0.9532,769
y_clinvar/BRCA1_excluded,platt,fusion_M1,0.0059,0.0106,0.9591,0.9986,704
y_clinvar/BRCA1_excluded,platt,mean_M0b,0.007,0.0146,0.9428,0.9942,692
y_clinvar/BRCA1_excluded,platt,single:spliceai,0.0337,0.0432,0.876,0.9751,643
y_clinvar/BRCA1_excluded,platt,single:pangolin,0.017,0.0275,0.9196,0.9896,675
y_clinvar/BRCA1_excluded,platt,single:alphagenome,0.0209,0.0381,0.8733,0.986,641
y_clinvar/BRCA1_excluded,platt,single:gpn_msa,0.032,0.0646,0.7425,0.9743,545
y_clinvar/BRCA1_excluded,platt,single:nt,0.0636,0.1478,0.3392,0.9116,249
y_clinvar/BRCA1_excluded,platt,single:cadd,0.0164,0.0256,0.926,0.9904,626
y_clinvar/BRCA1_excluded,platt,single:alphamissense,,,,,0
y_clinvar/BRCA1_excluded,platt,single:gnomad_af,0.0867,0.2433,0.0,,0
y_clinvar/BRCA1_excluded,platt,single:phylop,0.028,0.0538,0.7888,0.9827,579
y_clinvar/BRCA1_excluded,platt,single:phastcons,0.039,0.0711,0.8324,0.9542,611
