condition,object,target_spec,threshold,sensitivity,specificity_achieved,n,n_pos,n_neg,lr_plus,lr_minus,acmg_tier
y_assay/BRCA1_included,phylop,0.975,0.7564466763191173,0.49086479902557856,0.9754098360655737,1675,821,854,19.96183516037353,0.5219705421754572,Strong
y_assay/BRCA1_included,phylop,0.99,0.937903960580789,0.12302070645554203,0.990632318501171,1675,821,854,13.132460414129111,0.8852722419467697,Moderate
y_assay/BRCA1_included,phastcons,0.9,0.9322580260506306,0.5907429963459196,0.905152224824356,1675,821,854,6.2283273935730294,0.4521416314625933,Moderate
y_assay/BRCA1_included,phastcons,0.95,0.9885490297422471,0.1315468940316687,0.9800936768149883,1675,821,854,6.608296911943827,0.8860919384670908,Moderate
y_assay/BRCA1_included,phastcons,0.975,0.9885490297422471,0.1315468940316687,0.9800936768149883,1675,821,854,6.608296911943827,0.8860919384670908,Moderate
y_assay/BRCA1_included,phastcons,0.99,,,,1675,821,854,,,not evaluable
y_assay/BRCA1_excluded,fusion_M1,0.9,0.5067974332377889,0.9242424242424242,0.9006968641114983,1168,594,574,9.307283359914939,0.08410995838461993,Moderate
y_assay/BRCA1_excluded,fusion_M1,0.95,0.5585679494659026,0.8754208754208754,0.9512195121951219,1168,594,574,17.946127946127945,0.13096779763446428,Moderate
y_assay/BRCA1_excluded,fusion_M1,0.975,0.6516181992599723,0.7912457912457912,0.975609756097561,1168,594,574,32.44107744107744,0.21397306397306404,Strong
y_assay/BRCA1_excluded,fusion_M1,0.99,0.7247450296581385,0.6464646464646465,0.9912891986062717,1168,594,574,74.21414141414142,0.35664199108838823,Strong
y_assay/BRCA1_excluded,mean_M0b,0.9,0.5284082947193405,0.9006734006734006,0.9006968641114983,1168,594,574,9.069939157658455,0.11027750099316835,Moderate
y_assay/BRCA1_excluded,mean_M0b,0.95,0.6150441764179527,0.8131313131313131,0.9512195121951219,1168,594,574,16.66919191919192,0.19645169645169644,Moderate
y_assay/BRCA1_excluded,mean_M0b,0.975,0.6873921926296073,0.7154882154882155,0.975609756097561,1168,594,574,29.335016835016834,0.2916245791245791,Strong
y_assay/BRCA1_excluded,mean_M0b,0.99,0.797819501272758,0.48653198653198654,0.9912891986062717,1168,594,574,55.85387205387206,0.5179800346759924,Strong
y_assay/BRCA1_excluded,spliceai,0.9,0.5082699291330254,0.8787878787878788,0.9059233449477352,1168,594,574,9.341189674523008,0.1337995337995338,Moderate
y_assay/BRCA1_excluded,spliceai,0.95,0.5827774138657295,0.7895622895622896,0.9529616724738676,1168,594,574,16.785509415139046,0.22082494660191185,Moderate
y_assay/BRCA1_excluded,spliceai,0.975,0.6469343863484117,0.7070707070707071,0.975609756097561,1168,594,574,28.98989898989899,0.30025252525252527,Strong
y_assay/BRCA1_excluded,spliceai,0.99,0.7085197096762489,0.5723905723905723,0.9912891986062717,1168,594,574,65.7104377104377,0.43136697969738397,Strong
y_assay/BRCA1_excluded,pangolin,0.9,0.47079721399331764,0.9107744107744108,0.9006968641114983,1168,594,574,9.171658101482663,0.09906283987521897,Moderate
y_assay/BRCA1_excluded,pangolin,0.95,0.5549644903890977,0.8080808080808081,0.9512195121951219,1168,594,574,16.565656565656564,0.2017612017612018,Moderate
y_assay/BRCA1_excluded,pangolin,0.975,0.5978188911913446,0.7525252525252525,0.975609756097561,1168,594,574,30.85353535353535,0.2536616161616162,Strong
y_assay/BRCA1_excluded,pangolin,0.99,0.7862496915188242,0.40235690235690236,0.9912891986062717,1168,594,574,46.19057239057239,0.6028947944589421,Strong
y_assay/BRCA1_excluded,alphagenome,0.9,0.5162166969720927,0.8872053872053872,0.9006968641114983,1168,594,574,8.93431389922618,0.1252303824837674,Moderate
y_assay/BRCA1_excluded,alphagenome,0.95,0.6099131683664057,0.7525252525252525,0.9512195121951219,1168,594,574,15.426767676767675,0.2601657601657602,Moderate
y_assay/BRCA1_excluded,alphagenome,0.975,0.6590498917141252,0.6750841750841751,0.975609756097561,1168,594,574,27.678451178451176,0.3330387205387206,Strong
y_assay/BRCA1_excluded,alphagenome,0.99,0.8056435090333395,0.3888888888888889,0.9912891986062717,1168,594,574,44.644444444444446,0.616481156024214,Strong
y_assay/BRCA1_excluded,gpn_msa,0.9,0.5703039650408072,0.7828282828282829,0.9006968641114983,1168,594,574,7.883218146376041,0.2411152140359103,Moderate
y_assay/BRCA1_excluded,gpn_msa,0.95,0.6603651145018051,0.6515151515151515,0.9512195121951219,1168,594,574,13.356060606060606,0.3663558663558664,Moderate
y_assay/BRCA1_excluded,gpn_msa,0.975,0.7394889174086254,0.5117845117845118,0.975609756097561,1168,594,574,20.983164983164983,0.5004208754208754,Strong
y_assay/BRCA1_excluded,gpn_msa,0.99,0.8163678426836322,0.3686868686868687,0.9912891986062717,1168,594,574,42.32525252525252,0.6368606983721219,Strong
y_assay/BRCA1_excluded,nt,0.9,0.6675725353782908,0.5841750841750841,0.9006968641114983,1168,594,574,5.88274558449997,0.461670216022247,Moderate
y_assay/BRCA1_excluded,nt,0.95,0.7484701145415431,0.4663299663299663,0.9512195121951219,1168,594,574,9.55976430976431,0.5610377277043944,Moderate
y_assay/BRCA1_excluded,nt,0.975,0.8272405818026255,0.3333333333333333,0.975609756097561,1168,594,574,13.666666666666666,0.6833333333333335,Moderate
y_assay/BRCA1_excluded,nt,0.99,0.8597847258561544,0.28114478114478114,0.9912891986062717,1168,594,574,32.27542087542088,0.7251720485463895,Strong
y_assay/BRCA1_excluded,cadd,0.9,0.5476193420594194,0.8176895306859205,0.9001919385796545,1075,554,521,8.192620105526244,0.2025239968286469,Moderate
y_assay/BRCA1_excluded,cadd,0.95,0.5921895364392236,0.7743682310469314,0.9500959692898272,1075,554,521,15.517148014440433,0.23748313459504794,Moderate
y_assay/BRCA1_excluded,cadd,0.975,0.6918250474228224,0.6119133574007221,0.9750479846449136,1075,554,521,24.52360455429048,0.398017993689417,Strong
y_assay/BRCA1_excluded,cadd,0.99,0.8562651501791138,0.29061371841155237,0.9923224568138196,1075,554,521,37.852436823104696,0.7148747634576039,Strong
y_assay/BRCA1_excluded,alphamissense,0.9,,,,1,0,1,,,not evaluable
y_assay/BRCA1_excluded,alphamissense,0.95,,,,1,0,1,,,not evaluable
y_assay/BRCA1_excluded,alphamissense,0.975,,,,1,0,1,,,not evaluable
y_assay/BRCA1_excluded,alphamissense,0.99,,,,1,0,1,,,not evaluable
y_assay/BRCA1_excluded,gnomad_af,0.9,0.8693134822167081,0.2037037037037037,0.9020408163265307,407,162,245,2.0794753086419755,0.8827719121836768,below supporting
y_assay/BRCA1_excluded,gnomad_af,0.95,0.9600220567962504,0.07407407407407407,0.9510204081632653,407,162,245,1.5123456790123457,0.9736130980766174,below supporting
y_assay/BRCA1_excluded,gnomad_af,0.975,0.9665012406947892,0.030864197530864196,0.9755102040816327,407,162,245,1.2602880658436213,0.9934655715687793,below supporting
y_assay/BRCA1_excluded,gnomad_af,0.99,,,,407,162,245,,,not evaluable
y_assay/BRCA1_excluded,phylop,0.9,0.5816258599886581,0.7693602693602694,0.9006968641114983,1168,594,574,7.747592887943765,0.25606809552650944,Moderate
y_assay/BRCA1_excluded,phylop,0.95,0.6610340340523798,0.6599326599326599,0.9512195121951219,1168,594,574,13.528619528619528,0.3575066908400242,Moderate
y_assay/BRCA1_excluded,phylop,0.975,0.7225229841235601,0.5555555555555556,0.9790940766550522,1168,594,574,26.574074074074073,0.453934361407671,Strong
y_assay/BRCA1_excluded,phylop,0.99,0.9108445777983742,0.18181818181818182,0.9912891986062717,1168,594,574,20.872727272727275,0.8253714650902699,Strong
y_assay/BRCA1_excluded,phastcons,0.9,0.9322580260506306,0.5336700336700336,0.926829268292683,1168,594,574,7.293490460157127,0.5031454899875952,Moderate
y_assay/BRCA1_excluded,phastcons,0.95,0.9885490297422471,0.18181818181818182,0.9703832752613241,1168,594,574,6.139037433155081,0.8431532560796474,Moderate
y_assay/BRCA1_excluded,phastcons,0.975,,,,1168,594,574,,,not evaluable
y_assay/BRCA1_excluded,phastcons,0.99,,,,1168,594,574,,,not evaluable
